World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
637,VIFOR PHARMA,Switzerland,RoW,Pharmaceuticals & Biotechnology,160.5,45.6,1147.4,15.0,14.0,42.6,-35.9,3.7,114.8,-43.2,10.0,2650,-62.7,5384.8,-15.1
638,WEICHAI POWER,China,China,Automobiles & Parts,160.2,69.5,18848.0,62.3,0.8,325.5,-43.0,1.7,1482.7,129.0,7.9,41402,5.6,1671.2,64.7
639,VOESTALPINE,Austria,EU,Industrial Metals & Mining,160.1,3.0,12897.8,14.2,1.2,850.2,-20.4,6.6,1210.4,47.3,9.4,48904,3.6,7687.1,48.1
640,GLENMARK PHARMACEUTICALS,India,RoW,Pharmaceuticals & Biotechnology,159.8,-2.9,1170.3,1.2,13.7,136.3,39.6,11.6,183.2,-4.9,15.7,13716,5.8,2240.8,-27.7
641,YELP,US,US,Media,158.8,24.7,706.1,18.8,22.5,13.0,-32.2,1.8,12.5,-1083.9,1.8,5196,22.1,2905.7,15.4
642,KONE,Finland,EU,Industrial Engineering,158.4,12.7,8942.4,1.8,1.8,109.5,-5.4,1.2,1217.1,-5.9,13.6,55075,5.7,20537.6,1.4
643,TAKE-TWO INTERACTIVE SOFTWARE,US,US,Software & Computer Services,158.3,38.7,1494.9,0.7,10.6,51.3,190.8,3.4,125.3,64.6,8.4,4492,21.2,8686.2,178.6
644,SNCF,France,EU,Industrial Transportation,158.0,2.6,31831.0,4.3,0.5,2482.0,-4.0,7.8,1440.0,50.9,4.5,201816,0.1,,
645,WANHUA CHEMICAL GROUP,China,China,Chemicals,157.2,70.1,6692.6,76.4,2.3,762.2,44.7,11.4,2294.4,173.5,34.3,9165,16.2,11971.6,111.7
646,INTERCEPT PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,157.1,28.1,109.2,424.9,143.9,8.7,104.6,7.9,-279.8,-16.6,-256.3,507,11.2,2440.5,-20.2
647,WARTSILA,Finland,EU,Industrial Engineering,157.0,14.6,4923.0,2.5,3.2,64.0,16.4,1.3,552.0,0.5,11.2,18065,0.3,11430.1,57.1
648,HOYA,Japan,Japan,Leisure Goods,156.8,5.1,3955.7,11.8,4.0,132.7,-16.5,3.4,1760.1,13.1,44.5,37812,5.8,18121.5,54.0
649,EBERSPAECHER,Germany,EU,Automobiles & Parts,156.5,6.2,4480.9,3.6,3.5,99.2,-19.3,2.2,,,,9489,7.7,,
650,VOITH,Germany,EU,General Industrials,156.4,15.3,4223.2,-0.7,3.7,79.8,-27.5,1.9,180.7,-23.6,4.3,18951,-46.9,,
651,TAISHO PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,156.2,-0.5,2068.6,0.1,7.6,20.1,-62.8,1.0,273.1,15.7,13.2,6340,-1.9,5711.9,-9.5
652,JXTG,Japan,Japan,Oil & Gas Producers,155.5,1.1,76078.3,46.6,0.2,1516.6,5.9,2.0,2388.1,41.7,3.1,39784,13.4,13474.7,89.0
653,LOGMEIN,US,US,Software & Computer Services,155.5,217.3,825.3,194.5,18.8,30.5,161.4,3.7,-9.9,-367.8,-1.2,2760,145.6,5029.7,185.5
654,FERRING PHARMACEUTICALS,Denmark,EU,Pharmaceuticals & Biotechnology,155.3,8.1,179.0,8.7,86.8,2.2,37.6,1.2,9.3,6.4,5.2,548,11.6,,
655,NTN,Japan,Japan,Industrial Engineering,155.1,9.4,5497.5,8.9,2.8,269.3,3.4,4.9,287.8,25.5,5.2,25493,3.4,1746.0,17.2
656,KURARAY,Japan,Japan,Chemicals,154.8,5.7,3828.9,6.9,4.0,409.3,10.9,10.7,542.4,11.9,14.2,9089,5.8,5472.3,41.3
657,DEXCOM,US,US,Health Care Equipment & Services,154.6,18.8,599.1,25.3,25.8,55.0,18.5,9.2,-35.4,-33.5,-5.9,2990,30.0,5385.1,-15.5
658,SIKA,Switzerland,RoW,Chemicals,154.6,12.0,5341.9,8.7,2.9,135.5,6.0,2.5,766.3,12.7,14.3,18484,6.1,,
659,COMMSCOPE,US,US,Mobile Telecommunications,154.4,-7.7,3802.7,-7.4,4.1,57.3,0.6,1.5,474.8,-16.3,12.5,20000,-20.0,5321.4,12.0
660,DEUTSCHE BORSE,Germany,EU,Financial Services,154.4,-9.7,2920.6,10.8,5.3,43.1,-13.5,1.5,1288.9,24.7,44.1,5640,9.0,17306.7,25.0
661,SMITHS,UK,EU,Electronic & Electrical Equipment,154.3,22.3,3695.3,11.2,4.2,69.9,-16.2,1.9,763.8,73.4,20.7,21900,-0.5,6886.5,15.3
662,CHECK POINT SOFTWARE TECHNOLOGIES,Israel,RoW,Software & Computer Services,154.1,8.2,1546.5,6.5,10.0,24.0,19.7,1.6,770.4,8.4,49.8,4576,6.9,15482.1,41.1
663,VIVENDI,France,EU,Media,154.0,100.0,12444.0,15.0,1.2,261.0,11.1,2.1,1036.0,-24.0,8.3,41743,84.7,24911.9,11.4
664,SCREEN HOLDINGS,Japan,Japan,Technology Hardware & Equipment,153.9,17.1,2506.4,13.0,6.1,73.2,80.3,2.9,315.0,33.8,12.6,5835,7.6,2667.3,6.0
665,WEBASTO,Germany,EU,Automobiles & Parts,153.9,19.6,3512.0,10.2,4.4,181.0,18.7,5.2,251.3,25.6,7.2,12605,5.0,,
666,HUSQVARNA,Sweden,EU,Industrial Engineering,153.6,17.6,4001.9,9.5,3.8,132.6,-12.4,3.3,384.4,17.8,9.6,13807,4.6,3770.1,8.3
667,EXTREME NETWORKS,US,US,Technology Hardware & Equipment,153.3,96.2,819.8,64.4,18.7,33.7,287.6,4.1,19.9,12.0,2.4,2713,66.6,1050.0,201.2
668,WACKER CHEMIE,Germany,EU,Chemicals,153.1,-16.5,4924.2,-8.9,3.1,328.2,-36.2,6.7,392.5,3.7,8.0,13811,-19.7,5614.3,27.7
669,TOTO,Japan,Japan,Construction & Materials,152.1,6.0,4374.4,3.2,3.5,259.7,9.8,5.9,387.4,8.5,8.9,32428,6.9,5470.2,6.5
670,IAI,Israel,RoW,Aerospace & Defence,151.8,10.3,2935.0,-1.6,5.2,105.9,-9.9,3.6,99.2,-215.5,3.4,14857,-3.3,,
671,VISMA,Norway,RoW,Software & Computer Services,151.0,10.7,949.2,19.0,15.9,6.4,10.2,0.7,117.4,0.0,12.4,7008,27.6,,
672,EYGS,UK,EU,Support Services,150.9,21.5,3152.3,9.9,4.8,0.8,-96.1,0.0,28.6,49.4,0.9,139,6.1,,
673,DONGFANG ELECTRIC,China,China,Industrial Engineering,150.4,-6.9,3872.6,-7.6,3.9,26.4,-24.8,0.7,111.3,-162.5,2.9,17478,-6.9,304.8,38.6
674,XYLEM,US,US,"Gas, Water & Multiutilities",150.1,63.6,3924.8,24.8,3.8,141.7,37.1,3.6,484.4,33.3,12.3,16200,1.3,9293.6,22.3
675,PETROLEOS DE VENEZUELA,Venezuela,RoW,Oil & Gas Producers,150.1,143.2,35001.3,-24.1,0.4,9418.0,-37.6,26.9,751.3,-110.2,2.1,146226,-2.5,,
676,JSR,Japan,Japan,Chemicals,150.1,4.4,3116.2,8.6,4.8,275.6,12.6,8.8,318.7,34.2,10.2,7203,6.1,3577.2,41.6
677,PEARSON,UK,EU,Media,149.8,0.8,5084.4,-0.9,2.9,92.4,-6.8,1.8,508.1,-118.2,10.0,30339,-7.3,5623.8,-29.8
678,SMC,Japan,Japan,Industrial Engineering,149.5,26.9,4365.1,21.2,3.4,178.4,25.3,4.1,1414.4,38.4,32.4,19680,2.5,18762.8,29.4
679,ESTEE LAUDER,US,US,Personal Goods,149.3,-6.4,11409.2,15.7,1.3,524.5,24.8,4.6,1908.6,21.2,16.7,46000,0.0,20082.6,22.2
680,FIT HON TENG,Taiwan,RoW,Technology Hardware & Equipment,149.2,14.6,2834.0,18.0,5.3,98.9,-40.1,3.5,195.7,33.8,6.9,47700,,4807.2,
681,JAZZ PHARMACEUTICALS,Ireland,EU,Pharmaceuticals & Biotechnology,149.2,10.8,1349.7,8.8,11.1,24.1,269.6,1.8,441.0,-10.6,32.7,1210,16.3,7480.5,19.7
682,KDDI,Japan,Japan,Technology Hardware & Equipment,148.7,30.9,37237.4,6.2,0.4,2666.9,6.6,7.2,7008.5,4.9,18.8,38826,10.8,56692.8,-3.5
683,NGK INSULATORS,Japan,Japan,General Industrials,148.3,14.5,3331.8,12.4,4.5,495.3,13.0,14.9,489.4,12.2,14.7,18783,7.2,4966.6,-8.5
684,TELEDYNE TECHNOLOGIES,US,US,Aerospace & Defence,148.2,6.0,2171.1,21.1,6.8,48.8,-33.2,2.2,295.4,39.6,13.6,10340,15.3,4421.0,42.8
685,SONOVA,Switzerland,RoW,Health Care Equipment & Services,147.9,2.1,2262.1,10.4,6.5,82.3,-2.0,3.6,412.9,14.0,18.3,14242,1.1,9066.6,17.0
686,MA COM TECHNOLOGY SOLUTIONS,US,US,Technology Hardware & Equipment,147.7,64.5,582.7,28.4,25.4,27.4,4.7,4.7,-9.2,-158.4,-1.6,1800,28.6,2439.1,32.3
687,RSA INSURANCE,UK,EU,Nonlife Insurance,147.6,0.0,7523.5,7.0,2.0,20.3,-28.0,0.3,30.4,0.0,0.4,13363,-7.4,7679.6,34.9
688,KUDELSKI,Switzerland,RoW,Software & Computer Services,146.8,-6.4,938.1,4.4,15.6,16.8,-28.3,1.8,18.5,-77.7,2.0,3940,3.7,525.3,-32.9
689,TOKYO ELECTRIC POWER,Japan,Japan,Electricity,146.6,15.0,43212.0,9.2,0.3,4150.7,0.0,9.6,2130.5,11.5,4.9,41525,-1.3,5281.5,6.7
690,HARLEY-DAVIDSON,US,US,Automobiles & Parts,146.1,1.7,4708.8,-5.8,3.1,172.0,-19.5,3.7,743.2,-15.0,15.8,5200,-3.7,6686.9,-14.9
691,IFLYTEK,China,China,Software & Computer Services,145.9,71.6,688.0,63.9,21.2,132.6,-2.7,19.3,73.6,113.7,10.7,8659,45.8,8597.0,90.2
692,TPV TECHNOLOGY,China,China,Technology Hardware & Equipment,145.8,-10.7,7991.9,-2.3,1.8,85.8,4.2,1.1,65.6,-44.9,0.8,29014,-3.7,337.9,-12.3
693,COTY,US,US,Personal Goods,145.6,25.4,7836.2,22.8,1.9,372.2,3.3,4.7,569.2,-18.6,7.3,20000,-9.1,10350.4,522.3
694,JACK HENRY & ASSOCIATES,US,US,Software & Computer Services,145.4,-1.8,1281.3,7.4,11.3,33.5,-4.3,2.6,325.6,7.1,25.4,6307,5.6,6655.2,16.5
695,THERAVANCE BIOPHARMA,US,US,Pharmaceuticals & Biotechnology,145.0,22.7,12.8,-68.4,1130.2,2.0,12.7,15.6,-216.9,44.1,-1690.6,340,7.6,1466.4,29.6
696,MERZ PHARMA,Germany,EU,Pharmaceuticals & Biotechnology,144.6,-5.5,1023.2,-6.4,14.1,20.9,,2.0,99.9,-26.4,9.8,2976,1.3,,
697,FURUKAWA ELECTRIC,Japan,Japan,General Industrials,144.3,11.9,7144.2,14.7,2.0,253.7,20.8,3.6,307.8,7.9,4.3,51925,-0.6,3110.6,123.2
698,AGFA-GEVAERT,Belgium,EU,Electronic & Electrical Equipment,144.0,2.1,2443.0,-3.7,5.9,43.0,7.5,1.8,146.0,-12.6,6.0,9840,-2.0,638.6,30.9
699,CDK,US,US,Software & Computer Services,143.8,14.9,1895.4,2.4,7.6,38.4,-26.3,2.0,532.9,24.8,28.1,8500,-4.5,7535.8,3.8
700,ENDO INTERNATIONAL,Ireland,EU,Pharmaceuticals & Biotechnology,143.5,-6.2,2892.4,-13.5,5.0,104.8,-9.5,3.6,-800.5,17.6,-27.7,3039,-37.9,1636.6,-57.4
701,BANDAI NAMCO,Japan,Japan,Leisure Goods,143.3,9.2,5009.7,9.4,2.9,316.5,353.4,6.3,543.3,18.8,10.8,7871,4.1,6041.8,30.4
702,GRUNDFOS,Denmark,EU,"Gas, Water & Multiutilities",143.1,-10.0,3443.2,,4.2,103.2,-18.5,3.0,315.1,,9.2,18241,,,
703,AHOLD,Netherlands,EU,Food & Drug Retailers,143.0,49.0,62890.0,26.6,0.2,1698.0,43.7,2.7,2182.0,38.6,3.5,369000,-0.3,19347.5,-29.7
704,KORBER,Germany,EU,General Industrials,143.0,9.2,2214.6,-4.4,6.5,38.1,-30.5,1.7,120.6,40.7,5.4,10836,-6.3,,
705,ALTANA,Germany,EU,Chemicals,142.5,10.2,2247.0,8.3,6.3,188.0,54.0,8.4,343.2,4.4,15.3,6115,2.5,,
706,FLIR SYSTEMS,US,US,Electronic & Electrical Equipment,142.4,15.7,1501.2,8.3,9.5,35.1,17.2,2.3,242.3,-2.2,16.1,3542,3.1,4347.1,23.2
707,CHENG SHIN RUBBER INDUSTRY,Taiwan,RoW,Automobiles & Parts,142.2,5.4,3137.4,-4.3,4.5,389.0,-0.9,12.4,275.3,-49.9,8.8,,,5496.4,-9.9
708,JAPAN DISPLAY,Japan,Japan,Electronic & Electrical Equipment,141.8,38.1,5299.2,-18.9,2.7,365.5,-62.9,6.9,-456.0,-447.7,-8.6,11542,-12.4,879.5,34.7
709,ITRON,US,US,Electronic & Electrical Equipment,141.7,1.1,1682.8,0.2,8.4,41.3,13.7,2.5,131.6,8.6,7.8,7800,6.8,2342.8,54.3
710,HANWHA AEROSPACE,South Korea,RoW,Leisure Goods,141.6,2.4,3283.5,19.8,4.3,174.2,41.0,5.3,64.6,-45.0,2.0,,,1589.7,-37.6
711,HEIDELBERGCEMENT,Germany,EU,Construction & Materials,141.0,19.8,17266.1,13.8,0.8,1019.1,0.7,5.9,1928.6,6.8,11.2,59054,-2.3,16071.9,-2.7
712,YASKAWA ELECTRIC,Japan,Japan,Electronic & Electrical Equipment,140.9,6.1,3312.6,13.6,4.3,131.1,17.1,4.0,380.0,73.3,11.5,12449,5.4,6558.9,118.5
713,MITSUBISHI GAS CHEMICAL,Japan,Japan,Chemicals,140.2,-1.5,4696.5,14.3,3.0,269.9,13.2,5.7,463.3,47.1,9.9,8009,-0.3,4872.2,94.9
714,CARL BENNET,Sweden,EU,Support Services,140.2,1.8,5018.7,9.6,2.8,146.7,14.7,2.9,,,,27213,15.1,,
715,LANXESS,Germany,EU,Chemicals,140.0,6.9,9664.0,25.5,1.4,547.0,24.6,5.7,405.0,-16.0,4.2,19029,13.8,5728.1,31.5
716,PERRIGO,Ireland,EU,Pharmaceuticals & Biotechnology,139.8,-8.9,4124.2,-6.3,3.4,73.9,-16.6,1.8,504.6,-130.6,12.2,10400,-18.8,9389.3,-13.6
717,CHINA TELECOM,China,China,Technology Hardware & Equipment,139.3,31.9,46896.2,3.9,0.3,11183.2,-9.7,23.8,3485.6,0.0,7.4,284206,-1.0,5953.0,0.2
718,DAICEL,Japan,Japan,Chemicals,139.2,12.1,3419.1,5.2,4.1,237.1,-13.7,6.9,435.2,-8.4,12.7,12309,6.5,3620.9,6.2
719,AMKOR TECHNOLOGY,US,US,Technology Hardware & Equipment,138.9,42.2,3490.8,7.5,4.0,459.4,-15.2,13.2,334.6,36.5,9.6,29300,5.0,1751.7,-2.8
720,SAREPTA THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,137.3,-12.5,128.9,2751.6,106.5,10.0,124.7,7.8,-119.4,-46.3,-92.6,255,29.4,2161.2,107.6
721,COBHAM,UK,EU,Aerospace & Defence,137.3,-6.6,2312.4,5.6,5.9,77.7,-16.7,3.4,117.3,-113.4,5.1,10813,1.1,3698.5,18.9
722,SUNNY OPTICAL TECHNOLOGY,China,China,Electronic & Electrical Equipment,137.1,63.1,2864.0,53.1,4.8,146.2,44.2,5.1,405.4,101.2,14.2,28540,41.4,13134.0,170.7
723,CRITEO,France,EU,Media,137.1,41.2,1915.0,27.7,7.2,101.9,43.5,5.3,114.9,13.9,6.0,2764,10.4,2652.1,35.6
724,CREE,US,US,Technology Hardware & Equipment,137.0,3.6,1245.5,1.4,11.0,154.8,113.6,12.4,-274.4,955.7,-22.0,6796,12.5,1981.7,-1.8
725,SHOWA DENKO,Japan,Japan,Chemicals,136.9,7.1,5763.5,16.3,2.4,287.1,1.4,5.0,521.5,167.4,9.0,10864,7.1,3229.7,128.0
726,ELEKTA,Sweden,EU,Health Care Equipment & Services,136.8,12.6,1151.3,5.9,11.9,21.5,50.4,1.9,152.2,87.5,13.2,3716,1.0,3079.7,12.4
727,INPHI,US,US,Technology Hardware & Equipment,136.5,51.6,290.3,30.8,47.0,31.2,67.5,10.8,-58.5,-381.4,-20.2,616,5.1,1350.0,-7.6
728,SS&C TECHNOLOGIES,US,US,Software & Computer Services,136.5,0.9,1396.9,13.1,9.8,29.7,27.4,2.1,331.0,37.5,23.7,8287,3.6,6630.6,20.0
729,SICHUAN CHANGHONG ELECTRIC,China,China,Technology Hardware & Equipment,136.4,1.7,9654.9,16.6,1.4,166.6,55.7,1.7,163.2,13.1,1.7,57463,-4.9,2149.1,-20.3
730,GIESECKE & DEVRIENT,Germany,EU,Support Services,136.2,12.8,2136.4,2.3,6.4,71.7,-14.8,3.4,,,,11600,2.6,,
731,PLAYTECH,UK,EU,Software & Computer Services,135.9,9.9,807.1,13.9,16.8,34.7,32.3,4.3,171.8,-6.8,21.3,5044,-4.0,3396.5,2.6
732,PEGASYSTEMS,US,US,Software & Computer Services,135.8,11.9,700.9,12.0,19.4,11.5,-28.0,1.6,32.2,-4.9,4.6,4237,8.4,3701.8,126.0
733,BRUKER,US,US,Health Care Equipment & Services,135.7,9.2,1472.4,9.6,9.2,36.4,17.8,2.5,195.1,15.7,13.3,6200,3.3,3841.0,27.5
734,AMERICAN AXLE & MANUFACTURING,US,US,Automobiles & Parts,134.7,15.5,5224.7,58.7,2.6,409.4,115.7,7.8,545.1,60.7,10.4,25000,90.8,1355.7,24.1
735,HENGTONG OPTIC ELECTRIC,China,China,Technology Hardware & Equipment,134.4,37.5,3241.7,35.0,4.1,285.9,168.8,8.8,358.9,60.6,11.1,17207,12.0,4526.8,53.5
736,PIVOTAL SOFTWARE,US,US,Software & Computer Services,134.2,5.8,424.8,22.4,31.6,10.7,-34.1,2.5,-140.3,-25.7,-33.0,2518,,,
737,COHERUS BIOSCIENCES,US,US,Pharmaceuticals & Biotechnology,134.1,-36.8,1.3,-99.2,10336.2,3.8,-29.8,293.9,-193.6,100.2,-14918.8,122,-19.7,698.1,-35.2
738,EAST JAPAN RAILWAY,Japan,Japan,Travel & Leisure,134.1,1.4,21788.3,2.4,0.6,4270.0,-0.6,19.6,3523.8,3.8,16.2,73193,0.2,28724.6,12.7
739,ACORDA THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,133.8,-21.1,490.5,13.2,27.3,11.4,121.1,2.3,-194.1,547.0,-39.6,484,-18.9,809.1,-12.7
740,INVENTEC,Taiwan,RoW,Technology Hardware & Equipment,133.3,-45.1,13060.2,9.1,1.0,74.1,-75.2,0.6,243.9,6.7,1.9,,,2400.2,1.7
741,FISERV,US,US,Support Services,132.6,11.2,4749.4,3.5,2.8,239.3,-1.0,5.0,1269.1,5.3,26.7,24000,4.3,21709.9,14.9
742,GROUPE SEB,France,EU,Household Goods & Home Construction,132.5,37.3,6484.6,29.7,2.0,165.0,1.6,2.5,579.5,35.9,8.9,30943,19.1,7655.8,27.9
743,JVC KENWOOD,Japan,Japan,Leisure Goods,132.1,-18.9,2220.7,0.9,5.9,57.9,-19.9,2.6,35.2,-970.7,1.6,17801,0.0,299.8,20.2
744,ZHEN DING TECHNOLOGY HOLDING,Taiwan,RoW,Electronic & Electrical Equipment,132.0,25.5,3051.6,32.6,4.3,268.4,1.7,8.8,255.7,81.1,8.4,,,1571.4,9.9
745,BRP,Canada,RoW,Automobiles & Parts,131.8,8.1,2972.1,7.6,4.4,142.6,23.5,4.8,268.3,30.5,9.0,10100,15.7,835.5,54.6
746,WEATHERFORD INTERNATIONAL,Ireland,EU,"Oil Equipment, Services & Distribution",131.7,-0.6,4751.9,-0.9,2.8,187.6,10.3,3.9,-1855.2,-1.2,-39.0,29200,-2.7,3158.5,-22.7
747,LANDIS+GYR,Switzerland,RoW,Electricity,131.7,-0.4,1449.0,4.7,9.1,31.6,-10.4,2.2,39.8,-1009.3,2.7,5915,,1865.7,
748,SHANGHAI FOSUN PHARMACEUTICAL,China,China,Pharmaceuticals & Biotechnology,131.4,43.6,2351.2,26.6,5.6,278.0,12.9,11.8,280.2,18.8,11.9,28848,47.8,7152.5,25.6
749,ELECTRONICS FOR IMAGING,US,US,Technology Hardware & Equipment,131.2,4.1,828.2,0.1,15.8,11.5,-38.5,1.4,29.3,-43.9,3.5,3366,4.0,1375.1,-25.0
750,UNIVERSAL SCIENTIFIC INDUSTRIAL,China,China,Electronic & Electrical Equipment,130.5,15.2,3797.0,23.9,3.4,20.8,-34.8,0.5,177.9,49.8,4.7,16509,7.7,4232.4,31.9
751,PRADA,Italy,EU,Personal Goods,130.5,4.1,2741.1,-13.9,4.8,181.7,-13.4,6.6,315.9,-26.7,11.5,12112,-1.7,7768.2,22.4
752,SHANDONG CHENMING PAPER,China,China,Forestry & Paper,130.3,38.3,3764.1,30.6,3.5,288.5,-9.1,7.7,873.6,68.4,23.2,13579,4.6,573.9,70.7
753,RABOBANK,Netherlands,EU,Banks,130.0,23.8,12022.0,-6.1,1.1,1.2,-99.9,0.0,3632.0,33.6,30.2,43810,-3.9,,
754,BOUYGUES,France,EU,Construction & Materials,130.0,30.0,32904.0,3.6,0.4,1735.0,-11.6,5.3,1863.0,32.3,5.7,119836,-2.3,13619.6,38.7
755,CHRISTIAN DIOR,France,EU,Personal Goods,130.0,113.1,43666.0,103.7,0.3,2129.0,46.9,4.9,8199.0,97.8,18.8,145247,3.9,46814.6,66.2
756,SWISSCOM,Switzerland,RoW,Fixed Line Telecommunications,130.0,0.0,9970.3,0.2,1.3,2033.0,-1.6,20.4,1801.4,-1.4,18.1,20506,-2.9,21417.4,2.9
757,CHINA RAILWAY SIGNAL & COMMUNICATION,China,China,Software & Computer Services,129.7,7.4,4409.3,17.1,2.9,139.4,32.8,3.2,562.3,21.3,12.8,18314,4.6,1243.7,2.2
758,SANKEN ELECTRIC,Japan,Japan,Technology Hardware & Equipment,129.7,9.8,1294.0,10.4,10.0,115.9,58.6,9.0,88.8,102.8,6.9,9725,-0.5,519.8,68.0
759,SYNCHRONOSS TECHNOLOGIES,US,US,Software & Computer Services,129.7,45.8,335.5,-5.6,38.6,10.1,-71.5,3.0,-99.1,2.2,-29.5,1428,-19.1,649.2,-58.7
760,DIEBOLD,US,US,Technology Hardware & Equipment,129.7,48.0,3843.3,39.0,3.4,57.9,75.7,1.5,-28.5,-65.9,-0.7,23000,-8.0,1287.6,-15.6
761,LEONI,Germany,EU,Electronic & Electrical Equipment,129.6,-2.2,4922.8,11.1,2.6,275.2,29.8,5.6,237.5,197.2,4.8,86340,9.2,1652.1,52.2
762,RESMED,US,US,Health Care Equipment & Services,129.4,7.4,1951.3,13.2,6.6,52.2,0.6,2.7,457.5,20.6,23.4,5940,-2.3,9199.2,17.6
763,SCHINDLER,Switzerland,RoW,Industrial Engineering,129.1,7.1,8702.4,5.1,1.5,194.1,20.1,2.2,1010.5,2.3,11.6,61019,4.7,7150.0,11.0
764,WIX.COM,Israel,RoW,Software & Computer Services,128.7,46.5,354.9,46.7,36.3,10.3,180.2,2.9,-41.7,13.6,-11.7,1813,41.2,2467.5,66.7
765,PANDORA MEDIA,US,US,Software & Computer Services,128.7,-7.8,1223.1,5.9,10.5,13.1,-73.8,1.1,-391.8,47.4,-32.0,1938,-22.1,1708.0,-36.7
766,RICHTER GEDEON,Hungary,EU,Pharmaceuticals & Biotechnology,128.6,13.5,1431.5,14.0,9.0,97.7,-0.7,6.8,66.7,-62.1,4.7,12172,3.0,4012.7,17.3
767,QIAGEN,Netherlands,EU,Pharmaceuticals & Biotechnology,128.5,9.6,1182.0,5.9,10.9,22.7,-3.9,1.9,130.9,73.8,11.1,4688,0.1,6059.1,17.6
768,SINOPEC ENGINEERING,China,China,"Oil Equipment, Services & Distribution",128.4,-9.9,4636.6,-8.1,2.8,58.5,-18.3,1.3,240.3,-1.7,5.2,18778,-3.0,1100.5,9.8
769,MANN + HUMMEL INTERNATIONAL,Germany,EU,Industrial Engineering,128.3,5.6,3892.0,11.8,3.3,160.6,10.2,4.1,,,,20535,-0.5,,
770,S&T,Austria,EU,Technology Hardware & Equipment,128.1,384.6,882.0,75.1,14.5,23.0,147.6,2.6,41.6,74.2,4.7,3918,3.5,92.9,95.4
771,MEDIDATA SOLUTIONS,US,US,Software & Computer Services,127.4,36.1,454.9,17.7,28.0,37.2,73.9,8.2,53.7,28.2,11.8,1680,18.0,3656.7,41.0
772,XINJIANG GOLDWIND SCIENCE & TECHNOLOGY,China,China,Industrial Engineering,127.4,25.1,3197.6,-4.6,4.0,620.1,-12.0,19.4,499.6,5.8,15.6,8373,16.0,4306.3,-4.5
773,ELECTRIC POWER DEVELOPMENT,Japan,Japan,Electricity,127.3,193.7,6323.8,15.0,2.0,729.8,-8.6,11.5,745.5,23.5,11.8,7204,-0.4,4069.3,19.2
774,NISSAN CHEMICAL INDUSTRIES,Japan,Japan,Chemicals,127.2,7.2,1428.3,7.3,8.9,101.7,11.1,7.1,258.4,12.1,18.1,2511,4.5,4109.5,13.6
775,STORA ENSO,Finland,EU,Forestry & Paper,127.0,-3.8,10045.0,2.5,1.3,80.0,-12.1,0.8,969.0,-6.4,9.6,25700,1.0,6757.7,39.5
776,FUJIAN STAR NET COMMUNICATION,China,China,Technology Hardware & Equipment,126.9,25.7,964.9,35.4,13.2,21.5,73.1,2.2,93.0,100.3,9.6,8577,11.0,1282.8,-4.4
777,FIBROGEN,US,US,Pharmaceuticals & Biotechnology,126.7,4.8,104.8,-30.0,120.9,7.1,578.9,6.8,-102.2,128.5,-97.6,423,16.2,2861.3,215.7
778,DENTSPLY SIRONA,US,US,Health Care Equipment & Services,126.5,18.1,3329.8,6.6,3.8,120.3,15.4,3.6,-948.1,-337.9,-28.5,16100,2.5,10825.4,-9.3
779,KRKA,Slovenia,EU,Pharmaceuticals & Biotechnology,125.9,6.7,1266.4,7.8,9.9,106.5,-9.0,8.4,197.5,62.4,15.6,10832,-0.5,1862.7,-2.1
780,LENDINGCLUB,US,US,Financial Services,125.5,10.6,479.1,14.1,26.2,37.2,-13.9,7.8,-127.9,2.1,-26.7,1837,20.1,2123.4,20.3
781,AVEXIS,US,US,Pharmaceuticals & Biotechnology,125.4,155.4,,,,26.7,67.1,,-183.7,164.2,,219,212.9,2485.0,266.4
782,GW PHARMACEUTICALS,UK,EU,Pharmaceuticals & Biotechnology,124.7,15.3,9.3,-20.1,1343.8,18.1,85.1,194.9,-167.0,32.4,-1799.4,533,20.0,2221.2,49.7
783,AMICUS THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,124.5,51.9,30.8,644.9,404.3,3.8,-23.9,12.3,-368.5,143.1,-1196.8,325,23.6,1912.8,141.2
784,ACADIA PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,124.4,50.3,104.1,620.7,119.4,0.7,-46.1,0.7,-243.8,7.2,-234.1,425,14.9,3634.4,12.1
785,MEGGITT,UK,EU,Aerospace & Defence,124.4,26.5,2284.0,1.8,5.4,69.9,19.9,3.1,336.0,29.8,14.7,11074,-3.5,4527.3,10.7
786,RAMBUS,US,US,Technology Hardware & Equipment,124.4,14.9,327.8,16.8,37.9,7.8,9.7,2.4,45.4,107.5,13.8,819,6.8,1181.8,-6.8
787,AMP,Australia,RoW,Life Insurance,124.2,43.6,1079.0,-20.6,11.5,,,,,,,5600,3.7,9680.4,-4.3
