,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
145,ORANGE,France,Fixed Line Telecommunications,780.0,-3.9,-2.6,1.9,40981.0,-5.8,-3.4,6117.0,-9.6,0.1,14.9,5326.0,29.9,-11.7,13.0,165488,-3.0,-0.6
146,VALEO,France,Automobiles & Parts,778.0,10.4,11.8,6.4,12110.0,3.0,7.9,598.0,-0.8,22.8,4.9,728.0,8.3,7.3,6.0,74800,3.0,8.9
147,DELL,US,Technology Hardware & Equipment,777.3,25.2,18.0,1.9,41287.8,-8.3,2.5,,   ,   ,0.0,2184.0,-32.0,7.6,5.3,111300,1.7,5.1
148,MOTOROLA,US,Technology Hardware & Equipment,765.0,-1.9,-25.3,12.1,6305.6,0.0,4.5,138.5,2.1,-0.2,2.2,954.2,3.4,20.3,15.1,21000,-4.5,-25.6
149,EXXON MOBIL,US,Oil & Gas Producers,757.0,0.2,-0.5,0.2,305152.6,-6.8,4.4,24413.7,-1.8,7.8,8.0,29222.7,-19.2,0.1,9.6,75000,-2.5,-3.6
150,ALLERGAN,US,Pharmaceuticals & Biotechnology,754.7,10.8,11.0,16.5,4568.5,11.6,8.6,133.4,14.1,5.4,2.9,1391.2,13.2,28.1,30.5,11400,5.6,7.4
151,CHINA PETROLEUM & CHEMICALS,China,Oil & Gas Producers,752.7,8.4,7.7,0.2,314000.9,3.8,15.4,17226.1,-0.5,10.9,5.5,11865.0,1.1,-1.8,3.8,368953,-1.9,-0.4
152,SYMANTEC,US,Software & Computer Services,752.7,2.6,4.7,15.5,4840.8,-3.3,2.6,188.5,-22.6,-1.0,3.9,1053.6,18.0,14.3,21.8,20800,-3.3,3.8
153,KIA MOTORS,South Korea,Automobiles & Parts,736.8,25.7,14.7,2.3,32702.0,0.8,4.0,1198.2,-8.3,2.4,3.7,2182.8,-9.8,3.9,6.7,,   ,   
154,BARCLAYS,UK,Banks,736.8,38.3,91.4,2.2,33553.4,-5.4,-3.3,,   ,   ,0.0,3424.7,259.8,-22.1,10.2,139600,0.3,-1.8
155,JUNIPER NETWORKS,US,Technology Hardware & Equipment,735.9,-7.9,3.4,21.7,3385.6,7.0,4.5,176.3,-41.3,9.5,5.2,437.3,79.0,-8.4,12.9,9483,2.7,2.6
156,ELECTRICITE DE FRANCE,France,Electricity,718.0,-18.8,13.9,0.9,75594.0,4.7,5.0,13327.0,-0.4,2.9,17.6,9294.0,8.8,8.0,12.3,154941,0.1,-0.8
157,SAIC MOTOR,China,Automobiles & Parts,699.9,2.3,19.7,1.1,65555.8,19.3,16.3,1860.7,-2.2,14.7,2.8,1840.7,-37.0,-12.7,2.8,7077,15.1,8.5
158,SUMITOMO ELECTRIC,Japan,Electronic & Electrical Equipment,685.3,5.6,8.0,3.9,17689.0,18.9,8.1,982.4,-6.0,16.1,5.6,782.5,53.1,7.1,4.4,225484,9.3,7.3
159,MAZDA MOTOR,Japan,Automobiles & Parts,684.2,10.5,3.0,3.7,18539.1,22.1,5.0,763.2,58.6,50.9,4.1,1235.1,250.7,106.3,6.7,40892,8.3,2.4
160,MICRON TECHNOLOGY,US,Technology Hardware & Equipment,675.1,1.4,14.3,10.3,6578.9,10.2,2.3,902.0,-26.8,26.4,13.7,193.6,-144.4,-45.0,2.9,30900,12.8,6.1
161,NETAPP,US,Technology Hardware & Equipment,665.1,1.4,12.2,14.5,4586.4,-0.1,7.3,160.5,-27.0,-0.2,3.5,596.5,35.0,-0.4,13.0,12490,-4.4,6.9
162,DEUTSCHE BANK,Germany,Banks,663.0,-6.0,28.0,2.1,31451.0,-5.5,0.7,,   ,   ,0.0,1456.0,78.9,-28.5,4.6,98254,0.0,-1.3
163,CHINA STATE CONSTRUCTION ENGINEERING,China,Construction & Materials,650.6,12.2,   ,0.8,77812.3,19.4,22.7,1709.9,47.8,-3.8,2.2,4732.4,21.0,27.5,6.1,216824,12.8,20.6
164,RICOH,Japan,Technology Hardware & Equipment,649.9,-15.7,-5.2,4.3,15119.9,14.1,4.2,502.6,-15.7,2.9,3.3,828.7,89.7,26.0,5.5,108195,   ,-0.3
165,SHIRE,UK,Pharmaceuticals & Biotechnology,645.5,2.1,11.5,18.0,3577.9,5.4,12.4,113.8,4.9,-21.7,3.2,1148.2,70.1,26.7,32.1,5000,-5.7,6.1
166,CENTRAL JAPAN RAILWAY,Japan,Travel & Leisure,644.1,176.3,58.0,5.7,11379.7,4.2,3.2,1391.8,-24.7,-9.8,12.2,3406.0,16.1,12.3,29.9,28619,1.0,1.0
167,MICHELIN,France,Automobiles & Parts,643.0,3.4,5.7,3.2,20247.0,-5.7,4.2,1842.0,-2.7,22.5,9.1,1974.0,-21.8,4.2,9.7,111190,-2.0,0.4
168,MEDIATEK,Taiwan,Technology Hardware & Equipment,638.5,18.2,4.3,19.4,3284.0,37.1,6.2,39.3,-27.5,-8.4,1.2,670.9,97.6,-4.3,20.4,,-100.0,-100.0
169,BOSTON SCIENTIFIC,US,Health Care Equipment & Services,624.3,-2.8,-2.8,12.1,5179.5,-1.5,-2.9,209.6,16.5,1.3,4.0,340.1,-113.3,  ,6.6,23000,   ,-2.7
170,BRIDGESTONE,Japan,Automobiles & Parts,613.5,7.6,1.5,2.5,24570.4,17.4,7.6,1838.8,11.2,14.5,7.5,2939.2,56.9,36.9,12.0,145029,1.1,1.2
171,INTUIT,US,Software & Computer Services,609.1,11.9,4.6,20.1,3024.4,9.5,7.0,151.5,6.6,13.5,5.0,894.1,5.6,10.9,29.6,8000,-5.9,1.3
172,ADOBE SYSTEMS,US,Software & Computer Services,599.4,11.3,6.7,20.4,2940.5,-7.9,2.2,136.6,-30.5,3.6,4.6,325.7,-61.8,-23.8,11.1,11847,6.3,9.1
173,TELSTRA,Australia,Technology Hardware & Equipment,585.6,-3.4,-4.8,3.5,16501.6,0.7,0.9,1843.6,1.8,7.0,11.2,4147.4,-8.7,5.2,25.1,,-100.0,-100.0
174,VALE,Brazil,Mining,580.8,-45.8,-3.0,1.7,33911.2,-1.9,1.1,9502.6,-16.9,1.2,28.0,10922.3,104.0,-12.3,32.2,,   ,   
175,INFINEON TECHNOLOGIES,Germany,Technology Hardware & Equipment,576.0,12.5,6.4,15.0,3843.0,-1.6,5.3,315.0,-62.1,2.6,8.2,324.0,-28.9,-3.4,8.4,26725,0.3,0.1
