,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
593,ICAHN ENTERPRISES,US,General Industrials,128.3,-1.1,4.3,0.9,14840.8,29.0,31.9,841.9,24.0,40.1,5.7,1973.0,100.7,38.3,13.3,44000,   ,1.0
594,OPEN TEXT,Canada,Software & Computer Services,128.2,7.8,6.6,10.9,1178.1,19.2,16.3,30.6,82.9,4.9,2.6,217.9,51.9,25.9,18.5,8000,   ,22.0
595,ADIDAS,Germany,Personal Goods,128.0,0.0,7.9,0.9,14492.0,-2.6,6.5,427.0,13.6,23.4,2.9,1201.0,30.7,11.0,8.3,50728,9.5,6.0
596,ITRON,US,Electronic & Electrical Equipment,127.6,-1.5,8.1,9.0,1413.0,-10.5,-4.8,43.5,18.8,-1.5,3.1,-72.3,-165.2,  ,-5.1,8200,-3.5,-4.8
597,LONDON STOCK EXCHANGE,UK,Financial Services,127.5,401.4,52.8,9.8,1299.6,49.8,20.9,28.2,29.7,11.8,2.2,340.2,23.0,7.1,26.2,2847,41.4,22.1
598,SYMRISE,Germany,Chemicals,127.3,11.7,5.5,7.0,1830.4,5.5,5.2,58.0,12.4,0.4,3.2,280.1,12.3,4.6,15.3,6085,4.9,4.0
599,SANY HEAVY INDUSTRY,China,Industrial Engineering,127.1,-16.5,15.2,3.0,4290.4,-19.5,3.2,261.6,-54.1,-20.8,6.1,421.9,-51.7,-21.2,9.8,28414,-18.6,-12.5
600,RACKSPACE HOSTING,US,Software & Computer Services,127.0,28.9,50.8,11.4,1112.9,17.2,25.3,328.2,67.4,46.2,29.5,96.5,-22.9,18.7,8.7,5651,16.5,20.1
601,YUE YUEN INDUSTRIAL,Bermuda,Personal Goods,126.8,-16.2,10.1,2.3,5498.1,-17.5,9.4,125.2,-40.5,-17.5,2.3,312.5,-20.3,-1.3,5.7,413000,-2.4,6.7
602,ALMIRALL,Spain,Pharmaceuticals & Biotechnology,126.7,-20.6,-4.4,18.3,692.9,1.5,-7.7,14.6,-49.3,0.7,2.1,-67.3,-220.2,  ,-9.7,2969,5.9,-0.5
603,AKER SOLUTIONS,Norway,Industrial Engineering,126.5,50.1,61.9,2.3,5526.3,3.2,0.1,316.2,-10.5,2.4,5.7,270.1,-36.6,-8.0,4.9,27299,30.9,12.0
604,FANUC,Japan,Industrial Engineering,126.5,-8.8,5.7,4.1,3105.5,-9.5,0.4,114.5,-62.6,33.0,3.7,1130.2,-11.2,-4.7,36.4,5469,4.0,2.6
605,INTUITIVE SURGICAL,US,Health Care Equipment & Services,126.4,0.1,13.2,7.7,1642.4,4.0,17.0,75.8,-26.2,2.9,4.6,618.2,-2.9,15.4,37.6,2792,18.2,18.9
606,TYCO INTERNATIONAL,Switzerland,General Industrials,126.2,20.0,9.9,1.6,7720.3,2.3,-14.5,,-100.0,-100.0,0.0,689.6,8.8,-17.5,8.9,,   ,-100.0
607,VERIFONE SYSTEMS,US,Technology Hardware & Equipment,125.7,8.6,30.9,10.2,1234.3,-8.8,19.3,56.2,22.7,88.5,4.6,-0.6,-100.5,  ,0.0,5699,14.5,30.5
608,FAIRCHILD SEMICONDUCTOR,US,Technology Hardware & Equipment,124.4,9.4,12.6,12.2,1019.1,0.0,-4.2,56.1,-49.9,-21.5,5.5,17.2,-60.6,-51.1,1.7,8659,-4.6,-1.2
609,TIBCO SOFTWARE,US,Software & Computer Services,123.9,10.6,11.1,16.0,775.8,4.4,12.4,14.0,-18.8,44.4,1.8,114.9,-11.8,8.1,14.8,3856,5.8,14.9
610,SUNTORY HOLDINGS,Japan,Nonequity Investment Instruments,123.9,5.6,2.8,27.6,449.7,10.1,3.2,,   ,   ,0.0,218.9,14.7,1.6,48.7,448,-8.4,-1.3
611,STANLEY BLACK & DECKER,US,Household Goods & Home Construction,123.8,-2.3,9.1,1.6,7977.1,8.4,13.6,265.1,-5.3,25.4,3.3,675.0,3.9,22.9,8.5,50700,11.9,11.4
612,MICROSEMI,US,Technology Hardware & Equipment,123.7,1.2,45.5,17.5,707.7,-3.6,23.5,27.1,-23.9,32.0,3.8,72.0,33.7,16.5,10.2,3100,-3.1,11.3
613,BIOMET,US,Health Care Equipment & Services,123.0,12.8,12.4,5.3,2337.3,5.6,5.7,,   ,   ,0.0,227.1,-290.4,  ,9.7,,   ,-100.0
614,INCYTE,US,Pharmaceuticals & Biotechnology,122.8,217.0,   ,47.7,257.4,19.5,27.8,3.1,50.3,1.3,1.2,-11.7,-1502.6,  ,-4.5,481,16.5,24.9
615,NTN,Japan,Industrial Engineering,122.7,10.4,4.3,2.8,4400.0,18.4,6.4,229.7,-39.6,6.6,5.2,213.4,575.8,8.1,4.9,22156,3.5,4.9
616,GRIFOLS,Spain,Pharmaceuticals & Biotechnology,122.5,-1.7,41.5,4.5,2741.7,4.6,40.4,138.5,-5.2,10.2,5.1,736.9,11.3,52.0,26.9,11779,4.6,24.5
617,DOLBY LABORATORIES,US,Media,122.4,20.4,17.1,18.6,659.6,-2.5,-0.5,22.3,-81.7,-7.1,3.4,182.1,-30.9,-16.8,27.6,,-100.0,-100.0
618,MELLANOX TECHNOLOGIES,Israel,Technology Hardware & Equipment,122.3,21.4,43.7,43.2,283.4,-22.0,36.2,22.4,1.2,39.5,7.9,-14.7,-117.2,  ,-5.2,1403,26.2,45.0
619,AMP,Australia,Life Insurance,122.1,58.3,43.7,9.2,1330.6,3.0,27.3,,   ,   ,0.0,-9822.1,21.0,49.5,-738.2,,   ,-100.0
620,SONOVA,Switzerland,Health Care Equipment & Services,121.6,5.2,11.5,7.7,1587.1,8.7,6.5,77.0,15.0,-5.3,4.9,328.6,157.9,14.3,20.7,9529,6.4,6.7
621,TELEDYNE TECHNOLOGIES,US,Aerospace & Defence,121.1,26.9,37.5,7.1,1695.7,9.9,12.5,52.6,11.2,32.8,3.1,174.2,-1.2,10.4,10.3,9600,-0.3,1.4
622,HOYA,Japan,Leisure Goods,120.5,24.8,6.0,4.1,2946.0,14.8,1.1,114.0,-61.6,-22.9,3.9,1023.8,20.9,1.1,34.8,36605,4.2,0.1
623,WEBASTO,Germany,Automobiles & Parts,120.4,6.7,7.6,907.0,13.3,-16.9,-72.8,,   ,   ,0.0,-1.6,-94.9,  ,-12.1,59,1.7,-66.3
624,INFORMATICA,US,Software & Computer Services,120.3,13.6,14.3,17.5,687.5,16.8,13.4,19.5,-81.0,55.0,2.8,102.5,1.3,4.4,14.9,3234,14.9,15.0
625,FURUKAWA ELECTRIC,Japan,General Industrials,120.2,-13.6,-1.5,1.9,6416.4,0.8,0.2,271.1,-14.0,19.5,4.2,128.4,22.8,-17.1,2.0,47045,-6.5,6.1
626,MALLINCKRODT,Ireland,Pharmaceuticals & Biotechnology,120.2,15.0,11.6,7.5,1598.5,   ,   ,107.2,   ,   ,6.7,103.5,   ,   ,6.5,5500,   ,   
627,TOTO,Japan,Construction & Materials,120.0,9.0,3.7,3.1,3811.1,16.2,8.5,132.3,-9.6,6.4,3.5,322.4,108.1,50.6,8.5,25705,3.1,2.1
628,JS,Japan,Construction & Materials,119.7,23.9,8.3,1.1,11215.2,13.4,10.3,449.6,2.6,20.2,4.0,464.6,45.1,20.3,4.1,51419,12.8,7.8
629,SWISSCOM,Switzerland,Fixed Line Telecommunications,119.6,26.7,-0.4,1.3,9300.0,0.4,-1.6,1988.7,-4.5,8.7,21.4,1834.1,-10.4,-5.3,19.7,20108,3.0,0.9
630,FIBERHOME TELEKOMMUNICATIONS TECHNOLOGIES,China,Fixed Line Telecommunications,119.1,25.8,20.3,11.4,1049.0,11.9,16.6,45.6,51.6,9.1,4.3,53.1,-1.6,21.1,5.1,8867,4.7,10.8
631,ARIAD PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,117.9,12.8,   ,356.9,33.0,8065.0,-36.6,6.2,68.9,61.3,18.8,-198.4,33.4,  ,-600.4,307,2.3,36.0
632,KURARAY,Japan,Chemicals,117.8,4.1,2.7,4.1,2847.3,11.9,4.4,402.2,35.2,46.2,14.1,340.4,1.6,-2.1,12.0,7550,3.0,4.9
633,EAST JAPAN RAILWAY,Japan,Travel & Leisure,117.3,5.6,1.3,0.6,18612.7,1.2,2.1,3543.1,4.0,1.7,19.0,2756.7,8.9,6.5,14.8,73551,0.7,0.8
634,GUANGZHOU AUTOMOBILE,China,Automobiles & Parts,117.3,17.7,12.8,5.2,2236.8,45.2,29.1,226.2,-35.4,12.2,10.1,-77.7,-51.2,  ,-3.5,38500,10.9,9.5
635,HEIDELBERGER DRUCKMASCHINEN,Germany,Industrial Engineering,116.9,-1.1,-1.1,4.8,2434.2,-11.0,-2.5,51.3,-36.1,-11.2,2.1,72.6,145.4,95.7,3.0,13041,-8.3,-6.3
636,TSINGHUA TONGFANG,China,Technology Hardware & Equipment,115.9,8.9,50.2,4.4,2649.6,-0.2,7.4,158.5,-23.2,-1.0,6.0,122.4,0.2,32.8,4.6,17850,21.4,114.8
637,CHEIL INDUSTRIES,South Korea,Chemicals,115.9,15.6,11.9,3.8,3030.6,-26.6,-4.9,228.3,-19.4,9.7,7.5,150.4,-36.6,-15.9,5.0,3825,   ,   
638,EPICOR SOFTWARE,US,Software & Computer Services,114.8,67.6,44.5,16.5,697.4,12.4,29.7,,   ,   ,0.0,44.9,15.6,47.7,6.4,,   ,-100.0
639,ESTEE LAUDER,US,Personal Goods,114.5,52.4,22.6,1.4,7953.7,7.7,7.6,370.0,10.7,13.3,4.7,1324.6,18.7,16.9,16.7,42400,5.5,9.5
640,SILICON LABORATORIES,US,Technology Hardware & Equipment,114.4,14.8,6.7,27.2,420.6,3.0,5.5,7.6,-89.7,-8.9,1.8,46.6,-24.9,-9.5,11.1,1060,6.3,7.8
641,KION,Germany,Industrial Engineering,114.2,-1.1,4.2,2.5,4494.6,-4.9,8.3,125.8,-18.9,0.6,2.8,356.2,-37.8,118.1,7.9,22273,5.0,3.7
642,SCA,Sweden,Forestry & Paper,114.0,18.1,12.0,1.1,10048.4,4.2,-6.6,626.5,-2.2,-4.5,6.2,856.6,22.6,-1.9,8.5,34004,0.7,-9.1
643,LAFARGE,France,Construction & Materials,114.0,-1.7,-9.3,0.8,15198.0,-3.9,-2.0,1051.0,35.6,-7.6,6.9,1725.0,-8.9,-6.7,11.4,54822,-5.5,-6.5
644,VALEANT PHARMACEUTICALS,Canada,Pharmaceuticals & Biotechnology,113.7,98.3,31.9,2.7,4183.6,62.7,69.7,83.6,7.1,90.0,2.0,-296.9,-613.9,54.9,-7.1,17200,145.7,   
645,DIALOG SEMICONDUCTOR,UK,Technology Hardware & Equipment,113.7,25.6,39.1,17.4,654.7,16.7,44.9,16.8,-33.8,33.4,2.6,74.4,12.8,31.3,11.4,1100,36.5,40.3
646,BANDAI NAMCO,Japan,Leisure Goods,113.2,-1.1,0.7,3.2,3495.9,4.2,8.8,71.7,17.8,16.2,2.1,293.8,-11.4,40.6,8.4,7151,2.4,0.4
647,EMULEX,US,Technology Hardware & Equipment,113.1,-7.4,-3.0,34.9,324.4,-6.5,-0.4,11.6,1.7,-13.8,3.6,-2.6,-184.2,-60.5,-0.8,1122,-11.2,4.9
648,ENDRESS & HAUSER,Switzerland,Electronic & Electrical Equipment,112.7,4.5,6.2,6.8,1666.1,10.3,8.0,,   ,   ,0.0,268.2,9.7,38.3,16.1,10066,6.9,6.1
649,NOVATEK MICROELECTRONICS,Taiwan,Electronic & Electrical Equipment,112.0,12.8,9.6,11.2,1000.5,11.9,4.5,3.7,-4.7,-1.6,0.4,131.4,9.4,2.8,13.1,,-100.0,-100.0
650,REPSOL YPF,Spain,Oil & Gas Producers,112.0,8.7,16.4,0.2,55746.0,-2.5,1.3,3438.0,0.4,-10.9,6.2,2734.0,-34.0,-16.9,4.9,30296,1.0,-11.2
651,CHUNGHWA PICTURE TUBES,Taiwan,Electronic & Electrical Equipment,111.8,13.7,-3.7,7.9,1415.9,21.5,-10.5,82.0,-41.3,-1.9,5.8,36.7,-115.0,  ,2.6,,-100.0,-100.0
652,ALERE,US,Health Care Equipment & Services,111.7,-0.5,6.4,5.1,2196.7,7.5,12.0,88.6,-11.1,8.3,4.0,117.8,19.4,  ,5.4,17600,1.1,13.9
653,LOGITECH INTERNATIONAL,Switzerland,Technology Hardware & Equipment,111.6,-5.2,4.3,7.3,1522.6,-9.3,2.2,34.0,-1.8,5.6,2.2,-185.1,-426.9,  ,-12.2,,   ,   
654,INGENICO,France,Electronic & Electrical Equipment,111.6,11.0,7.6,8.1,1370.9,13.6,14.8,40.2,-19.3,18.6,2.9,189.5,22.2,42.7,13.8,4662,18.3,15.0
655,ALTRIA,US,Tobacco,110.9,12.5,2.0,0.6,17740.6,-0.6,0.1,95.0,5.6,-8.0,0.5,5877.7,12.6,8.2,33.1,9000,-1.1,-3.5
656,PERRIGO,US,Pharmaceuticals & Biotechnology,110.6,32.4,19.6,3.8,2944.5,14.7,13.8,,   ,   ,0.0,402.1,-18.2,4.0,13.7,10220,3.2,5.5
657,HARLEY-DAVIDSON,US,Automobiles & Parts,110.4,10.9,2.1,2.6,4278.1,5.7,6.7,151.1,10.2,6.8,3.5,835.0,11.9,21.7,19.5,5800,0.0,-2.7
658,DST SYSTEMS,US,Software & Computer Services,110.3,-4.7,-2.1,5.7,1927.8,3.2,4.5,74.5,4.9,3.4,3.9,227.1,99.1,-3.0,11.8,19530,9.0,20.4
659,ANSYS,US,Software & Computer Services,109.8,15.5,19.4,17.6,624.5,7.9,14.1,20.9,20.3,26.5,3.3,233.4,9.0,13.6,37.4,2600,8.3,16.1
660,SUN PHARMACEUTICAL INDUSTRIES,India,Pharmaceuticals & Biotechnology,109.8,50.0,48.5,8.3,1316.6,40.4,43.4,102.9,23.2,45.7,7.8,549.2,55.1,54.6,41.7,,   ,   
661,NETEASE.COM,Cayman Islands,Software & Computer Services,109.5,28.3,42.6,10.0,1092.7,12.1,18.6,26.0,22.5,-9.8,2.4,521.6,15.2,19.9,47.7,7688,46.3,13.5
662,ALTANA,Germany,Chemicals,109.4,6.9,10.1,6.2,1765.4,3.5,4.8,,   ,   ,0.0,233.6,1.9,0.3,13.2,5741,7.0,5.2
663,ARRIUM,Australia,Industrial Metals & Mining,109.3,36.0,3.5,2.4,4503.9,2.4,-0.6,162.8,-34.1,1.8,3.6,269.3,-156.6,1.5,6.0,9269,-8.0,-7.2
664,MERZ,Germany,Pharmaceuticals & Biotechnology,109.2,-10.2,-4.6,10.6,1031.0,6.7,13.5,,   ,   ,0.0,329.0,25.0,30.7,31.9,2885,0.1,   
665,LYONDELLBASELL INDUSTRIES,The Netherlands,Chemicals,108.8,-0.7,19.5,0.3,31956.3,-3.3,16.8,1131.9,47.3,49.6,3.5,3548.0,15.9,33.4,11.1,13300,-0.7,-1.7
666,SALIX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,108.7,21.7,26.9,16.1,677.1,27.0,40.5,5.0,29.2,7.6,0.7,185.3,79.3,  ,27.4,555,5.7,12.5
667,SOFTWARE,Germany,Software & Computer Services,107.9,6.8,5.5,11.1,972.7,-7.1,-4.6,13.8,4.1,3.5,1.4,203.6,-16.5,-9.3,20.9,5238,-3.3,-3.3
668,BARCO,Belgium,Electronic & Electrical Equipment,107.5,10.5,14.2,9.3,1158.0,0.2,8.9,22.9,-8.0,-25.1,2.0,72.5,-26.1,17.1,6.3,3979,6.8,6.5
669,ABENGOA,Spain,General Industrials,107.4,17.7,5.1,1.5,7356.5,-5.5,9.7,101.4,-73.4,-54.6,1.4,794.0,2.5,4.5,10.8,24748,-5.3,-1.8
670,HUSQVARNA,Sweden,Industrial Engineering,107.3,1.1,4.6,3.1,3421.0,-1.7,-2.0,89.9,54.3,-7.0,2.6,181.8,-3.4,-13.0,5.3,14156,-8.3,-1.8
671,FLIR SYSTEMS,US,Electronic & Electrical Equipment,107.1,7.2,8.2,9.9,1085.0,6.5,2.5,37.7,-10.4,-7.6,3.5,193.3,-12.1,-9.6,17.8,2839,   ,-4.1
672,SMC,Japan,Industrial Engineering,107.0,13.2,4.1,3.9,2722.1,22.3,6.7,178.4,63.6,30.5,6.6,723.6,34.7,8.6,26.6,16010,2.7,1.5
673,SICK,Germany,Electronic & Electrical Equipment,106.6,15.7,17.0,10.6,1009.5,3.9,10.5,,   ,   ,0.0,88.5,5.2,9.7,8.8,6246,5.6,8.8
674,QLOGIC,US,Technology Hardware & Equipment,106.6,-5.8,0.6,31.9,334.2,-4.9,-6.2,20.0,-41.1,5.8,6.0,40.1,-4.4,-28.0,12.0,1044,-15.1,-3.1
675,OC OERLIKON,Switzerland,General Industrials,106.6,7.4,-20.6,4.5,2344.9,-0.8,-7.1,136.6,-7.2,13.5,5.8,297.7,-13.1,104.2,12.7,12860,-21.8,-8.3
676,MEDICINES,US,Pharmaceuticals & Biotechnology,106.5,16.2,19.9,21.4,498.8,23.1,16.3,9.8,-64.0,241.8,2.0,9.6,-84.1,-41.1,1.9,571,6.1,10.8
677,APPLIED MICRO CIRCUITS,US,Technology Hardware & Equipment,106.3,-21.6,8.7,67.8,156.7,10.5,-4.4,4.3,-34.2,-15.1,2.8,-6.8,-92.9,-4.6,-4.3,591,-14.8,-4.2
678,SINA,Cayman Islands,Technology Hardware & Equipment,106.1,35.4,62.6,22.0,482.3,25.7,18.2,70.8,83.5,67.2,14.7,11.9,-143.5,  ,2.5,,-100.0,-100.0
679,QIAGEN,The Netherlands,Pharmaceuticals & Biotechnology,105.9,19.3,3.4,11.2,944.1,3.8,6.2,55.2,-25.4,-1.5,5.8,23.6,-81.2,-45.4,2.5,4015,0.4,3.8
680,SPECTRIS,UK,Electronic & Electrical Equipment,105.7,3.5,12.4,7.4,1435.3,-2.3,10.0,37.9,10.1,18.8,2.6,223.9,-5.4,13.5,15.6,7344,-0.2,8.3
681,ROPER INDUSTRIES,US,Electronic & Electrical Equipment,105.6,15.7,12.5,4.5,2348.0,8.2,10.7,30.8,10.7,14.2,1.3,610.8,11.2,17.9,26.0,9913,4.6,7.2
682,LEONI,Germany,Electronic & Electrical Equipment,105.4,13.9,11.6,2.7,3917.9,2.9,9.8,153.6,-4.4,14.6,3.9,164.6,-26.7,7.7,4.2,61591,3.7,3.7
683,SEMICONDUCTOR MANUFACTURING,Cayman Islands,Technology Hardware & Equipment,105.4,-24.9,-6.0,7.0,1500.2,21.6,10.0,471.4,62.4,9.8,31.4,113.5,523.4,37.6,7.6,10446,4.7,1.2
684,PERFECT WORLD,Cayman Islands,Software & Computer Services,105.3,10.4,25.5,29.0,362.7,10.2,7.3,34.6,167.3,5.9,9.5,38.3,-36.3,-28.6,10.6,4805,5.2,5.9
685,COBHAM,UK,Aerospace & Defence,105.1,16.7,4.2,4.9,2137.1,2.3,-2.0,69.3,20.3,-3.7,3.2,188.3,-33.8,-12.3,8.8,10090,1.0,-4.6
686,LUPIN,India,Pharmaceuticals & Biotechnology,104.8,31.2,24.3,8.1,1298.8,17.2,24.8,61.9,-4.1,7.2,4.8,332.4,43.0,40.8,25.6,,   ,   
687,INFOSYS,India,Software & Computer Services,104.7,-5.5,19.3,1.8,5873.0,24.2,22.2,321.9,31.2,28.2,5.5,1810.4,18.4,20.1,30.8,160405,2.4,2.3
688,GAMELOFT,France,Software & Computer Services,104.5,5.7,10.2,44.8,233.3,12.0,18.3,15.8,158.3,57.7,6.8,24.9,61.2,12.3,10.7,6391,2.7,9.9
689,MASTERCARD,US,Financial Services,104.4,18.0,17.0,1.7,6051.8,12.9,14.6,216.8,37.2,25.6,3.6,3318.1,14.7,18.4,54.8,8200,9.3,13.6
690,SK INNOVATION,South Korea,Oil & Gas Producers,104.0,1.3,12.2,0.2,45805.2,-9.1,7.5,2007.4,71.5,47.7,4.4,950.1,-18.6,-14.7,2.1,,   ,   
691,HEIDELBERGCEMENT,Germany,Construction & Materials,103.9,13.1,15.4,0.7,13935.9,-0.6,5.8,914.9,13.9,8.6,6.6,1320.0,17.1,2.2,9.5,52560,1.1,-0.6
692,FINCANTIERI,Italy,Industrial Engineering,103.9,67.5,32.8,4.5,2301.0,-0.7,-9.1,,   ,   ,0.0,13.0,-395.5,  ,0.6,10227,4.3,-0.6
693,NEWELL RUBBERMAID,US,Household Goods & Home Construction,103.8,-15.4,3.6,2.5,4127.7,2.0,0.2,100.2,-22.0,-5.7,2.4,530.9,5.7,1.5,12.9,18300,0.0,-1.9
694,IBIDEN,Japan,Electronic & Electrical Equipment,103.5,-0.6,1.1,4.8,2136.5,8.5,0.6,248.1,-23.6,-7.5,11.6,148.9,312.7,-12.8,7.0,14122,18.9,2.7
695,ACI WORLDWIDE,US,Software & Computer Services,103.4,6.6,24.4,16.5,627.2,29.8,27.4,23.6,95.7,35.3,3.8,96.9,57.8,35.6,15.5,4329,22.6,26.6
696,ENDO PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,103.3,-37.0,-0.5,21.1,489.2,-77.7,-37.2,,   ,   ,0.0,,   ,   ,0.0,4629,0.0,3.3
697,SCHINDLER,Switzerland,Industrial Engineering,103.3,10.4,5.2,1.4,7168.1,6.7,2.5,205.0,90.9,19.7,2.9,685.7,-7.8,-4.3,9.6,,-100.0,-100.0
698,WEICHAI POWER,China,Automobiles & Parts,103.3,-6.0,-0.7,2.7,3884.5,-41.3,-16.6,85.2,-51.1,-40.6,2.2,376.3,-32.8,-23.4,9.7,,-100.0,-100.0
699,LINDE,Germany,Chemicals,103.0,-12.7,3.1,0.6,16655.0,5.2,9.0,2162.0,16.0,22.0,13.0,2132.0,5.6,9.2,12.8,63487,1.2,9.4
700,TCL COMMUNICATION TECHNOLOGY,Cayman Islands,Technology Hardware & Equipment,102.8,11.8,43.3,5.7,1810.7,60.9,30.6,45.2,96.4,54.1,2.5,52.8,-970.2,-2.7,2.9,12000,9.1,16.4
701,IAC/INTERACTIVECORP,US,Software & Computer Services,102.5,38.7,29.5,4.7,2192.0,7.9,22.7,58.2,56.9,26.3,2.7,305.2,33.7,115.7,13.9,4000,-4.8,7.7
702,INTEGRATED DEVICE TECHNOLOGY,US,Technology Hardware & Equipment,102.1,-17.1,-3.0,29.0,351.5,0.1,-7.1,12.7,-37.4,11.7,3.6,22.4,-440.1,-25.7,6.4,1484,-15.1,-10.3
703,GALENICA,Switzerland,Pharmaceuticals & Biotechnology,101.8,-11.6,-5.2,3.7,2732.4,2.0,2.7,46.5,25.7,-0.1,1.7,316.3,12.2,6.6,11.6,6352,4.3,4.7
704,HUNTSMAN,US,Chemicals,101.5,-7.9,-2.5,1.3,8033.5,-1.0,6.2,341.5,14.3,25.9,4.3,479.3,-29.5,14.6,6.0,12000,0.0,0.0
705,PACE,UK,Technology Hardware & Equipment,101.4,-11.7,21.6,5.7,1790.4,2.7,6.2,15.7,-4.4,-10.9,0.9,103.5,52.2,7.9,5.8,2051,10.0,22.6
706,ARUBA NETWORKS,US,Technology Hardware & Equipment,101.3,27.7,39.4,23.3,435.1,16.1,31.1,15.0,58.3,57.4,3.4,1.4,-81.5,  ,0.3,1473,20.4,29.3
707,BOREALIS,Austria,Chemicals,101.2,4.3,4.8,   ,,-100.0,-100.0,,   ,   ,   ,,   ,   ,   ,179,2.3,0.9
708,WINBOND ELECTRONICS,Taiwan,Technology Hardware & Equipment,101.1,-2.5,2.7,12.6,799.8,0.5,-6.0,54.2,-28.2,-33.0,6.8,19.3,-175.0,-41.3,2.4,,-100.0,-100.0
709,SPREADTRUM COMMUNICATIONS,Cayman Islands,Technology Hardware & Equipment,101.1,18.9,55.6,19.2,525.9,7.6,90.4,,   ,   ,0.0,73.2,-31.2,  ,13.9,1506,9.4,30.2
710,POLARIS INDUSTRIES,US,Industrial Engineering,100.9,9.3,16.0,3.7,2738.8,17.7,23.8,182.3,143.9,65.2,6.7,385.8,19.7,37.7,14.1,5400,   ,21.6
711,FUJIKURA,Japan,Electronic & Electrical Equipment,100.9,-1.8,1.7,2.5,4069.6,20.3,4.2,231.2,-35.9,-0.1,5.7,123.7,215.5,2.1,3.0,53409,1.9,0.1
712,PETROLEOS DE VENEZUELA,Venezuela,Oil & Gas Producers,100.8,-38.8,-20.4,0.1,82647.4,-8.4,6.3,,   ,   ,0.0,23168.7,-0.2,3.2,28.0,121187,0.0,2.1
713,NICE-SYSTEMS,Israel,Software & Computer Services,100.5,12.2,11.6,14.6,688.3,8.0,11.2,14.7,-29.3,20.1,2.1,57.8,74.8,17.6,8.4,3576,5.2,8.6
714,SANKEN ELECTRIC,Japan,Technology Hardware & Equipment,100.5,21.4,7.8,10.1,994.8,14.3,-0.1,69.2,69.8,-0.9,7.0,53.6,71.4,9.6,5.4,10377,-0.5,1.3
715,TEMENOS,Switzerland,Software & Computer Services,100.5,-1.1,7.6,29.6,339.2,3.9,1.5,2.4,-39.8,-0.8,0.7,67.8,94.3,8.3,20.0,3500,-5.4,-6.3
716,OLD MUTUAL,UK,Life Insurance,100.3,16.7,1.2,2.5,4040.9,-0.6,2.3,,   ,   ,0.0,-10970.3,1.1,0.2,-271.5,,-100.0,-100.0
717,MUNDIPHARMA RESEARCH,UK,Pharmaceuticals & Biotechnology,100.0,13.0,9.0,80.5,124.2,14.0,9.1,,   ,   ,0.0,11.3,15.6,9.2,9.1,271,3.4,2.9
718,MITSUBISHI GAS CHEMICAL,Japan,Chemicals,99.8,-5.5,-4.0,2.7,3681.8,14.3,5.8,202.5,-2.3,4.3,5.5,-1.6,-102.0,  ,0.0,5445,2.3,3.0
719,TOYO SEIKAN KAISHA,Japan,General Industrials,99.8,0.3,1.3,1.8,5407.3,7.8,3.6,471.4,6.9,8.0,8.7,125.5,72.0,-9.0,2.3,18344,1.9,1.9
720,SASOL,South Africa,Oil & Gas Producers,99.7,14.7,16.7,0.8,12530.2,7.0,14.0,213.5,19.1,14.9,1.7,3225.4,26.1,22.9,25.7,35471,1.6,2.1
721,NEWMARKET,US,Chemicals,99.0,15.9,14.4,6.0,1653.5,3.1,8.3,42.4,50.9,17.1,2.6,255.1,-1.8,7.0,15.4,1789,   ,5.4
722,METRO,Germany,General Retailers,99.0,-26.1,-5.1,0.2,46321.0,-30.6,-11.7,549.0,-57.9,-27.0,1.2,546.0,-55.6,-35.8,1.2,278594,-3.3,-1.8
723,BRP,Canada,Travel & Leisure,98.7,13.0,   ,4.5,2176.8,10.3,   ,91.6,-6.1,   ,4.2,205.7,37.0,   ,9.5,,   ,   
724,WINCOR NIXDORF,Germany,Software & Computer Services,98.7,9.1,-0.9,4.0,2465.0,5.2,3.3,39.2,-14.6,-5.4,1.6,130.9,29.3,-6.9,5.3,8826,-2.6,-1.7
725,BALLY TECHNOLOGIES,US,Travel & Leisure,98.5,22.3,15.5,11.2,881.1,21.9,17.0,17.5,43.5,22.2,2.0,196.7,15.2,21.4,22.3,4000,16.2,12.3
726,MINDRAY MEDICAL INTERNATIONAL,Cayman Islands,Health Care Equipment & Services,98.4,16.6,25.2,11.2,880.3,14.5,19.9,60.7,28.9,8.3,6.9,152.4,9.0,8.5,17.3,7900,16.2,7.3
727,SEMTECH,US,Technology Hardware & Equipment,98.1,12.7,24.8,22.7,431.4,2.8,9.4,29.5,66.0,16.8,6.8,-67.0,-271.9,  ,-15.5,1455,1.5,14.0
