World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
583,MINEBEA,Japan,Japan,Industrial Engineering,200.6,4.4,6971.8,0.4,2.9,411.9,13.2,5.9,568.4,3.6,8.2,77957.0,-0.5,7020.4,15.4
584,INGERSOLL-RAND,Ireland,EU,Industrial Engineering,199.7,8.5,13684.0,10.4,1.5,319.3,65.2,2.3,1674.6,15.1,12.2,49000.0,6.5,21700.8,14.7
585,CONTEMPORARY AMPEREX TECHNOLOGY,China,China,Electronic & Electrical Equipment,199.1,-4.3,3618.7,49.1,5.5,844.8,-7.7,23.3,636.4,32.3,17.6,24875.0,69.1,1813.4, 
586,SUNTORY,Japan,Japan,Beverages,198.5,3.1,17736.6,4.3,1.1, , , ,1931.9,-2.8,10.9,39466.0,4.6, , 
587,CHONGQING SOKON INDUSTRY,China,China,Automobiles & Parts,197.9,103.8,2421.7,-8.4,8.2,328.6,61.7,13.6,107.9,-45.2,4.5,14710.0,14.7,390.0,-14.7
588,KWS SAAT,Germany,EU,Food Producers,197.7,3.9,1068.0,-0.7,18.5,55.1,-3.5,5.2,134.3,4.7,12.6,5147.0,4.3,2309.3,22.1
589,ENI,Italy,EU,Oil & Gas Producers,197.0,6.5,75822.0,13.3,0.3,8778.0,3.4,11.6,11489.0,25.0,15.2,31701.0,-3.7,58074.3,21.3
590,UMICORE,Belgium,EU,Industrial Metals & Mining,196.4,12.1,13716.7,14.8,1.4,466.0,32.7,3.4,582.3,54.7,4.2,10092.0,2.5,11837.1,68.4
591,YAMAHA,Japan,Japan,Leisure Goods,196.4,0.5,3446.9,1.0,5.7,159.1,-12.1,4.6,439.2,14.2,12.7,20375.0,0.7,8015.4,34.6
592,DONGFANG ELECTRIC,China,China,Industrial Engineering,196.0,34.2,3692.0,-9.8,5.3,23.6,-11.8,0.6,131.8,-42.4,3.6,17608.0,0.7,164.9,-48.2
593,TAKE-TWO INTERACTIVE SOFTWARE,US,US,Software & Computer Services,195.4,17.8,2330.5,48.8,8.4,58.5,8.8,2.5,176.2,34.2,7.6,4894.0,8.9,13277.6,45.9
594,JOHNSON MATTHEY,UK,EU,Chemicals,195.1,-2.8,11913.8,4.6,1.6,238.4,36.9,2.0,593.2,48.6,5.0,14795.0,4.7,7501.9,26.5
595,WARTSILA,Finland,EU,Industrial Engineering,195.0,24.2,5174.0,5.4,3.8,110.0,71.9,2.1,543.0,1.1,10.5,19294.0,6.8,10763.4,-5.8
596,JSR,Japan,Japan,Chemicals,194.9,21.7,3914.5,17.7,5.0,285.3,-3.0,7.3,340.7,0.2,8.7,8748.0,21.4,3843.6,0.7
597,NANJING IRON & STEEL,China,China,Industrial Metals & Mining,194.8,654.6,5495.7,15.8,3.5,80.2,55.1,1.5,816.3,48.1,14.9,10572.0,-1.4,2159.0,-27.3
598,SHUTTERFLY,US,US,Software & Computer Services,194.7,10.3,1713.4,64.8,11.4,36.2,12.7,2.1,104.9,39.9,6.1,7094.0,266.8,2268.8,70.8
599,MYOVANT SCIENCES,UK,EU,Pharmaceuticals & Biotechnology,194.4,90.5, , , ,1.1,104.6, ,-231.3,87.7, ,167.0,94.2,1445.0,103.4
600,LONDON STOCK EXCHANGE,UK,EU,Financial Services,194.0,22.4,2118.9,8.1,9.2,55.4,6.4,2.6,832.7,21.3,39.3,4405.0,-7.1,17848.1,17.3
601,SICK,Germany,EU,Electronic & Electrical Equipment,193.9,14.7,1636.8,8.3,11.8,78.8,0.5,4.8,117.4,-20.9,7.2,8981.0,10.0, , 
602,GENERAL MILLS,US,US,Food Producers,193.8,1.3,14729.4,7.1,1.3,469.5,-13.7,3.2,2336.2,6.6,15.9,40000.0,0.0,23948.2,-10.2
603,TEBIAN ELECTRIC APPARATUS STOCK,China,China,Electronic & Electrical Equipment,193.3,-15.8,4927.9,4.3,3.9,536.0,9.4,10.9,465.2,-6.4,9.4,15657.0,-0.8,3190.4,-32.9
604,AMPHENOL,US,US,Electronic & Electrical Equipment,192.9,14.0,7163.3,17.0,2.7,271.3,37.1,3.8,1480.7,18.4,20.7,73600.0,5.1,24809.9,14.9
605,AHOLD,Netherlands,EU,Food & Drug Retailers,192.0,34.3,62791.0,-0.2,0.3,178.0,-89.5,0.3,2399.0,9.9,3.8,372000.0,0.8,26133.1,35.1
606,JIANGLING MOTORS,China,China,Automobiles & Parts,191.1,-26.2,3474.0,-9.3,5.5,176.5,35.8,5.1,-42.0,398.6,-1.2,16540.0,-4.6,296.6,-49.0
607,HOLOGIC,US,US,Health Care Equipment & Services,191.0,-6.1,2810.4,5.2,6.8,92.2,-1.9,3.3,-195.4,-146.2,-7.0,6252.0,0.3,9449.4,-0.1
608,PERRIGO,Ireland,EU,Pharmaceuticals & Biotechnology,190.9,30.4,4132.5,-4.3,4.6,89.6,15.8,2.2,208.0,-60.6,5.0,10600.0,1.9,9143.3,-7.0
609,FINISAR,US,US,Technology Hardware & Equipment,190.3,-8.8,1118.3,-2.7,17.0,183.3,-5.2,16.4,-26.7,-824.7,-2.4,13000.0,0.0,2088.3,-13.0
610,ESSILORLUXOTTICA,France,EU,Health Care Equipment & Services,190.0,-12.4,10799.0,17.6,1.8,710.0,6.9,6.6,1359.0,4.7,12.6,150616.0,76.9,27240.2,17.5
611,HOYA,Japan,Japan,Leisure Goods,189.7,13.4,4458.7,5.6,4.3,210.2,48.4,4.7,2127.1,13.3,47.7,37412.0,-1.1,19528.6,1.0
612,BLACKBERRY,Canada,RoW,Technology Hardware & Equipment,189.5,-7.3,789.5,-3.0,24.0,14.8,13.3,1.9,55.0,-78.4,7.0,3945.0,20.0,4778.4,21.4
613,VERINT SYSTEMS,US,US,Software & Computer Services,189.0,11.7,1074.0,8.3,17.6,27.7,-10.8,2.6,102.0,171.2,9.5,6100.0,17.3,2752.1,24.5
614,SINA,China,China,Technology Hardware & Equipment,188.8,-19.1,1841.3,33.1,10.3,40.6,3.4,2.2,407.8,20.2,22.1,9207.0,12.0,4429.3,-30.3
615,NICE,Israel,RoW,Software & Computer Services,188.7,3.4,1261.6,8.4,15.0,55.6,-6.1,4.4,172.6,31.7,13.7,5504.0,5.7,5937.6,52.1
616,ECOLAB,US,US,Chemicals,188.6,7.5,12810.6,6.0,1.5,739.8,-2.5,5.8,1892.7,17.3,14.8,49000.0,1.2,37968.7,12.7
617,JAZZ PHARMACEUTICALS,Ireland,EU,Pharmaceuticals & Biotechnology,188.3,20.5,1651.5,16.8,11.4,17.8,-29.6,1.1,574.4,24.4,34.8,1360.0,12.4,9017.6,15.1
618,ADIENT,Ireland,EU,Automobiles & Parts,187.8,55.8,15230.6,7.6,1.2, , , ,-853.3,-181.9,-5.6,85000.0,0.0,3530.2,-38.6
619,PORTOLA PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,187.5,6.3,35.0,78.0,535.0,2.2,107.0,6.4,-301.6,26.6,-860.5,324.0,28.6,1722.8,-46.1
620,SANTEN PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,187.2,-2.6,1844.2,4.0,10.2,43.1,37.3,2.3,325.0,-8.8,17.6,4073.0,-50.3,5491.1,0.6
621,KDDI,Japan,Japan,Technology Hardware & Equipment,187.0,17.9,40034.2,0.8,0.5,3148.4,10.6,7.9,7899.7,5.6,19.7,41996.0,8.2,58680.9,-3.0
622,DOCUSIGN,US,US,Software & Computer Services,186.8,83.3,612.2,35.2,30.5,26.6,60.7,4.3,-372.3,725.4,-60.8,3023.0,34.1,8551.2, 
623,PROXIMUS,Belgium,EU,Mobile Telecommunications,185.0,2.8,5764.0,0.4,3.2,684.0,3.3,11.9,781.0,-3.6,13.5,13385.0,0.0,6708.1,-33.0
624,INGENICO,France,EU,Electronic & Electrical Equipment,184.6,3.3,2643.4,5.5,7.0,117.3,33.6,4.4,278.4,-25.0,10.5,7840.0,-2.0,3822.8,-26.5
625,CLARIANT,Switzerland,RoW,Chemicals,184.5,2.5,5874.2,3.9,3.1,210.2,-4.4,3.6,484.3,10.1,8.2,17901.0,-1.3,7130.5,4.7
626,VOESTALPINE,Austria,EU,Industrial Metals & Mining,184.3,15.1,13560.7,5.1,1.4,1045.7,23.0,7.7,780.4,-35.5,5.8,50102.0,2.4,6814.1,-11.4
627,ENDRESS & HAUSER,Switzerland,RoW,Electronic & Electrical Equipment,184.2,7.9,2454.6,9.5,7.5,155.3,12.4,6.3,330.6,31.4,13.5,13928.0,4.7, , 
628,YONYOU SOFTWARE,China,China,Software & Computer Services,183.8,11.9,934.5,21.1,19.7,62.1,7.2,6.6,150.7,18.9,16.1,16079.0,5.8,6692.7,72.3
629,EXTREME NETWORKS,US,US,Technology Hardware & Equipment,183.5,14.3,869.7,1.3,21.1,19.9,-43.8,2.3,-5.4,-126.0,-0.6,2713.0,0.0,647.9,-41.1
630,AVAYA HOLDINGS,US,US,Technology Hardware & Equipment,183.4,-8.3,2490.0,-12.9,7.4,64.6,29.8,2.6,5.2,-96.4,0.2,8100.0,-6.9,2243.3, 
631,SK INNOVATION,South Korea,RoW,Oil & Gas Producers,182.8,-19.7,42670.7,18.1,0.4,1166.9,47.5,2.7,1657.6,-34.3,3.9, , ,13969.6,2.4
632,KT,South Korea,RoW,Fixed Line Telecommunications,182.7,-44.0,18364.4,0.3,1.0,2353.9,-1.6,12.8,987.5,-8.3,5.4,23835.0,-0.4,5907.1,-7.4
633,DNB,Norway,RoW,Banks,182.1,-5.8,4952.0,-3.7,3.7,320.7,-2.6,6.5,2912.4,7.9,58.8,9638.0,0.8,27540.1,11.0
634,ENGIE,France,EU,"Gas, Water & Multiutilities",182.0,1.1,62825.0,-2.8,0.3,6202.0,7.3,9.9,3884.0,3.1,6.2,249795.0,4.9,30757.6,-9.9
635,ITRON,US,US,Electronic & Electrical Equipment,181.6,22.3,2075.2,17.7,8.7,52.4,21.1,2.5,24.0,-83.0,1.2,8000.0,2.6,2279.0,-7.1
636,JACK HENRY & ASSOCIATES,US,US,Software & Computer Services,181.2,11.0,1356.1,5.6,13.4,46.8,33.5,3.5,303.3,-2.4,22.4,6402.0,1.5,10679.7,53.2
637,GLENMARK PHARMACEUTICALS,India,RoW,Pharmaceuticals & Biotechnology,181.2,18.2,1122.8,1.2,16.1,130.7,39.6,11.6,175.8,-4.9,15.7,13716.0,5.8,2149.8,-27.7
638,CANADIAN NATIONAL RAILWAY,Canada,RoW,Travel & Leisure,181.2,103.6,9169.0,9.8,2.0,2260.7,32.1,24.7,3523.9,-1.0,38.4,25720.0,7.4,54553.8,11.9
639,VIFOR PHARMA,Switzerland,RoW,Pharmaceuticals & Biotechnology,180.8,8.6,1405.4,18.1,12.9,55.6,25.9,4.0,201.8,69.4,14.4,2671.0,0.8,10299.3,84.4
640,LITE-ON TECHNOLOGY,Taiwan,RoW,Technology Hardware & Equipment,180.4,-1.1,5885.6,-3.5,3.1,160.5,34.3,2.7,362.3,30.8,6.2, , ,2468.5,-17.2
641,MAHINDRA & MAHINDRA,India,RoW,Automobiles & Parts,180.2,1.0,11644.4,12.9,1.5,543.2,-8.3,4.7,162.4,-62.7,1.4,42875.0,105.5,15016.4,43.7
642,SCREEN HOLDINGS,Japan,Japan,Technology Hardware & Equipment,179.9,9.5,2870.2,7.3,6.3,123.6,58.3,4.3,227.0,-32.5,7.9,6099.0,4.5,3366.3,18.3
643,DR REDDY'S LABORATORIES,India,RoW,Pharmaceuticals & Biotechnology,179.9,-23.0,1925.2,8.3,9.3,87.0,-25.1,4.5,243.3,62.4,12.6,21966.0, ,5175.5,23.4
644,VISMA,Norway,RoW,Software & Computer Services,179.8,20.4,1144.6,21.9,15.7,8.3,30.2,0.7,143.0,23.1,12.5,9536.0,36.1, , 
645,CHECK POINT SOFTWARE TECHNOLOGIES,Israel,RoW,Software & Computer Services,179.6,11.3,1673.8,3.3,10.7,15.0,-40.4,0.9,798.1,-1.1,47.7,5070.0,10.8,16138.2,-0.5
646,ZHENGZHOU COAL MINING MACHINERY,China,China,Industrial Engineering,179.6,431.0,3315.0,244.7,5.4,107.6,103.4,3.2,193.4,395.6,5.8,8657.0,-11.3,1166.2, 
647,MATTEL,US,US,Leisure Goods,179.4,-8.8,3939.6,-7.6,4.6,133.1,-48.7,3.4,-110.7,-57.4,-2.8,27000.0,-3.6,4637.8,-4.5
648,INTERCEPT PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,179.3,8.9,157.0,37.3,114.2,0.1,-98.4,0.1,-249.3,-14.9,-158.8,330.0,-34.9,2886.8,12.9
649,KRONES,Germany,EU,Industrial Engineering,179.0,3.8,3854.0,4.4,4.6,121.5,55.3,3.2,211.8,-10.7,5.5,16545.0,8.1,3307.8,0.8
650,PERFECT WORLD,China,China,Media,178.4,6.8,1014.1,1.6,17.6,17.9,-27.4,1.8,204.5,0.1,20.2,4300.0,-13.4,1473.1,2.6
651,WANHUA CHEMICAL GROUP,China,China,Chemicals,178.0,12.8,7559.4,13.5,2.4,1310.0,72.7,17.3,2134.8,-6.5,28.2,11080.0,20.9,17177.5,44.2
652,NETSCOUT SYSTEMS,US,US,Software & Computer Services,177.9,-5.3,794.7,-7.8,22.4,20.4,47.0,2.6,-37.8,-3579.7,-4.8,2585.0,-14.4,1758.4,-31.3
653,LUPIN,India,RoW,Pharmaceuticals & Biotechnology,177.9,-16.8,2048.4,5.3,8.7,123.3,-36.6,6.0,230.0,-11.3,11.2, , ,5276.7,-4.9
654,SEI INVESTMENTS,US,US,Financial Services,177.6,-6.0,1568.9,7.6,11.3,25.4,14.0,1.6,536.4,10.3,34.2,3820.0,5.6,8639.8,7.0
655,POU CHEN,Taiwan,RoW,Personal Goods,177.1,-3.1,8335.4,5.3,2.1,408.9,-4.8,4.9,452.8,-19.3,5.4,352256.0,-3.5,2834.6,-13.5
656,CSPC PHARMACEUTICAL,China,China,Pharmaceuticals & Biotechnology,176.9,94.4,2344.4,36.0,7.5,217.1,65.4,9.3,478.7,23.5,20.4,14471.0,29.1,13780.7,67.1
657,SHANGHAI FOSUN PHARMACEUTICAL,China,China,Pharmaceuticals & Biotechnology,176.6,47.0,3149.6,34.6,5.6,404.6,46.3,12.8,281.8,1.1,8.9,28245.0,-2.1,7107.0,-0.2
658,HANDSUN TECHNOLOGIES,China,China,Software & Computer Services,176.4,10.6,409.4,22.8,43.1,18.7,49.9,4.6,63.7,120.5,15.6,7122.0,4.9,4199.7,3.9
659,ESTEE LAUDER,US,US,Personal Goods,176.4,11.6,12980.8,8.6,1.4,649.8,18.3,5.0,2214.0,10.7,17.1,48000.0,4.3,27349.2,30.0
660,TSINGHUA TONGFANG,China,China,Technology Hardware & Equipment,176.4,-0.3,3107.2,-5.2,5.7,183.5,53.1,5.9,-215.2,-279.3,-6.9,12796.0,-5.5,3592.2, 
661,HUSQVARNA,Sweden,EU,Industrial Engineering,176.4,19.6,4006.4,4.3,4.4,150.4,18.2,3.8,224.1,-40.6,5.6,14076.0,1.9,3288.8,-9.1
662,PLANTRONICS,US,US,Technology Hardware & Equipment,176.3,139.8,1462.5,95.4,12.1,23.4,114.9,1.6,-49.3,-144.9,-3.4,7490.0,87.1,2332.0,86.4
663,SOGOU,China,China,Software & Computer Services,176.2,16.7,981.8,23.8,17.9,66.2,18.3,6.7,39.0,-52.4,4.0,2789.0,21.5,364.3, 
664,THERAVANCE BIOPHARMA,US,US,Pharmaceuticals & Biotechnology,175.8,15.8,52.7,292.4,333.5,6.3,200.9,12.0,-208.5,-8.2,-395.5,363.0,6.8,1394.2,-9.2
665,XINYU IRON & STEEL,China,China,Industrial Metals & Mining,175.8,222.9,6526.9,13.8,2.7,190.3,633.7,2.9,866.9,55.2,13.3,18412.0,-1.4,2276.6,-4.0
666,LOGMEIN,US,US,Software & Computer Services,175.4,7.7,1051.5,21.6,16.7,27.0,-15.5,2.6,75.1,-828.0,7.1,3515.0,27.4,3893.6,-26.1
667,DEXCOM,US,US,Health Care Equipment & Services,174.4,7.7,901.0,43.6,19.4,58.6,1.7,6.5,-162.7,338.4,-18.1,3900.0,30.4,11141.3,97.5
668,NINESTAR,China,China,Technology Hardware & Equipment,174.2,-16.7,2760.8,6.0,6.3,88.0,2.8,3.2,194.5,-160.6,7.0,16899.0,-7.2,2209.4,242.4
669,JOHN LEWIS,UK,EU,General Retailers,174.1,-14.0,11438.9,1.1,1.5,159.6,-37.0,1.4,204.6,-46.5,1.8,83900.0,-1.9, , 
670,WIX.COM,Israel,RoW,Software & Computer Services,174.1,29.1,527.3,41.8,33.0,12.3,13.8,2.3,-26.8,-38.8,-5.1,2487.0,37.2,4507.4,74.4
671,BLUE PRINT MEDICINES,US,US,Pharmaceuticals & Biotechnology,173.9,61.5,38.9,107.8,447.2,11.1,-18.3,28.5,-215.7,63.3,-554.9,217.0,45.6,2938.8,58.6
672,CHINA UNITED NETWORK COMMUNICATIONS,China,China,Mobile Telecommunications,173.8,75.0,33427.2,5.9,0.5,7241.7,-13.4,21.7,1213.2,21.1,3.6,246299.0,-2.5,15154.5,-30.2
673,BIO-RAD LABORATORIES,US,US,Health Care Equipment & Services,173.7,-12.8,1999.5,6.0,8.7,113.4,16.6,5.7,-85.8,-163.5,-4.3,8260.0,1.3,7027.4,50.6
674,WABCO,US,US,Automobiles & Parts,173.2,29.8,3345.8,15.9,5.2,103.2,12.9,3.1,452.8,11.9,13.5,16135.0,10.3,5686.9,-15.5
675,LENS TECHNOLOGY,China,China,Electronic & Electrical Equipment,171.9,-14.3,3352.8,12.9,5.1,1159.0,50.5,34.6,310.2,-27.9,9.3,88119.0,-6.8,1004.7,-44.9
676,CHINA TELECOM,China,China,Technology Hardware & Equipment,170.9,23.3,48061.5,3.0,0.4,10684.1,-4.0,22.2,3659.4,5.5,7.6,280747.0,-1.2,5708.8,-8.2
677,NTN,Japan,Japan,Industrial Engineering,170.7,3.1,5780.7,-1.5,3.0,334.0,16.2,5.8,78.7,-74.4,1.4,24988.0,-2.0,1913.3,2.7
678,CREE,US,US,Technology Hardware & Equipment,170.3,18.7,943.2,16.8,18.1,124.4,-23.3,13.2,-13.9,-43.2,-1.5,5319.0,-21.7,4277.0,106.1
679,GOERTEK,China,China,Electronic & Electrical Equipment,170.0,393.8,3181.4,34.2,5.3,452.0,6.2,14.2,376.4,47.6,11.8,46847.0,19.1,7487.7,59.5
680,VOITH,Germany,EU,General Industrials,170.0,8.6,4209.1,-0.3,4.0,73.6,-7.7,1.7,169.8,-6.0,4.0,19535.0,3.1, , 
681,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,China,China,Health Care Equipment & Services,169.7,30.8,1722.8,23.1,9.9,86.4, ,5.0,531.6,27.2,30.9,9234.0,11.0, , 
682,AMNEAL PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,169.6,140.2,677.5,-5.9,25.0,23.4,-45.9,3.4,-374.4,-11.9,-55.3,1257.0,-15.9, , 
683,PERKINELMER,US,US,Electronic & Electrical Equipment,169.4,34.4,2426.2,23.1,7.0,81.4,138.6,3.4,292.6,8.7,12.1,12500.0,13.6,8939.0,38.6
684,FISERV,US,US,Support Services,168.6,21.4,5085.6,2.2,3.3,314.4,25.4,6.2,1332.8,0.3,26.2,24000.0,0.0,28316.6,24.5
685,NGK INSULATORS,Japan,Japan,General Industrials,168.4,6.4,3652.5,2.7,4.6,810.3,53.3,22.2,423.7,-18.8,11.6,20115.0,7.1,4672.0,-11.8
686,SMC,Japan,Japan,Industrial Engineering,168.4,5.6,4546.5,-2.4,3.7,233.6,22.8,5.1,1420.0,-5.9,31.2,19746.0,0.3,19626.8,-2.0
687,SIKA,Switzerland,RoW,Chemicals,168.1,4.8,6284.3,13.4,2.7,207.0,47.3,3.3,838.9,5.5,13.3,20060.0,8.5,19425.1, 
688,HARLEY-DAVIDSON,US,US,Automobiles & Parts,167.3,9.4,4992.9,1.2,3.4,186.5,3.5,3.7,704.7,-8.5,14.1,5300.0,1.9,6199.6,-11.5
689,SHANGHAI TUNNEL ENGINEERING,China,China,Construction & Materials,167.1,-2.8,4715.9,18.2,3.5,168.6,-31.3,3.6,284.0,50.7,6.0,10805.0,14.9,2412.2,-40.6
690,TWILIO,US,US,Software & Computer Services,167.0,38.1,567.7,62.9,29.4,4.1,-49.5,0.7,-100.6,74.4,-17.7,1440.0,44.6,5414.2,234.0
691,KURARAY,Japan,Japan,Chemicals,166.7,0.9,4751.7,16.3,3.5,519.8,19.0,10.9,466.0,-19.5,9.8,10768.0,18.5,4507.8,-22.8
692,TOTO,Japan,Japan,Construction & Materials,166.7,2.7,4618.5,-1.0,3.6,243.5,-12.1,5.3,316.2,-23.5,6.8,33431.0,3.1,6554.8,12.3
693,FURUKAWA ELECTRIC,Japan,Japan,General Industrials,166.6,8.2,7813.9,2.5,2.1,339.3,25.3,4.3,301.1,-8.3,3.9,52215.0,0.6,2130.0,-35.8
694,HENGTONG OPTIC ELECTRIC,China,China,Technology Hardware & Equipment,166.5,22.9,4226.3,31.0,3.9,484.2,70.2,11.5,459.2,28.5,10.9,17311.0,0.6,5585.7,24.0
695,BIOHAVEN PHARMACEUTICAL HOLDING,US,US,Pharmaceuticals & Biotechnology,165.9,112.4, , , ,3.6,669.9, ,-196.1,108.7, ,63.0,50.0,1326.8,18.3
696,TECHNIPFMC,UK,EU,Oil & Gas Producers,165.2,-11.1,10963.2,-16.6,1.5,321.5,44.0,2.9,-798.0,-193.4,-7.3,37000.0,0.0,11970.0,18.9
697,FERRING PHARMACEUTICALS,Denmark,EU,Pharmaceuticals & Biotechnology,165.2,6.7,187.7,5.2,88.0,5.0,126.1,2.7,10.0,7.1,5.3,525.0,-4.2, , 
698,XYLEM,US,US,"Gas, Water & Multiutilities",165.1,5.0,4547.6,10.6,3.6,207.0,39.4,4.6,590.4,17.2,13.0,17000.0,4.9,11908.1,22.3
699,WACKER CHEMIE,Germany,EU,Chemicals,164.6,7.5,4978.8,1.1,3.3,408.8,24.6,8.2,268.5,-31.6,5.4,14542.0,5.3,6466.9,15.2
700,KONE,Finland,EU,Industrial Engineering,164.0,3.5,9070.7,3.1,1.8,113.6,3.7,1.3,1042.3,-12.6,11.5,57359.0,4.1,21015.8,2.3
701,TAISHO PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,163.9,-1.7,2061.1,-6.6,8.0,27.1,26.0,1.3,223.0,-23.5,10.8,5142.0,-18.9,8552.2,40.3
702,SUNNY OPTICAL TECHNOLOGY,China,China,Electronic & Electrical Equipment,163.9,20.1,3304.8,15.9,5.0,272.0,86.9,8.2,402.2,-0.3,12.2,16535.0,-42.1,12199.2,-11.1
703,YASKAWA ELECTRIC,Japan,Japan,Electronic & Electrical Equipment,163.8,9.0,3740.2,5.8,4.4,181.7,29.9,4.9,383.0,-5.5,10.2,13139.0,5.5,7838.9,12.0
704,EAST JAPAN RAILWAY,Japan,Japan,Travel & Leisure,163.5,14.3,23656.7,1.8,0.7,5114.5,12.3,21.6,3802.9,1.1,16.1,72402.0,-1.1,30253.8,-1.3
705,DAICEL,Japan,Japan,Chemicals,163.5,10.1,3663.2,0.4,4.5,328.2,29.7,9.0,389.2,-16.2,10.6,12319.0,0.1,3466.3,-10.3
706,ACADIA PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,163.5,25.5,195.5,79.2,83.6,1.9,164.5,1.0,-216.1,-15.4,-110.6,430.0,1.2,1552.5,-59.2
707,SHANGHAI PHARMACEUTICALS,China,China,Pharmaceuticals & Biotechnology,162.6,60.6,20274.1,21.6,0.8,227.4,-4.8,1.1,655.8,5.9,3.2,47590.0,12.7,2901.9,-8.7
708,SGIS SONGSHAN,China,China,Industrial Metals & Mining,162.5,208.7,3410.1,7.3,4.8,111.4,21.4,3.3,466.9,11.3,13.7,6691.0,19.2,2241.7,-11.9
709,AAC TECHNOLOGIES HOLDINGS,China,China,Electronic & Electrical Equipment,162.5,-15.1,2310.7,-14.1,7.0,374.8,-24.6,16.2,568.9,-28.5,24.6,35995.0,-31.0,11852.3,-39.0
710,EBERSPAECHER,Germany,EU,Automobiles & Parts,162.4,3.8,4480.9,3.6,3.6,99.2,-19.3,2.2,119.0,-6.8,2.7,9489.0,7.7, , 
711,WEBASTO,Germany,EU,Automobiles & Parts,162.4,5.5,3433.1,-2.2,4.7, , , ,200.0,-20.4,5.8,13298.0,5.5, , 
712,ENDO INTERNATIONAL,Ireland,EU,Pharmaceuticals & Biotechnology,162.3,8.0,2573.9,-15.0,6.3,72.8,-33.6,2.8,-409.7,-51.1,-15.9,2910.0,-4.2,3354.1,95.7
713,CHINA RESOURCES PHARMACEUTICAL GROUP,China,China,Pharmaceuticals & Biotechnology,162.2,38.0,21147.2,9.9,0.8,169.7,-2.8,0.8,1286.3,11.7,6.1,62000.0,10.7,8799.8,29.5
714,COMMSCOPE,US,US,Mobile Telecommunications,162.2,0.3,3990.0,0.2,4.1,71.9,19.8,1.8,448.5,-8.9,11.2,20000.0,0.0,5319.9,-4.6
715,TELEDYNE TECHNOLOGIES,US,US,Aerospace & Defence,162.1,4.4,2534.3,11.4,6.4,75.8,48.4,3.0,363.8,22.4,14.4,10850.0,4.9,7441.7,60.7
716,PROOFPOINT,US,US,Software & Computer Services,161.9,42.9,626.2,38.0,25.9,25.8,-37.1,4.1,-88.8,85.2,-14.2,2613.0,27.7,5313.0,49.2
717,UNIVERSAL SCIENTIFIC INDUSTRIAL,China,China,Electronic & Electrical Equipment,161.5,24.3,4268.0,12.9,3.8,63.8,207.8,1.5,182.9,3.3,4.3,18567.0,12.5,2465.2,-41.5
718,ZHEN DING TECHNOLOGY HOLDING,Taiwan,RoW,Electronic & Electrical Equipment,160.2,19.3,3350.8,7.9,4.8,358.8,31.4,10.7,430.6,65.6,12.9, , ,1797.5,12.4
719,MA COM TECHNOLOGY SOLUTIONS,US,US,Technology Hardware & Equipment,159.8,3.3,498.2,-18.4,32.1,46.3,61.7,9.3,-84.5,776.4,-17.0,1400.0,-22.2,1311.8,-48.7
720,XINJIANG GOLDWIND SCIENCE & TECHNOLOGY,China,China,Industrial Engineering,159.7,55.1,3643.6,14.5,4.4,757.4,22.7,20.8,524.2,5.4,14.4, , ,4427.7,3.3
721,SVENSKA HANDELSBANKEN,Sweden,EU,Banks,159.1,135.2,4268.2,5.0,3.7,67.8,-4.0,1.6,2146.6,4.7,50.3,12307.0,4.0,20634.5,-6.7
722,PEGASYSTEMS,US,US,Software & Computer Services,158.7,11.6,778.7,0.4,20.4,10.4,-13.4,1.3,-14.9,-118.3,-1.9,4650.0,9.7,4375.3,12.8
723,MEDIDATA SOLUTIONS,US,US,Software & Computer Services,158.7,18.9,555.2,16.8,28.6,35.0,-10.2,6.3,44.8,-15.0,8.1,1998.0,18.9,4429.1,15.6
724,SONOVA,Switzerland,RoW,Leisure Goods,158.6,3.4,2450.8,4.4,6.5,104.6,22.4,4.3,475.6,11.0,19.4,14740.0,3.5,10655.9,13.3
725,RWE,Germany,EU,"Gas, Water & Multiutilities",158.0,-38.3,47465.0,11.9,0.3,1050.0,-53.0,2.2,1589.0,-47.0,3.3,17748.0,-70.2,12620.3,4.7
726,SCHINDLER,Switzerland,RoW,Industrial Engineering,157.9,17.9,9648.9,6.9,1.6,217.3,7.9,2.3,1125.5,7.4,11.7,64486.0,5.7,8349.3,12.6
727,RESMED,US,US,Health Care Equipment & Services,157.8,16.4,2043.8,13.2,7.7,54.7,0.6,2.7,479.2,20.6,23.4,5940.0,-2.3,9635.4,17.6
