World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
189,YAMAHA MOTOR,Japan,Japan,Automobiles & Parts,809.8,3.6,13184.6,0.2,6.1,425.4,-16.1,3.2,1108.0,-4.8,8.4,53977.0,0.7,7767.6,-9.4
190,SUBARU,Japan,Japan,Automobiles & Parts,809.4,-15.2,24905.5,-7.2,3.3,1136.0,-3.8,4.6,1540.8,-48.5,6.2,34200.0,2.0,20008.2,-14.4
191,LG CHEM,South Korea,RoW,General Industrials,801.5,14.9,22061.5,9.7,3.6,3389.2,84.2,15.4,1758.2,-23.3,8.0, , ,20224.9,-3.4
192,MARVELL TECHNOLOGY,US,US,Technology Hardware & Equipment,798.3,22.0,2502.9,19.0,31.9,66.3,96.9,2.6,37.8,-89.8,1.5,5275.0,40.7,9055.6,16.8
193,SYMANTEC,US,US,Software & Computer Services,797.4,-4.6,4131.9,-2.4,19.3,180.8,45.8,4.4,540.6,32.8,13.1,11900.0,0.8,10943.4,-31.8
194,SCHAEFFLER,Germany,EU,Automobiles & Parts,785.0,-8.1,14241.0,1.6,5.5,1218.0,-1.9,8.6,1360.0,-13.0,9.5,92478.0,2.6,1940.5,-1.0
195,CUMMINS,US,US,Industrial Engineering,780.8,21.8,20760.7,16.4,3.8,619.2,40.1,3.0,2089.1,20.7,10.1,62610.0,6.8,20405.9,-12.5
196,ISUZU MOTORS,Japan,Japan,Industrial Engineering,780.0,2.2,16935.9,3.8,4.6,746.8,-4.7,4.4,1383.6,5.5,8.2,37263.0,5.7,10744.0,11.8
197,CADENCE DESIGN SYSTEMS,US,US,Software & Computer Services,775.9,10.2,1867.3,10.0,41.6,53.7,6.2,2.9,355.7,22.2,19.1,7500.0,4.2,11618.6,20.8
198,STRYKER,US,US,Health Care Equipment & Services,752.8,9.5,11878.6,9.3,6.3,499.6,-4.3,4.2,2696.9,11.6,22.7,36000.0,9.1,55340.8,19.8
199,BAOSHAN IRON & STEEL,China,China,Industrial Metals & Mining,752.6,49.3,38373.3,5.3,2.0,1626.1,-3.9,4.2,3586.6,8.5,9.3,56158.0,-1.7,22194.9,-3.9
200,MAHLE,Germany,EU,Automobiles & Parts,750.8,0.4,12580.8,-1.6,6.0,608.5,-0.4,4.8,786.0,94.8,6.2,79564.0,1.6, , 
201,SERVIER,France,EU,Pharmaceuticals & Biotechnology,748.0,-6.4,4175.5,0.6,17.9,146.3,16.3,3.5,307.1,-41.6,7.4,22032.0,2.0, , 
202,RICOH,Japan,Japan,Technology Hardware & Equipment,740.9,-14.5,15864.6,-2.4,4.7,571.0,0.2,3.6,499.5,-149.9,3.1,92663.0,-5.3,6838.6,5.8
203,RAYTHEON,US,US,Electronic & Electrical Equipment,734.5,14.6,23631.4,6.7,3.1,666.4,40.5,2.8,3963.3,7.3,16.8,67000.0,4.7,49687.5,7.7
204,MURATA MANUFACTURING,Japan,Japan,Electronic & Electrical Equipment,731.0,-1.5,12411.5,14.8,5.9,2297.7,-4.9,18.5,2102.5,64.5,16.9,77571.0,3.0,34056.9,13.9
205,CSL,Australia,RoW,Pharmaceuticals & Biotechnology,726.5,18.4,7432.2,8.4,9.8,976.1,43.5,13.1,2202.9,5.2,29.6,25000.0,12.5,63389.6,76.8
206,TCL,China,China,Electronic & Electrical Equipment,722.7,20.1,14225.3,1.6,5.1,4179.9,109.5,29.4,525.0,6.7,3.7,89750.0,19.6,4259.7,4.0
207,NETAPP,US,US,Technology Hardware & Equipment,722.3,5.6,5367.7,3.8,13.5,151.1,19.3,2.8,1096.9,8.5,20.4,10500.0,1.9,19656.8,115.8
208,MICROCHIP TECHNOLOGY,US,US,Technology Hardware & Equipment,721.7,56.1,4672.1,34.4,15.4,199.9,10.7,4.3,653.3,-21.6,14.0,25.0,-99.8,17698.7,0.3
209,THALES,France,EU,Aerospace & Defence,714.9,13.2,15854.7,4.1,4.5,323.8,-13.2,2.0,1469.3,29.9,9.3,66135.0,2.0,25857.9,30.8
210,GEELY AUTOMOBILE,China,China,Automobiles & Parts,711.1,65.3,13584.7,14.9,5.2,294.8,-33.0,2.2,1839.7,19.2,13.5,52400.0,26.0,16695.7,-13.0
