World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
378,TOYOTA BOSHOKU,Japan,Automobiles & Parts,307.7,-1.5,11029.3,-4.1,2.8,255.4,-13.6,2.3,570.4,33.8,5.2,41.4,-0.5,3604.9,17.0
379,TSINGHUA TONGFANG,China,Technology Hardware & Equipment,306.1,45.5,3659.1,-4.5,8.4,134.3,-15.3,3.7,36.2,-71.0,1.0,13.3,-30.7,4470.3,4.3
380,ZYNGA,US,Software & Computer Services,303.8,-7.9,703.4,-3.0,43.2,9.8,31.7,1.4,-108.4,-21.8,-15.4,1.7,0.7,1980.8,4.5
381,EMERSON ELECTRIC,US,Electronic & Electrical Equipment,303.6,-36.8,13776.7,-10.6,2.2,424.1,-24.0,3.1,2368.8,-18.4,17.2,103.5,-6.6,32161.6,8.1
382,ROCKWELL AUTOMATION,US,Industrial Engineering,302.9,3.9,5577.7,-6.8,5.4,110.9,-4.9,2.0,962.3,-15.5,17.3,22.0,-2.2,14231.4,0.0
383,ROHM,Japan,Technology Hardware & Equipment,302.8,-8.8,2859.1,-0.1,10.6,321.7,-26.9,11.3,238.6,-7.1,8.3,21.3,0.6,4669.5,-23.1
384,VALE,Brazil,Mining,302.6,-33.1,26077.2,7.3,1.2,4696.9,-40.9,18.0,8035.3,-246.7,30.8,64.1,-1.4,8539.8,2.3
385,SEMICONDUCTOR MANUFACTURING,China,Technology Hardware & Equipment,301.9,34.2,2764.6,30.3,10.9,2615.7,124.0,94.6,323.5,76.7,11.7,18.0,33.4,4388.3,29.4
386,B BRAUN MELSUNGEN,Germany,Health Care Equipment & Services,301.5,9.5,6471.0,5.6,4.7,645.9,1.3,10.0,582.2,20.6,9.0,56.8,3.8,,
387,TOYOTA INDUSTRIES,Japan,Automobiles & Parts,300.9,-32.6,13605.9,-24.8,2.2,1333.9,7.4,9.8,1043.0,0.3,7.7,52.6,2.3,13100.4,-17.9
388,MERIEUX ALLIANCE,France,Pharmaceuticals & Biotechnology,300.3,7.3,2579.0,7.1,11.6,,,,275.0,23.9,10.7,,,,
389,GKN,UK,Automobiles & Parts,296.4,13.9,10295.8,22.0,2.9,485.5,25.3,4.7,422.5,13.8,4.1,51.4,9.2,6222.0,6.7
390,SKYWORKS SOLUTIONS,US,Technology Hardware & Equipment,296.4,3.0,3120.2,0.9,9.5,185.3,-54.6,5.9,1065.8,9.4,34.2,7.3,9.0,13315.6,-15.8
391,TRUMPF,Germany,General Industrials,296.0,11.7,2808.5,3.4,10.5,290.6,123.9,10.3,319.5,5.8,11.4,11.1,9.6,,
392,AUSTRALIA & NEW ZEALAND BANKING,Australia,Banks,295.9,-46.6,15502.4,0.3,1.9,231.3,5.0,1.5,5613.9,-22.4,36.2,46.6,-7.2,54055.4,-2.0
393,ATLASSIAN CORPORATION,UK,Software & Computer Services,294.2,48.9,433.6,43.0,67.9,32.5,7.7,7.5,-7.0,-1816.2,-1.6,1.8,42.5,2116.0,
394,HARRIS,US,Technology Hardware & Equipment,294.1,0.3,5597.2,-1.5,5.3,112.9,-21.7,2.0,1017.9,1.7,18.2,17.0,-19.0,10957.2,21.6
395,JOHNSON CONTROLS,Ireland,General Industrials,294.1,46.2,35740.4,1.3,0.8,1184.9,10.0,3.3,1802.5,-22.1,5.0,209.0,50.4,17662.0,21.7
396,CR BARD,US,Health Care Equipment & Services,293.3,13.8,3523.4,8.7,8.3,96.0,-2.5,2.7,895.7,11.3,25.4,16.3,9.4,15389.2,12.8
397,MICROSEMI,US,Technology Hardware & Equipment,293.2,54.3,1570.1,32.9,18.7,46.3,10.7,2.9,138.3,1.1,8.8,4.4,18.9,4290.9,49.2
398,ANHUI JIANGHUAI AUTOMOBILE,China,Automobiles & Parts,289.7,19.6,6608.8,12.4,4.4,109.2,43.4,1.7,-370.6,79.7,-5.6,28.7,4.8,1612.3,27.2
399,IHI,Japan,Industrial Engineering,288.8,-14.6,12072.3,-3.4,2.4,440.7,2.8,3.7,356.8,100.0,3.0,29.7,0.6,3970.1,-16.0
400,JFE,Japan,Industrial Metals & Mining,288.6,1.1,26876.4,-3.6,1.1,1838.3,9.9,6.8,709.4,2.0,2.6,60.4,1.6,8017.4,-14.7
401,CIRRUS LOGIC,US,Technology Hardware & Equipment,288.1,12.8,1460.0,31.6,19.7,48.7,11.3,3.3,300.8,88.1,20.6,1.4,11.9,3008.2,65.6
402,TEIJIN,Japan,Chemicals,287.7,6.4,6020.9,-6.3,4.8,305.9,18.1,5.1,447.8,98.7,7.4,19.3,22.4,3087.4,0.0
403,TABLEAU SOFTWARE,US,Software & Computer Services,287.2,48.3,784.5,26.5,36.6,57.6,34.6,7.3,-132.4,168.2,-16.9,3.2,7.1,3135.2,-31.6
404,FREUDENBERG,Germany,General Industrials,286.7,26.0,6001.8,5.8,4.8,,,,503.8,21.1,8.4,34.6,4.0,,
405,BLACKBERRY,Canada,Technology Hardware & Equipment,286.5,-28.4,1241.8,-39.4,23.1,16.1,-46.9,1.3,-935.4,342.2,-75.3,4.0,-10.8,3675.5,-0.5
406,FUJI ELECTRIC,Japan,Electronic & Electrical Equipment,283.5,-2.9,6804.5,3.0,4.2,146.9,1.4,2.2,352.1,-3.1,5.2,26.5,0.0,2861.8,-2.1
407,STATOIL,Norway,Oil & Gas Producers,282.7,-4.9,43518.6,-23.1,0.6,11565.3,-21.4,26.6,74.9,-94.2,0.2,21.3,-4.5,46517.7,7.0
408,GEELY AUTOMOBILE,China,Automobiles & Parts,281.8,36.0,7333.2,78.3,3.8,66.4,-69.0,0.9,767.9,106.3,10.5,35.1,87.7,6713.9,107.8
409,AGCO,US,Industrial Engineering,280.9,5.0,7030.2,-0.8,4.0,190.7,-4.9,2.7,284.9,-21.7,4.1,19.8,1.0,3735.2,-7.9
410,SPLUNK,US,Software & Computer Services,280.7,37.4,901.2,42.1,31.1,43.0,-11.7,4.8,-326.2,19.4,-36.2,2.7,28.6,7341.7,-0.7
411,RWE,Germany,"Gas, Water & Multiutilities",280.0,-9.7,43590.0,-6.0,0.6,2027.0,-30.1,4.7,-4168.0,-1134.2,-9.6,58.7,-1.9,8460.6,9.7
412,VISTEON,US,Automobiles & Parts,279.9,0.3,2998.8,-2.6,9.3,71.2,-59.9,2.4,229.6,31.5,7.7,10.0,-9.1,2281.3,-40.3
413,CONSTELLATION SOFTWARE,Canada,Software & Computer Services,279.6,14.1,2016.0,15.6,13.9,18.1,48.1,0.9,322.0,28.1,16.0,,,8567.1,1.8
414,OPEN TEXT,Canada,Software & Computer Services,279.4,40.9,2173.5,25.6,12.9,75.5,13.7,3.5,349.8,0.0,16.1,5.9,-33.8,7077.2,37.3
415,KOITO MANUFACTURING,Japan,Automobiles & Parts,278.0,4.9,6834.5,3.4,4.1,319.8,-6.7,4.7,751.5,12.5,11.0,23.6,3.5,6431.9,18.4
416,SEKISUI CHEMICAL,Japan,Construction & Materials,277.5,7.8,8656.5,-2.8,3.2,286.2,-10.7,3.3,754.6,6.1,8.7,23.0,-3.7,5995.8,5.9
417,SYNAPTICS,US,Technology Hardware & Equipment,277.3,-6.1,1630.0,3.1,17.0,29.8,-5.4,1.8,79.6,-2.3,4.9,1.8,0.6,1882.0,-21.5
418,GUANGZHOU AUTOMOBILE,China,Automobiles & Parts,276.8,19.4,6745.7,68.0,4.1,711.4,20.6,10.5,193.8,-859.6,2.9,75.7,12.6,2892.0,96.0
419,TERADYNE,US,Technology Hardware & Equipment,276.1,-0.4,1663.3,6.9,16.6,80.9,-5.1,4.9,-36.1,-115.3,-2.2,4.3,4.9,4042.4,12.0
420,BE AEROSPACE,US,Aerospace & Defence,275.8,5.9,2782.4,7.4,9.9,76.7,0.4,2.8,480.6,12.0,17.3,10.9,8.1,4873.5,-0.8
421,ALLSCRIPTS HEALTHCARE SOLUTIONS,US,Software & Computer Services,275.5,24.1,1470.4,11.8,18.7,130.9,104.2,8.9,56.7,87.5,3.9,7.5,8.7,2284.9,-7.4
422,SHANXI TAIGANG STAINLESS STEEL,China,Industrial Metals & Mining,275.3,32.7,7665.4,-16.6,3.6,223.3,-40.0,2.9,507.1,-696.2,6.6,19.1,2.5,2845.8,-20.4
423,AKAMAI TECHNOLOGIES,US,Software & Computer Services,274.8,15.0,2219.9,6.5,12.4,300.1,-28.9,13.5,446.8,0.5,20.1,6.5,6.7,9100.1,-24.7
424,COLGATE-PALMOLIVE,US,Personal Goods,274.2,5.5,14415.1,-5.2,1.9,562.6,-14.2,3.9,3863.0,-2.3,26.8,36.7,-3.2,62872.2,17.2
425,TERUMO,Japan,Health Care Equipment & Services,274.1,1.8,4176.2,-2.1,6.6,242.4,5.8,5.8,622.0,-5.1,14.9,22.4,8.4,12415.1,21.4
426,GODADDY,US,Software & Computer Services,273.0,6.5,1753.1,15.0,15.6,59.6,-20.8,3.4,47.5,-261.6,2.7,4.7,-0.3,2532.7,63.8
427,FIREEYE,US,Software & Computer Services,272.8,1.3,677.5,14.6,40.3,34.5,-33.4,5.1,-395.3,-17.9,-58.4,2.9,-6.5,2311.5,-59.5
428,DASSAULT AVIATION,France,Aerospace & Defence,272.0,-32.7,3653.4,-12.5,7.4,107.6,-29.4,2.9,1352.6,7.1,37.0,12.2,1.5,8719.8,-16.9
429,SKY,UK,Media,271.9,14.2,13963.9,17.9,1.9,632.5,40.8,4.5,1123.9,-5.2,8.0,27.9,3.3,17032.6,-18.6
430,SKF,Sweden,Industrial Engineering,270.7,0.2,7619.7,-4.2,3.6,195.7,-9.4,2.6,793.3,7.4,10.4,44.9,-3.8,6330.2,-10.8
431,SERVICENOW,US,Software & Computer Services,270.6,31.2,1319.1,38.3,20.5,117.9,39.3,8.9,-145.0,-7.5,-11.0,4.8,30.2,11340.7,9.5
432,DR REDDY'S LABORATORIES,India,Pharmaceuticals & Biotechnology,269.9,9.8,1935.8,-9.1,13.9,170.7,1.4,8.8,212.8,-51.9,11.0,22.7,0.0,7146.4,-30.3
433,L'AIR LIQUIDE,France,Chemicals,269.5,2.7,18659.9,13.9,1.4,2258.6,11.4,12.1,2582.4,-5.6,13.8,66.7,29.5,33982.4,-7.6
434,ALSTOM,France,Industrial Engineering,267.0,27.8,7306.0,-48.9,3.7,220.0,-57.2,3.0,362.0,-250.8,5.0,32.8,5.8,5196.6,-39.4
435,AU OPTRONICS,Taiwan,Electronic & Electrical Equipment,266.7,2.0,9666.6,-8.7,2.8,1357.7,38.2,14.0,414.7,-30.5,4.3,57.6,-4.2,3603.2,19.0
436,SCIENTIFIC GAMES,US,Travel & Leisure,264.9,31.8,2735.4,4.5,9.7,258.9,-15.7,9.5,178.0,-119.1,6.5,8.4,-1.2,685.0,-23.9
437,TERADATA,US,Software & Computer Services,262.8,-6.4,2202.8,-8.2,11.9,111.9,-1.7,5.1,220.1,-219.0,10.0,10.1,-10.7,3925.2,0.0
438,ALPS ELECTRIC,Japan,Electronic & Electrical Equipment,262.2,-3.2,6118.2,-2.7,4.3,333.7,30.7,5.5,360.4,-15.2,5.9,42.1,6.2,3755.9,-35.6
439,KERRY,Ireland,Food Producers,260.7,11.3,6130.6,0.4,4.3,202.8,-19.6,3.3,689.1,-2.0,11.2,23.0,-0.8,13406.4,14.9
440,HILTI,Liechtenstein,Construction & Materials,260.5,16.4,4318.3,5.7,6.0,130.6,5.7,3.0,562.8,10.3,13.0,24.6,5.3,,
441,GRUNENTHAL,Germany,Pharmaceuticals & Biotechnology,259.6,11.3,1389.9,14.6,18.7,41.1,9.0,3.0,109.8,-17.9,7.9,5.4,2.4,,
442,ARISTA NETWORKS,US,Software & Computer Services,259.5,30.6,1071.2,34.8,24.2,20.3,7.2,1.9,230.9,63.0,21.6,1.5,25.0,5267.1,10.1
443,COVESTRO,Germany,Chemicals,259.0,0.8,11904.0,-1.5,2.2,419.0,-17.7,3.5,1337.0,92.1,11.2,15.6,-1.2,9486.7,
444,RHEINMETALL,Germany,Automobiles & Parts,258.0,7.9,5602.0,8.1,4.6,283.0,-8.7,5.1,342.0,26.7,6.1,21.0,1.5,2842.7,30.5
445,PARKER-HANNIFIN,US,Industrial Engineering,257.5,-10.1,11411.9,5.9,2.3,193.3,36.4,1.7,1468.1,14.7,12.9,56.7,15.8,15549.8,11.8
446,NUANCE COMMUNICATIONS,US,Software & Computer Services,257.2,-12.6,1848.9,0.9,13.9,52.1,-5.4,2.8,171.6,94.6,9.3,13.2,-2.2,3868.6,-20.1
447,BAKER HUGHES A GE,US,Industrial Engineering,257.1,-21.9,9335.9,-37.5,2.8,315.0,-65.6,3.4,-4671.3,104.4,-50.0,33.0,-23.3,,
448,JIANGLING MOTORS,China,Automobiles & Parts,256.8,5.0,3470.2,8.2,7.4,156.2,-25.8,4.5,105.3,-50.9,3.0,16.9,7.4,701.5,-16.6
449,SQUARE,US,Software & Computer Services,255.5,42.0,1621.0,34.9,15.8,24.5,-33.3,1.5,-113.1,-1.0,-7.0,1.9,27.9,1431.1,
450,INVENTEC,Taiwan,Technology Hardware & Equipment,255.5,-1.4,12585.7,8.3,2.0,314.1,184.2,2.5,240.4,27.4,1.9,,,2481.6,58.1
451,DAI NIPPON PRINTING,Japan,Media,254.8,-1.4,11453.7,-3.1,2.2,406.4,-22.3,3.5,255.1,-30.8,2.2,38.8,-1.0,5669.2,-17.8
452,BURELLE,France,General Industrials,254.4,8.0,5860.2,16.9,4.3,250.9,-8.2,4.3,521.8,26.5,8.9,21.9,31.7,1547.5,31.4
453,FIBERHOME TELEKOMMUNICATIONS TECHNOLOGIES,China,Fixed Line Telecommunications,254.0,26.7,2324.3,29.1,10.9,117.7,36.4,5.1,123.4,23.6,5.3,12.5,16.5,3411.1,15.5
454,ADVANTEST,Japan,Technology Hardware & Equipment,253.2,-0.4,1266.4,-3.8,20.0,32.6,28.9,2.6,110.2,9.7,8.7,4.4,-1.8,2510.8,58.9
455,HASBRO,US,Leisure Goods,252.7,9.6,4762.2,12.9,5.3,147.0,9.1,3.1,747.6,13.9,15.7,5.4,8.0,9724.7,10.0
456,NATIONAL INSTRUMENTS,US,Electronic & Electrical Equipment,252.0,4.2,1165.1,0.2,21.6,74.6,15.4,6.4,114.9,-12.2,9.9,7.6,1.5,3408.9,-4.5
457,LESHI INTERNET INFORMATION & TECHNOLOGY CORPORATION,China,Software & Computer Services,250.8,50.1,2959.3,67.8,8.5,746.7,94.7,25.2,84.2,34.2,2.8,5.4,10.3,7881.5,56.2
458,JUNO THERAPEUTICS,US,Pharmaceuticals & Biotechnology,250.7,28.8,75.3,335.7,333.0,53.4,99.6,70.9,-247.7,9.7,-329.0,0.5,74.2,2968.4,-14.3
459,MITSUI CHEMICALS,Japan,Chemicals,250.0,-2.3,9846.4,-9.8,2.5,321.1,-1.3,3.3,796.3,109.2,8.1,13.4,-0.2,4109.0,20.4
460,KINGSOFT,China,Software & Computer Services,248.9,36.1,1130.5,45.9,22.0,83.7,-2.6,7.4,179.3,147.9,15.9,6.9,4.7,2527.8,-2.9
461,MALLINCKRODT,Ireland,Pharmaceuticals & Biotechnology,248.7,41.7,3207.3,1.0,7.8,173.5,23.6,5.4,601.7,37.3,18.8,4.5,-21.1,7616.9,-20.7
462,YANDEX,Netherlands,Software & Computer Services,247.6,41.8,1187.5,52.6,20.9,150.6,-11.3,12.7,207.8,60.4,17.5,6.3,14.8,5727.9,87.9
463,NITTO DENKO,Japan,Chemicals,246.6,-2.4,6235.5,-3.2,4.0,350.7,-31.5,5.6,788.6,-0.4,12.6,26.7,-0.7,9969.5,-13.6
464,TECHTRONIC INDUSTRIES,China,Electronic & Electrical Equipment,245.9,12.4,5199.1,8.8,4.7,177.0,16.8,3.4,439.3,15.8,8.4,20.6,0.6,7058.4,12.3
465,DIEHL,Germany,General Industrials,245.9,-7.2,3108.5,2.3,7.9,,,,176.3,-9.3,5.7,15.5,2.2,,
466,LEGRAND,France,Electronic & Electrical Equipment,245.2,12.9,5018.9,4.3,4.9,126.3,19.2,2.5,934.0,5.3,18.6,35.9,-0.5,14349.1,4.9
467,KOBE STEEL,Japan,Industrial Metals & Mining,244.5,0.9,13774.2,-7.0,1.8,1128.9,40.1,8.2,79.2,-85.8,0.6,37.0,1.7,2841.1,-41.1
468,VERIFONE SYSTEMS,US,Technology Hardware & Equipment,244.3,30.0,1889.9,-0.4,12.9,99.9,-1.1,5.3,70.9,-36.0,3.7,5.9,9.3,2090.8,-38.6
469,GEMALTO,Netherlands,Electronic & Electrical Equipment,243.3,3.0,3126.5,0.2,7.8,63.3,-35.7,2.0,351.5,72.8,11.2,,,5613.9,-1.8
470,ELBIT SYSTEMS,Israel,Aerospace & Defence,242.7,5.1,3092.9,4.9,7.8,117.8,25.3,3.8,283.6,11.3,9.2,12.5,2.8,3872.6,21.8
471,BAE SYSTEMS,UK,Aerospace & Defence,241.6,15.0,20762.0,6.0,1.2,476.2,13.6,2.3,2013.2,18.5,9.7,76.0,1.3,19950.5,19.5
472,COHERUS BIOSCIENCES,US,Pharmaceuticals & Biotechnology,241.4,19.4,180.3,532.8,133.8,6.2,5.7,3.4,-110.0,-47.1,-61.0,0.2,39.4,1225.2,22.2
473,INTERNATIONAL FLAVORS & FRAGRANCES,US,Chemicals,241.2,3.3,2956.4,3.1,8.2,119.9,25.1,4.1,536.6,-5.1,18.2,6.9,3.0,10463.7,24.9
474,VARIAN MEDICAL SYSTEMS,US,Health Care Equipment & Services,240.5,3.4,3052.7,3.8,7.9,76.3,-12.0,2.5,543.6,9.9,17.8,7.8,6.8,8516.0,11.9
475,AMDOCS,UK,Software & Computer Services,239.3,-1.0,3527.4,2.0,6.8,123.4,8.0,3.5,458.3,-6.4,13.0,25.6,2.4,8575.2,1.4
476,CLOVIS ONCOLOGY,US,Pharmaceuticals & Biotechnology,238.2,-6.7,0.1,, ,0.7,-74.8,982.0,-377.3,-0.9, ,0.3,-10.0,904.7,-67.9
477,NOVOZYMES,Denmark,Pharmaceuticals & Biotechnology,237.3,-0.4,1902.2,1.0,12.5,144.7,11.2,7.6,530.8,1.6,27.9,6.1,-5.2,9971.9,-1.3
478,DIALOG SEMICONDUCTOR,UK,Technology Hardware & Equipment,237.1,4.8,1136.1,-11.6,20.9,24.5,-21.8,2.2,293.9,19.3,25.9,1.8,13.4,2404.8,-20.7
479,PACCAR,US,Industrial Engineering,234.5,3.1,16158.7,-10.9,1.5,1864.1,13.9,11.5,1822.3,-17.1,11.3,23.0,0.0,19899.1,0.2
480,MELLANOX TECHNOLOGIES,Israel,Technology Hardware & Equipment,234.4,16.7,813.5,30.3,28.8,40.8,-11.6,5.0,29.0,-59.3,3.6,2.7,26.7,2000.7,12.4
481,NAVISTAR INTERNATIONAL,US,Industrial Engineering,234.3,8.3,7694.7,-20.0,3.0,235.3,22.8,3.1,283.7,-1.3,3.7,11.3,-14.4,1087.1,-21.2
482,PORTOLA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,234.2,23.2,33.7,194.2,695.3,1.8,-60.7,5.3,-255.7,18.7,-759.3,0.2,19.0,1091.3,-53.6
483,CAVIUM,US,Technology Hardware & Equipment,234.0,26.8,572.3,46.2,40.9,47.1,38.6,8.2,-126.7,872.9,-22.1,1.8,82.2,3058.3,-14.8
484,PURE STORAGE,US,Technology Hardware & Equipment,233.2,47.5,690.6,65.3,33.8,73.8,97.6,10.7,-203.8,2.2,-29.5,1.7,30.8,800.1,
485,ASSA ABLOY,Sweden,Construction & Materials,232.2,14.8,7510.4,5.4,3.1,164.9,1.4,2.2,1088.3,-6.4,14.5,46.9,2.0,19151.7,7.0
486,KANEKA,Japan,Chemicals,231.6,6.5,4452.8,-1.3,5.2,298.3,-4.7,6.7,269.4,-9.6,6.0,9.7,3.1,2396.5,-14.2
487,ANHEUSER-BUSCH INBEV,Belgium,Beverages,231.5,17.9,43180.9,4.4,0.5,4723.5,4.8,10.9,11868.9,-1.2,27.5,206.6,35.7,178595.3,13.9
488,NEXTEER,US,Automobiles & Parts,231.4,15.8,3645.0,14.3,6.3,158.2,0.7,4.3,387.8,26.9,10.6,13.7,14.2,3258.6,46.1
489,NCR,US,Technology Hardware & Equipment,229.6,5.2,6207.2,2.7,3.7,215.3,-0.9,3.5,652.7,143.1,10.5,33.5,2.8,3975.6,-1.6
490,INTUITIVE SURGICAL,US,Health Care Equipment & Services,228.6,20.2,2565.6,13.4,8.9,51.1,-33.5,2.0,908.2,27.1,35.4,3.8,16.9,25066.5,39.7
491,PIRELLI,Italy,Automobiles & Parts,228.1,6.4,6058.4,-4.0,3.8,,,,722.9,-15.0,11.9,37.1,0.8,,
492,ARCELORMITTAL,Luxembourg,Industrial Metals & Mining,226.7,5.3,53876.3,-10.7,0.4,2318.6,-9.7,4.3,4143.8,-203.5,7.7,199.0,-4.8,16211.5,40.5
493,ZILLOW GROUP,US,Real Estate Investment & Services,225.4,30.9,803.1,31.3,28.1,68.0,5.3,8.5,-181.6,96.5,-22.6,2.8,26.0,1727.7,36.0
494,WORLDPAY,UK,Support Services,223.1,5.0,5299.4,14.6,4.2,42.2,19.9,0.8,322.7,66.5,6.1,5.1,2.3,6974.4,
495,TESARO,US,Pharmaceuticals & Biotechnology,223.1,51.3,42.5,14039.8,524.6,20.7,13.1,48.7,-351.9,57.2,-827.6,0.4,55.9,4126.9,111.1
496,NETSCOUT SYSTEMS,US,Software & Computer Services,222.1,11.4,1102.5,21.6,20.1,30.5,5.9,2.8,62.8,-362.9,5.7,3.1,-1.0,2581.5,-27.2
497,ARKEMA,France,Chemicals,222.0,6.2,7535.0,-1.9,2.9,445.0,-9.7,5.9,662.0,33.5,8.8,19.6,4.4,6039.9,29.3
498,DANFOSS,Denmark,Industrial Engineering,221.3,2.4,5279.1,3.2,4.2,205.1,39.1,3.9,573.3,4.0,10.9,24.0,1.9,,
499,TOYODA GOSEI,Japan,Automobiles & Parts,220.6,-4.4,6137.2,-3.4,3.6,446.8,-2.3,7.3,279.2,-12.5,4.5,36.7,2.2,2408.9,0.2
500,INFINERA,US,Technology Hardware & Equipment,220.4,28.5,825.5,-1.9,26.7,41.1,3.1,5.0,-24.5,-143.1,-3.0,2.2,8.9,1165.5,-57.1
501,YOKOGAWA ELECTRIC,Japan,Electronic & Electrical Equipment,220.3,7.3,3179.3,-5.4,6.9,52.7,-9.4,1.7,256.7,-20.3,8.1,18.3,-1.7,2733.2,-7.1
502,HOLOGIC,US,Health Care Equipment & Services,220.2,8.0,2687.3,4.7,8.2,93.4,10.2,3.5,530.4,15.6,19.7,5.3,0.8,10111.6,-2.5
503,TOMTOM,Netherlands,Electronic & Electrical Equipment,220.1,2.3,987.3,-1.9,22.3,21.1,-2.0,2.1,8.9,-88.5,0.9,4.8,2.4,1912.5,-6.5
504,SMITH & NEPHEW,UK,Health Care Equipment & Services,218.2,3.6,4429.4,0.8,4.9,371.9,9.5,8.4,774.1,26.9,17.5,15.6,6.1,12794.3,5.3
505,JOHNSON MATTHEY,UK,Chemicals,217.8,7.4,14040.9,12.3,1.6,302.9,35.9,2.2,588.1,75.8,4.2,12.3,-0.2,7539.4,16.5
506,PTC,US,Software & Computer Services,217.6,0.8,1082.0,-9.1,20.1,24.8,-14.5,2.3,40.6,-73.3,3.7,5.8,-3.0,4653.4,29.7
507,SAAB,Sweden,Aerospace & Defence,216.2,16.9,2997.2,5.3,7.2,84.5,1.0,2.8,189.0,-6.4,6.3,15.5,5.3,3273.7,34.8
508,DRAGERWERK,Germany,Health Care Equipment & Services,215.9,-5.3,2523.8,-3.3,8.6,73.3,-33.5,2.9,135.5,84.3,5.4,13.3,-4.8,474.1,-17.2
509,LIXIL GROUP,Japan,Construction & Materials,214.1,3.3,14509.9,-5.5,1.5,425.6,3.4,2.9,576.9,14.2,4.0,59.2,-2.4,5645.6,-16.6
510,CLAAS,Germany,Industrial Engineering,213.7,5.3,3631.6,-5.4,5.9,78.6,-5.4,2.2,131.6,-19.2,3.6,11.3,-2.0,,
511,GRIFOLS,Spain,Pharmaceuticals & Biotechnology,213.7,-0.9,4049.8,2.9,5.3,249.4,-52.3,6.2,952.4,-1.8,23.5,14.9,1.0,8092.2,107.8
512,NEWELL BRANDS,US,Household Goods & Home Construction,213.6,48.6,12583.2,124.2,1.7,418.7,108.8,3.3,1117.3,61.2,8.9,53.4,210.5,24281.5,126.9
513,DEUTSCHE TELEKOM,Germany,Fixed Line Telecommunications,213.6,2.0,73095.0,5.6,0.3,8037.0,-1.6,11.0,8671.0,22.5,11.9,218.3,-3.1,70200.3,-0.2
514,NOVAVAX,US,Pharmaceuticals & Biotechnology,213.2,40.7,14.6,-57.6,1464.0,17.3,-0.4,118.6,-255.3,71.2,-1752.8,0.4,-19.9,1759.7,-36.1
515,TEMENOS,Switzerland,Software & Computer Services,212.8,8.6,601.5,16.9,35.4,5.8,-0.7,1.0,141.6,54.2,23.5,4.4,-1.0,3704.9,74.0
516,ATHENAHEALTH,US,Software & Computer Services,212.5,16.7,1027.3,17.1,20.7,150.4,-14.3,14.6,25.2,-748.8,2.5,5.3,13.6,4569.6,-6.2
517,ROCKWELL COLLINS,US,Aerospace & Defence,212.5,-17.6,4989.1,0.3,4.3,183.1,-8.1,3.7,936.3,-3.2,18.8,19.0,-2.6,10315.9,0.8
518,MEIJI,Japan,Food Producers,212.5,-4.2,10091.7,1.5,2.1,395.3,21.4,3.9,716.3,16.2,7.1,16.7,1.6,11545.6,-5.7
519,ILLINOIS TOOL WORKS,US,Industrial Engineering,211.6,2.3,12901.1,1.4,1.6,259.0,-3.9,2.0,2906.7,6.9,22.5,50.0,4.2,40021.8,36.3
520,IBERDROLA,Spain,Electricity,211.4,5.6,29215.4,-7.0,0.7,4732.9,23.6,16.2,4758.8,21.0,16.3,28.4,4.5,37536.3,-2.2
521,SWATCH,Switzerland,Personal Goods,210.7,5.1,7040.0,-10.6,3.0,469.8,-16.3,6.7,750.3,-44.5,10.7,35.7,-1.7,7275.5,-31.7
522,WEYBOURNE GROUP,UK,Household Goods & Home Construction,209.8,26.4,3001.9,46.0,7.0,30.2,25.7,1.0,667.1,48.1,22.2,7.4,5.6,,
523,IPSEN,France,Pharmaceuticals & Biotechnology,208.9,8.5,1584.6,9.7,13.2,81.2,62.4,5.1,304.7,-1.2,19.2,4.9,5.9,4848.8,-2.4
524,TOKAI RIKA,Japan,Automobiles & Parts,208.5,2.7,3728.7,-3.6,5.6,184.6,-18.1,4.9,247.2,-8.2,6.6,18.7,5.3,1565.2,-20.8
525,DOLBY LABORATORIES,US,Media,208.3,9.1,973.1,5.7,21.4,210.4,13.8,21.6,221.1,9.3,22.7,2.0,8.7,2566.2,60.0
526,EASTMAN CHEMICAL,US,Chemicals,207.8,-12.7,8545.7,-6.6,2.4,593.9,-4.0,6.9,1345.2,-2.9,15.7,14.0,-6.7,9513.5,-6.9
527,TCL COMMUNICATION TECHNOLOGY,China,Technology Hardware & Equipment,207.2,-13.2,2884.5,-17.4,7.2,38.8,-45.7,1.3,-85.7,-167.2,-3.0,9.0,-30.2,1129.0,39.8
528,GENERAL MILLS,US,Food Producers,207.0,-1.8,14818.1,-5.7,1.4,649.3,-6.2,4.4,2669.4,2.8,18.0,38.0,-2.6,40281.1,24.7
529,FINISAR,US,Technology Hardware & Equipment,206.7,7.1,1374.9,14.7,15.0,134.7,19.5,9.8,167.8,331.2,12.2,14.0,4.5,2213.3,41.9
530,DST SYSTEMS,US,Software & Computer Services,206.1,30.6,1476.8,5.6,14.0,57.3,-32.1,3.9,234.6,6.3,15.9,17.6,31.1,3760.0,8.0
