World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
230,XILINX,US,Technology Hardware & Equipment,570.6,12.7,2228.8,6.1,25.6,68.4,111.9,3.1,663.5,4.4,29.8,3.8,10.8,13036.0,26.8
231,LIEBHERR-INTERNATIONAL,Switzerland,Industrial Engineering,570.0,1.2,9009.0,-3.1,6.3,395.0,-12.2,4.4,409.0,-23.8,4.5,42.3,1.8,,
232,THALES,France,Aerospace & Defence,561.4,1.4,14884.8,5.8,3.8,480.3,1.5,3.2,1217.0,13.0,8.2,63.8,3.1,16434.6,27.9
233,NIPPON STEEL,Japan,Industrial Metals & Mining,561.3,0.9,37629.4,-5.6,1.5,2614.4,7.8,6.9,927.6,-25.9,2.5,92.3,8.8,16950.3,-12.1
234,ROYAL BANK OF SCOTLAND,UK,Banks,560.2,-21.8,14845.0,-8.1,3.8,1064.4,16.5,7.2,-4763.9,51.0,-32.1,77.0,-17.8,27644.6,8.6
235,EATON CORPORATION,Ireland,Electronic & Electrical Equipment,558.8,-5.8,18733.5,-5.3,3.0,471.5,-1.8,2.5,2137.4,-3.8,11.4,95.0,-2.1,28702.9,13.4
236,CA,US,Software & Computer Services,555.9,4.6,3828.9,0.3,14.5,44.6,-2.1,1.2,1097.6,0.9,28.7,11.8,7.3,13477.4,18.0
237,ARRIS,UK,Technology Hardware & Equipment,554.9,9.5,6478.6,42.3,8.6,63.3,33.8,1.0,105.0,-47.5,1.6,7.0,-17.6,5027.6,36.8
238,CITRIX SYSTEMS,US,Software & Computer Services,544.6,-12.7,3242.8,4.4,16.8,152.3,-6.8,4.7,683.3,59.9,21.1,9.6,1.1,12882.4,24.1
239,CENTRAL JAPAN RAILWAY,Japan,Travel & Leisure,541.0,-11.4,14270.6,1.1,3.8,2478.5,29.2,17.4,5032.2,7.1,35.3,28.6,-0.4,28427.3,-14.6
240,DASSAULT SYSTEMES,France,Software & Computer Services,540.5,9.7,3055.6,7.6,17.7,56.7,30.0,1.9,672.0,6.1,22.0,15.1,8.3,19461.6,23.1
241,LLOYDS BANKING,UK,Banks,540.3,51.3,20849.6,2.8,2.6,4388.2,10.0,21.0,4946.0,157.8,23.7,80.4,-6.2,49437.1,-23.3
242,BAXTER INTERNATIONAL,US,Health Care Equipment & Services,537.9,-3.9,9641.4,2.0,5.6,682.1,-21.1,7.1,846.2,24.8,8.8,48.0,-4.0,24111.4,21.2
243,TE CONNECTIVITY,Switzerland,Electronic & Electrical Equipment,537.0,4.8,11609.9,0.0,4.6,595.8,4.7,5.1,1804.4,8.7,15.5,75.0,4.2,21566.9,-4.7
244,SHANGHAI CONSTRUCTION,China,Construction & Materials,527.5,148.3,17896.4,7.3,2.9,173.0,-58.8,1.0,466.8,5.5,2.6,33.2,6.7,4251.8,-16.4
245,MOTOROLA,US,Technology Hardware & Equipment,524.6,-10.8,5728.1,6.0,9.2,257.1,54.9,4.5,1118.5,14.1,19.5,14.0,0.0,12177.4,-4.2
246,SOFTBANK,Japan,Software & Computer Services,523.6,626.7,72296.0,-2.8,0.7,7500.9,-32.1,10.4,9107.1,7.2,12.6,68.4,7.6,65884.8,-4.3
247,MICROCHIP TECHNOLOGY,US,Technology Hardware & Equipment,517.3,46.3,3232.9,56.8,16.0,71.4,-23.1,2.2,355.2,5.1,11.0,12.7,29.6,12644.4,48.6
248,INTESA SANPAOLO,Italy,Banks,517.0,39.4,16395.0,-3.1,3.2,,,,3216.0,-22.8,19.6,84.7,-2.6,33780.9,-34.5
249,NIKON,Japan,Leisure Goods,516.8,-4.7,6085.8,-8.9,8.5,,,,475.7,59.6,7.8,25.0,-2.7,4945.9,-2.3
250,KIRIN,Japan,Beverages,511.1,2.6,16854.2,-5.5,3.0,771.9,23.2,4.6,1148.6,10245.1,6.8,39.7,-0.4,12520.1,-5.4
251,ACTELION,Switzerland,Pharmaceuticals & Biotechnology,508.5,24.3,2293.8,18.2,22.2,-31.1,75.4,-1.4,748.2,20.3,32.6,2.5,3.0,16735.2,17.1
252,SAUDI BASIC INDUSTRIES,Saudi Arabia,Chemicals,505.2,-11.5,33602.5,-10.3,1.5,3313.6,-28.3,9.9,7126.5,-7.2,21.2,40.0,0.0,62696.1,2.3
