World rank,Company,Country,Region,Industry-ICB3 sector name,R&D 2020 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1,ALPHABET,US,US,Software & Computer Services,22470.06489,5.9766,148746.7281,12.7705,15.1063,18157.45533,-5.3805,12.207,33594.67432,14.7406,22.5852,135301,13.7949,399011.545,37.3036
2,HUAWEI INVESTMENT & HOLDING,China,China,Technology Hardware & Equipment,17460.09566,6.7319,111157.4047,3.7883,15.7075,5387.973125,5.0781,4.8472,9041.185011,-6.853,8.1337,197000,1.5464,,
3,MICROSOFT,US,US,Software & Computer Services,16882.08988,7.5095,136979.9538,17.5317,12.3245,16805.48646,33.5535,12.2686,56966.05179,32.3269,41.5871,181000,11.0429,1390867.726,62.1418
4,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,15894.85911,5.0911,177372.3518,2.7804,8.9613,30164.2542,40.7236,17.0062,26960.00861,29.6212,15.1997,,,241459.1583,22.7273
5,APPLE,US,US,Technology Hardware & Equipment,15281.56736,15.6317,223710.509,5.5121,6.831,5956.32337,-30.3573,2.6625,54020.07984,3.6884,24.1473,147000,7.2993,1823169.739,137.16
6,FACEBOOK,US,US,Software & Computer Services,15033.01371,35.6397,70055.45745,21.5964,21.4587,12317.66695,0.0861,17.5827,26624.57803,12.713,38.005,58604,30.3992,574473.1229,57.82
7,VOLKSWAGEN,Germany,EU,Automobiles & Parts,13885,-2.9428,222884,-11.7752,6.2297,11273,-20.78,5.0578,9962,-37.1919,4.4696,662575,-1.2857,44233.96192,0.604
8,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,11246.70031,3.9073,53973.61162,-5.1134,20.8374,3264.902384,0.7137,6.0491,17160.17146,5.6702,31.7936,101465,3.8164,205258.5762,16.6667
9,INTEL,US,US,Technology Hardware & Equipment,11047.19108,1.4519,63456.15431,8.2012,17.4092,11620.08687,-12.0521,18.312,19396.96386,6.1263,30.5675,110600,-0.1805,176587.4696,3.173
10,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,9908.73387,7.0806,67300.17912,0.6398,14.7232,2727.57071,-4.3168,4.0528,17385.71662,20.4562,25.8331,134500,1.7398,329151.4159,19.2282
11,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,8619.77797,-1.2825,214011.2814,-8.8793,4.0277,27440.86273,1.3922,12.8222,17282.74416,-8.3979,8.0756,366283,1.8749,179771.8471,0.6609
12,DAIMLER,Germany,EU,Automobiles & Parts,8441,-12.3468,154309,-10.6724,5.4702,5741,-20.2528,3.7205,7086,51.4103,4.5921,288481,-3.4066,45580.42394,-0.4207
13,BRISTOL-MYERS SQUIBB,US,US,Pharmaceuticals & Biotechnology,8409.26267,70.9293,34649.19374,62.6238,24.2697,613.64229,-9.9282,1.771,3968.7091,-35.98,11.454,30250,0.8333,114692.6814,78.9864
14,MERCK US,US,US,Pharmaceuticals & Biotechnology,8331.02939,10.507,39111.75042,2.4637,21.3006,3817.13212,34.869,9.7596,7161.60484,-29.8643,18.3106,74000,4.2254,175754.6309,-2.5869
15,PFIZER,US,US,Pharmaceuticals & Biotechnology,7837.18181,16.1053,34152.08644,1.7876,22.9479,1835.22236,3.4926,5.3737,8171.30311,52.5251,23.9262,78500,-11.0985,171130.8122,6.7974
16,BAYER,Germany,EU,Pharmaceuticals & Biotechnology,7704,36.887,42550,-8.0735,18.1058,2418,-8.7547,5.6827,-10821,-281.5604,-25.4313,99538,-4.1281,54956.8018,-12.939
17,ALIBABA GROUP HOLDING,China,China,Software & Computer Services,7137.574175,32.8598,89449.00837,40.7246,7.9795,5168.992409,68.0723,5.7787,5532.380682,-44.2025,6.185,251462,113.8282,632873.7171,165.3115
18,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7113.52397,0.7386,40663.37714,-1.1647,17.4937,1039.03575,-7.5417,2.5552,8273.16936,10.866,20.3455,105794,1.8092,178171.7166,-14.4168
19,BMW,Germany,EU,Automobiles & Parts,6279,-2.181,98990,-5.0091,6.3431,6150,-10.8954,6.2127,4877,-34.1213,4.9268,120726,-9.7565,36210.01196,-1.0853
20,HONDA MOTOR,Japan,Japan,Automobiles & Parts,6225.167149,-5.5176,103570.8873,-11.7908,6.0105,2503.926095,-13.9886,2.4176,5191.77174,4.1934,5.0128,211374,-3.3383,38874.02619,8.1435
21,ROBERT BOSCH,Germany,EU,Automobiles & Parts,6044,-2.97,71494,-8.012,8.4539,3723,-24.7271,5.2074,1657,-42.9211,2.3177,395000,-0.7912,,
22,FORD MOTOR,US,US,Automobiles & Parts,5786.003,-4.0541,103613.4599,-18.4452,5.5842,4679.32806,-24.7642,4.5161,-3592.21144,-931.6981,-3.4669,186000,-2.1053,21717.39755,-25.8444
