World rank,Company,Country,Region,Industry-ICB3 sector name,R&D 2020 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
23,NTT,Japan,Japan,Fixed Line Telecommunications,5566.766934,214.772,93925.46765,0.3744,5.9268,14116.88699,-3.2961,15.0299,13130.769,7.3678,13.98,324667,1.764,73973.22048,-5.3571
24,SANOFI,France,EU,Pharmaceuticals & Biotechnology,5527,-8.1131,36041,-0.2353,15.3353,2114,16.4097,5.8655,14141,352.512,39.2359,99412,-0.9929,106845.9818,9.2364
25,ORACLE,US,US,Software & Computer Services,5319.04811,7.582,32987.55147,3.6117,16.1244,1739.87555,36.509,5.2743,12861.22526,11.1252,38.9881,132000,-2.2222,143093.5487,1.1098
26,CISCO SYSTEMS,US,US,Technology Hardware & Equipment,5172.36071,-3.497,40176.86393,-5.015,12.874,627.4961,-15.2915,1.5618,11488.06821,-2.7793,28.5937,77500,2.108,145656.6938,-10.0577
27,GENERAL MOTORS,US,US,Automobiles & Parts,5052.566,-8.8235,99816.70105,-10.7493,5.0618,16732.95769,-14.4316,16.7637,7769.54262,73.9464,7.7838,155000,-5.4878,34555.79335,-19.9248
28,ABBVIE,US,US,Pharmaceuticals & Biotechnology,5037.08233,14.3148,37327.05372,37.6901,13.4945,650.31414,44.5652,1.7422,9672.40417,-0.5613,25.9126,47000,56.6667,137737.8991,73.8949
29,GLAXOSMITHKLINE,UK,RoW,Pharmaceuticals & Biotechnology,5034.010046,6.0844,37291.92018,1.0221,13.4989,1340.798678,-3.083,3.5954,5520.678408,-18.0918,14.804,94066,-5.4014,80771.19792,-13.5018
30,SIEMENS,Germany,EU,Electronic & Electrical Equipment,5020,-17.5156,57139,-34.2088,8.7856,1554,-40.4598,2.7197,4991,-25.9715,8.7348,293000,-23.8961,99025,28.1487
31,ASTRAZENECA,UK,RoW,Pharmaceuticals & Biotechnology,4896.09944,11.5278,21690.99181,9.1576,22.572,783.14773,-1.8386,3.6105,3346.91751,141.3043,15.43,76100,7.7904,119692.8589,14.0007
32,QUALCOMM,US,US,Technology Hardware & Equipment,4869.20675,10.6891,17709.24383,11.0254,27.4953,1146.60651,58.6246,6.4746,3277.64846,23.9063,18.5081,41000,10.8108,109507.4108,42.1346
33,TENCENT,China,China,Software & Computer Services,4859.975203,28.2522,60115.44408,27.7705,8.0844,4248.674822,49.653,7.0675,14387.00809,9.4105,23.9323,85858,36.5318,532812.127,63.33
34,IBM,US,US,Software & Computer Services,4696.44159,7.599,59995.1466,-4.5718,7.828,2133.48674,14.5232,3.5561,7117.59862,-22.0596,11.8636,375300,6.4379,89493.38233,-8.5334
35,SAP,Germany,EU,Software & Computer Services,4447,3.8291,27338,-0.7803,16.2667,816,-0.1224,2.9849,6623,48.0993,24.2264,102430,2.0931,170958.6534,28.1164
36,DELL TECHNOLOGIES,US,US,Technology Hardware & Equipment,4298.75575,-0.9762,76785.96432,2.2462,5.5984,1696.68426,-7.5488,2.2096,4504.93304,79.0155,5.8669,158000,-4.2424,14031.62361,93.0511
37,SONY,Japan,Japan,Leisure Goods,4129.893493,5.1844,70769.54979,8.9526,5.8357,4028.166826,16.4812,5.6919,7419.401729,17.3591,10.4839,109700,-1.7905,82398.42247,36.3653
38,GILEAD SCIENCES,US,US,Pharmaceuticals & Biotechnology,4106.43227,24.2663,20119.80677,9.9782,20.4099,529.7045,-21.2121,2.6328,3317.58003,-8.7015,16.4891,13600,15.2542,68198.31486,3.9959
39,BROADCOM,US,US,Technology Hardware & Equipment,4048.57224,5.7922,19467.04784,5.7131,20.7971,377.31259,7.1759,1.9382,3535.16634,3.5322,18.1597,21000,10.5263,114434.6176,25.2487
40,NISSAN MOTOR,Japan,Japan,Automobiles & Parts,3959.334613,-7.5781,61830.02798,-20.4102,6.4036,9297.460326,-25.1265,15.0371,-1365.57198,-71.0109,-2.2086,131461,-3.4326,14321.93331,-34.2626
41,ERICSSON,Sweden,EU,Technology Hardware & Equipment,3894.367217,1.6016,23159.71026,2.2771,16.8153,447.767021,-12.2118,1.9334,2767.226105,185.904,11.9484,100824,1.4153,30695.67748,31.1143
42,DENSO,Japan,Japan,Automobiles & Parts,3869.104884,-3.1142,38821.62795,-4.2059,9.9664,3110.527179,-6.8225,8.0124,993.069624,87.6503,2.558,168391,-1.4866,27616.7977,-0.0224
43,STELLANTIS,Netherlands,EU,Automobiles & Parts,3866,-7.8207,86676,-21.0917,4.4603,8600,78.0907,9.922,2418,-61.7587,2.7897,191705,-3.5553,13938.00148,-16.0578
44,NOKIA,Finland,EU,Technology Hardware & Equipment,3841,-12.9222,21852,-6.2749,17.5773,479,-30.5797,2.192,1058,84,4.8417,92039,-6.3902,23025.45268,-9.2022
45,BOEHRINGER SOHN,Germany,EU,Pharmaceuticals & Biotechnology,3696,6.7591,19566,2.9952,18.8899,1046,-2.5163,5.346,4624,22.2634,23.6328,51944,1.821,,
46,CHINA STATE CONSTRUCTION ENGINEERING,China,China,Construction & Materials,3665.278146,34.3821,199046.1447,14.1602,1.8414,6172.579658,142.1992,3.1011,12472.87034,12.2178,6.2663,356506,6.4076,26442.73375,-5.7759
47,PANASONIC,Japan,Japan,Leisure Goods,3626.670483,-11.0798,52678.26107,-10.5707,6.8846,1817.475554,-15.6257,3.4501,2196.787998,-3.1548,4.1702,243540,-6.1087,18868.02959,19.2531
48,PEUGEOT,France,EU,Automobiles & Parts,3613,-11.0318,60734,-18.7298,5.9489,1850,-33.0922,3.0461,3054,-34.5758,5.0285,204000,-2.2895,13002.38132,-29.3163
49,TAKEDA PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,3584.064184,-7.3814,25147.08997,-2.8372,14.2524,874.50647,-12.4927,3.4776,2167.369363,191.0277,8.6188,47099,-0.8338,49077.6099,10.2807
50,CONTINENTAL,Germany,EU,Automobiles & Parts,3554.8,-1.1622,37722.3,-15.1896,9.4236,1942.4,-34.7641,5.1492,-732.7,133.1212,-1.9424,236386,-2.1006,18240.54504,-17.4063
51,ELI LILLY,US,US,Pharmaceuticals & Biotechnology,3455.873651,16.0945,19998.21921,9.9478,17.2809,1131.041347,34.2393,5.6557,5060.063356,22.9033,25.3026,35000,4.0892,115663.5348,30.134
52,AMGEN,US,US,Pharmaceuticals & Biotechnology,3428.41051,2.2109,20718.78032,8.8263,16.5474,495.47744,-1.6181,2.3914,7447.64527,-5.987,35.9463,24300,3.8462,120909.4946,18.5903
53,BIOGEN,US,US,Pharmaceuticals & Biotechnology,3252.304137,74.9934,10956.40788,-6.4912,29.684,407.302014,-2.8571,3.7175,3822.429165,-36.1054,34.8876,9100,22.973,37109.70302,12.3482
54,NVIDIA,US,US,Technology Hardware & Equipment,3197.78532,38.7063,13588.95775,52.7294,23.5322,919.24104,130.6748,6.7646,3693.26276,59.241,27.1784,18975,37.7495,268994.2523,223.5673
55,TAIWAN SEMICONDUCTOR,Taiwan,RoW,Technology Hardware & Equipment,3129.770538,19.7633,38283.95268,25.1657,8.1751,14499.93166,10.1682,37.8747,16200.66941,51.7366,42.3171,47917,-6.5891,316141.4851,64.6718
56,AIRBUS,Netherlands,EU,Aerospace & Defence,2959,-15.2392,49912,-29.1807,5.9284,1759,-19.7536,3.5242,-623,-146.6667,-1.2482,131349,-2.6547,53975.01438,-44.6561
57,SALESFORCE.COM,US,US,Software & Computer Services,2932.11814,30.0795,17318.89236,24.2952,16.9302,578.6003,10.4199,3.3409,370.79315,-1.7279,2.141,56606,15.5224,202193.5002,81.2708
58,RENAULT,France,EU,Automobiles & Parts,2749,-25.6424,43474,-21.7207,6.3233,2708,-7.7657,6.229,-1333,-156.8686,-3.0662,170158,-5.2388,7050.019296,-54.2945
59,CHINA RAILWAY,China,China,Construction & Materials,2723.292068,32.2633,121553.2523,14.5607,2.2404,1418.261777,10.0329,1.1668,5056.509149,13.9501,4.1599,288729,1.1647,1760.13657,-22.4172
60,HON HAI,Taiwan,RoW,Electronic & Electrical Equipment,2690.244126,2.7989,153164.506,0.2847,1.7564,1872.384888,-15.5072,1.2225,3368.116409,-4.2349,2.199,4114,0.073,30474.518,3.6388
61,LG ELECTRONICS,South Korea,RoW,Leisure Goods,2650.732847,-1.8833,47384.31907,1.5342,5.5941,2309.249464,21.1602,4.8734,2393.098121,31.1496,5.0504,39588,-1.3014,10320.80827,37.3573
62,SK HYNIX,South Korea,RoW,Technology Hardware & Equipment,2486.709459,5.6109,23893.94085,18.1903,10.4073,8141.353683,-25.5195,34.0729,3754.538305,84.3433,15.7133,28857,2.1704,40950.96475,-2.9716
63,CHINA COMMUNICATIONS CONSTRUCTION,China,China,Construction & Materials,2462.264508,60.2527,77877.1994,13.0222,3.1617,1307.524376,6.1127,1.679,4972.458464,14.6365,6.385,133294,7.1004,2024.409371,-28.4539
64,BAIDU,China,China,Software & Computer Services,2433.354617,6.3611,13352.58609,-0.3156,18.2238,633.99656,-20.9085,4.7481,1788.259376,127.3664,13.3926,41000,8.5259,,
65,HITACHI,Japan,Japan,Electronic & Electrical Equipment,2398.692155,3.822,68645.02264,-0.4342,3.4943,2003.313881,-21.1041,2.9184,3036.787928,-41.6557,4.4239,350864,16.5444,26867.8798,-2.6672
66,CHINA RAILWAY CONSTRUCTION,China,China,Construction & Materials,2320.241849,12.5737,112136.9234,9.7216,2.0691,3914.241512,-2.7175,3.4906,4349.949288,1.2513,3.8791,286242,-2.6003,12810.12126,-1.8681
67,HYUNDAI MOTOR,South Korea,RoW,Automobiles & Parts,2319.749927,2.4946,77895.9237,-1.6538,2.978,4785.803757,20.4785,6.1438,1793.648196,-33.5829,2.3026,,,28247.23774,37.3541
68,MERCK DE,Germany,EU,Pharmaceuticals & Biotechnology,2263,1.0719,17534,8.5562,12.9064,1413,7.6161,8.0586,2956,34.6084,16.8587,58096,1.8585,14746.54053,17.3385
69,AIRBNB,US,US,Software & Computer Services,2243.397978,181.8559,2752.995711,-29.6976,81.4893,30.454749,-70.2109,1.1062,-2852.004001,589.6719,-103.5964,5597,2.4154,11832.86509,
70,MEDIATEK,Taiwan,RoW,Technology Hardware & Equipment,2210.408379,22.7351,9208.868738,30.8357,24.003,142.920478,-10.9716,1.552,1245.363573,89.0764,13.5235,,,25266.96525,51.2959
71,BASF,Germany,EU,Chemicals,2149,-4.0197,60963,-3.5197,3.5251,3129,-18.1747,5.1326,26,-99.3516,0.0426,110302,-6.2281,46897.52338,-15.3515
72,CANON,Japan,Japan,Technology Hardware & Equipment,2141.418683,-8.7741,24851.65327,-12.0518,8.6168,1295.324275,-23.6249,5.2122,869.324198,-36.7099,3.4981,181897,-2.7502,19214.94269,-33.6472
73,MICRON TECHNOLOGY,US,US,Technology Hardware & Equipment,2118.818,6.5137,17468.02455,-8.4209,12.1297,6701.16939,-15.9202,38.3625,2496.13059,-58.3095,14.2897,40000,8.1081,41204.11465,1.1854
74,RAYTHEON TECHNOLOGIES,US,US,Aerospace & Defence,2104.14926,-14.3615,46114.44391,24.7811,4.5629,1462.79935,-3.9079,3.1721,-1539.40277,-138.4412,-3.3382,181000,-25.5757,75940.85707,-17.0835
75,GENERAL ELECTRIC,US,US,General Industrials,2090.29545,-17.6565,64883.91167,-16.3798,3.2216,2650.15236,-44.0564,4.0845,-1144.97665,-128.8679,-1.7647,174000,-15.122,45225.23597,-22.9207
76,ASML HOLDING,Netherlands,EU,Technology Hardware & Equipment,2068.9,12.2085,13978.5,18.2614,14.8006,962,25.4892,6.882,4243.8,56.2116,30.3595,28073,12.743,133784.8398,55.4018
77,MEDTRONIC PUBLIC LIMITED,Ireland,EU,Health Care Equipment & Services,2031.62049,6.9498,24543.24681,4.1642,8.2777,1104.23015,11.7065,4.4991,4312.60956,-4.3038,17.5715,90000,0,117646.2207,-0.2688
78,ZF,Germany,EU,Automobiles & Parts,2024,-4.9765,32611,-10.6988,6.2065,1278,-23.9738,3.9189,-130,-114.0237,-0.3986,153522,3.8736,,
79,TATA MOTORS,India,RoW,Automobiles & Parts,1965.089282,3.826,27683.17888,-4.0338,7.0985,1313.601308,-17.763,4.7451,-837.55393,-2726.6119,-3.0255,75278,76.7214,4934.417929,31.2233
80,PETROCHINA,China,China,Oil & Gas Producers,1963.593594,0.5107,241157.6262,-23.1632,0.8142,30973.55027,-22.3063,12.8437,10194.32549,-37.9814,4.2272,432003,-6.2339,5943.539323,-31.1054
81,ABBOTT LABORATORIES,US,US,Pharmaceuticals & Biotechnology,1913.45564,1.8213,28203.09744,8.4754,6.7846,1774.10261,32.906,6.2905,4518.78685,18.7366,16.0223,109000,1.8692,157949.6683,28.5326
82,POWER CONSTRUCTION CORPORATION OF CHINA,China,China,Construction & Materials,1905.032285,35.208,49540.40004,15.59,3.8454,8878.911571,-9.1611,17.9226,3274.038171,12.6085,6.6088,132125,-0.3454,5656.301576,-13.0342
83,SAIC MOTOR,China,China,Automobiles & Parts,1866.465774,1.3484,87846.2718,-11.7254,2.1247,1887.75107,-43.7982,2.1489,1664.448103,-14.5539,1.8947,204815,-5.336,27187.20166,-24.4337
84,ZTE,China,China,Technology Hardware & Equipment,1862.593976,14.7084,12651.33277,11.8079,14.7225,292.610612,32.571,2.3129,592.767703,-34.2102,4.6854,73709,5.1994,16904.59396,37.0359
85,NOVO NORDISK,Denmark,EU,Pharmaceuticals & Biotechnology,1844.812316,6.1789,17078.06785,4.0362,10.8022,783.63828,-34.785,4.5886,7281.580358,3.1305,42.637,44723,4.7303,100744.3767,14.1241
86,WESTERN DIGITAL,US,US,Technology Hardware & Equipment,1842.55673,3.6205,13638.66848,1.0079,13.5098,527.25971,-26.1416,3.8659,368.34836,13.5678,2.7008,63800,3.2362,9471.964136,-31.4362
87,BOEING,US,US,Aerospace & Defence,1835.22236,-25.0582,47800.53408,-30.8449,3.8393,1061.85379,-28.9531,2.2214,-10005.71054,-295.2608,-20.9322,141000,-12.4767,79034.83398,-52.6626
88,APPLIED MATERIALS,US,US,Technology Hardware & Equipment,1819.73869,8.7677,14018.42586,17.7574,12.981,343.90046,-4.3084,2.4532,3557.16945,29.7562,25.375,24000,9.0909,45846.50867,26.8258
89,DAIICHI SANKYO,Japan,Japan,Pharmaceuticals & Biotechnology,1787.868187,15.1358,7569.074243,-1.9634,23.6207,245.705759,-2.1637,3.2462,501.673833,-54.0388,6.6279,16033,4.4631,52672.3126,34.611
90,INCYTE,US,US,Pharmaceuticals & Biotechnology,1785.464364,89.8381,2173.17546,23.5294,82.1592,152.700768,140.0325,7.0266,-160.940525,-146.8332,-7.4058,1773,21.772,17171.92504,19.7474
91,ADOBE,US,US,Software & Computer Services,1783.06684,13.3545,10486.51924,15.1881,17.0034,341.45567,6.216,3.2561,3604.43539,28.6122,34.3721,22516,-0.5213,200680.8675,78.301
92,ASTELLAS PHARMA,Japan,Japan,Pharmaceuticals & Biotechnology,1765.346142,0.1173,9826.091412,-3.9447,17.9659,246.798833,-23.9489,2.5117,1088.04125,-45.0643,11.073,15455,-2.6947,24369.61219,11.4589
93,UBER TECHNOLOGIES,US,US,Software & Computer Services,1727.6516,-56.1621,9077.50527,-14.3154,19.0322,501.99688,4.7619,5.5301,-5045.23163,-27.9781,-55.5795,22800,-15.2416,48032.54225,6.4505
94,PHILIPS,Netherlands,EU,General Industrials,1706,3.5823,19535,0.272,8.733,513,-0.9653,2.6261,1541,-6.3222,7.8884,81592,1.3628,36109.58417,-6.9885
95,OTSUKA,Japan,Japan,Pharmaceuticals & Biotechnology,1705.203475,0.4875,11188.87959,1.9041,15.2402,383.771242,0.4115,3.4299,1445.028245,2.9636,12.9149,33151,0.4819,20429.00833,6.5919
96,NESTLE,Switzerland,RoW,Food Producers,1635.227469,-11.3397,78053.19213,-8.8854,2.095,3772.035748,10.3112,4.8326,13692.60082,-7.9736,17.5427,273000,-6.1856,289437.4397,-5.3202
97,VOLVO,Sweden,EU,Industrial Engineering,1618.758008,-17.2584,33729.12473,-21.6524,4.7993,571.343942,-68.247,1.6939,2927.975761,-40.3403,8.6809,96194,-7.4924,26044.25672,16.8135
98,NETFLIX,US,US,General Retailers,1616.82112,18.5894,20370.03592,24.0102,7.9373,405.77239,96.7803,1.992,4633.927494,118.3462,22.7487,9400,9.3023,190322.1235,81.5853
99,ADVANCED MICRO DEVICES,US,US,Technology Hardware & Equipment,1616.00619,28.1836,7956.16159,45.0453,20.3114,239.58942,35.4839,3.0114,1115.63917,139.7548,14.0223,12600,10.5263,86894.21776,212.3213
100,CRRC CHINA,China,China,Industrial Engineering,1592.692512,10.0032,27699.31918,-0.6175,5.7499,969.637256,-3.5876,3.5006,1796.092301,10.6003,6.4842,164177,-0.9281,17777.95435,-14.5527
101,HSBC,UK,RoW,Banks,1576.07462,-7.2867,42397.54818,-10.9936,3.7174,1178.38878,7.6694,2.7794,7152.64061,-34.2399,16.8704,226000,-3.8298,73538.05008,-43.6845
102,VALEO,France,EU,Automobiles & Parts,1558,-18.472,16436,-15.6133,9.4792,862,-25.3033,5.2446,-739,-200,-4.4962,110300,-3.8361,6170.540713,3.0596
103,PROCTER & GAMBLE,US,US,Household Goods & Home Construction,1548.367,3.5987,62030.84174,7.284,2.4961,2271.20991,-9.3069,3.6614,14909.95928,11.1206,24.0364,101000,2.0202,280653.2006,14.4563
104,HEWLETT PACKARD ENTERPRISE,US,US,Software & Computer Services,1527.17882,1.7372,21988.44126,-7.3897,6.9454,1941.97819,-16.5616,8.8318,589.19439,-70.8115,2.6796,59400,-3.5714,10137.18251,-31.0589
105,METALLURGICAL CORPORATION OF CHINA,China,China,General Industrials,1526.777197,24.4384,49498.721,18.2418,3.0845,466.771238,-8.9283,0.943,2204.211251,13.4068,4.4531,101020,2.4897,401.361184,-24
106,UCB,Belgium,EU,Pharmaceuticals & Biotechnology,1500,22.7496,5052,7.9487,29.6912,256,158.5859,5.0673,993,-6.2323,19.6556,8371,10.0578,19357.20243,46.4822
107,MITSUBISHI ELECTRIC,Japan,Japan,Electronic & Electrical Equipment,1498.643923,-7.8667,32960.76903,-6.0745,4.5468,1328.360277,-12.4009,4.0301,1713.908748,-11.7451,5.1998,145653,-0.5904,24703.12784,13.9852
108,AISIN,Japan,Japan,Automobiles & Parts,1492.950501,-7.7606,27726.32808,-6.8379,5.3846,1575.229886,-35.9564,5.6814,1160.435784,130.9689,4.1853,118359,-0.9838,8290.400754,15.7143
109,VERTEX PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,1490.944587,4.3991,5057.197247,49.074,29.4816,211.717184,244.3268,4.1865,2338.351992,138.713,46.2381,3400,13.3333,59246.7483,57.1196
110,GEELY SWEDEN HOLDINGS,Sweden,EU,Support Services,1461.197434,4.5792,27321.36239,8.5081,5.3482,,,,1332.537913,-8.9107,4.8773,41529,-3.2274,,
111,ELECTRONIC ARTS,US,US,Software & Computer Services,1448.94554,14.0475,4587.24097,1.6615,31.5864,101.05132,-11.4286,2.2029,852.41678,-28.3071,18.5823,11000,12.2449,32824.1516,45.8932
112,PAYPAL,US,US,Financial Services,1423.68271,23.5502,17483.50822,20.718,8.143,705.72938,23.0114,4.0365,2769.13214,21.7921,15.8385,26500,14.2241,195189.9261,86.6615
113,SCHNEIDER,France,EU,Electronic & Electrical Equipment,1407,2.8509,25159,-7.3606,5.5924,485,-4.1502,1.9277,3092,-9.0588,12.2898,155466,2.7555,58833.36258,32.7322
114,WORKDAY,US,US,Software & Computer Services,1402.675444,11.0533,3518.86448,19.0447,39.8616,211.471075,-24.3456,6.0096,-202.590783,-50.501,-5.7573,12500,2.459,34576.39701,45.9338
115,SOFTBANK,Japan,Japan,Software & Computer Services,1400.778403,6.6034,44259.01895,7.4295,3.165,5087.025357,-47.5163,11.4938,4212.589661,3.3046,9.518,58786,-27.3431,108431.3392,36.7745
116,NXP SEMICONDUCTORS,Netherlands,EU,Technology Hardware & Equipment,1373.97198,3.6263,7018.17716,-2.9852,19.5773,319.45256,-25.4753,4.5518,582.67495,-25.2874,8.3024,28900,-1.7007,28616.4606,4.5915
117,SUMITOMO CHEMICAL,Japan,Japan,Chemicals,1373.506597,2.5632,17984.43483,2.7484,7.6372,950.046542,0.3014,5.2826,1028.93661,2.7412,5.7213,34743,3.4449,4491.26797,-25.8065
118,NETEASE,China,China,Software & Computer Services,1344.745112,23.3898,9186.606787,24.3513,14.6381,131.634346,-12.7249,1.4329,1813.001329,5.4222,19.7353,28239,35.784,56509.68545,107.0626
119,ANT GROUP,China,China,Financial Services,1322.545755,53.6283,14962.80292,40.6852,8.8389,,,,2649.509659,-245.2695,17.7073,16660,0,,
120,MEITUAN,China,China,General Retailers,1319.914121,28.9499,14315.36673,17.7035,9.2203,1399.501265,275.9682,9.7762,-413.887519,-563.0861,-2.8912,69205,26.7955,138174.8775,249.584
121,DEERE,US,US,Industrial Engineering,1294.92377,-10.8805,28962.6122,-9.5237,4.471,2164.45408,-22.9922,7.4733,4469.89105,-0.2364,15.4333,69600,-5.3061,53644.80685,34.9562
122,MIDEA GROUP,China,China,Household Goods & Home Construction,1261.841083,4.9857,32415.76188,1.8023,3.8927,580.695706,34.9008,1.7914,3147.300962,-4.5789,9.7092,149239,10.6318,60159.76375,34.3788
123,CHINA PETROLEUM & CHEMICAL,China,China,Oil & Gas Producers,1257.767369,7.355,262625.2186,-20.6835,0.4789,14699.39231,-16.7286,5.5971,3829.91785,-66.7237,1.4583,384065,-4.5104,48023.34855,-19.0763
124,INFINEON TECHNOLOGIES,Germany,EU,Technology Hardware & Equipment,1253,17.3221,8567,6.7007,14.6259,915,-29.3436,10.6805,581,-49.9569,6.7818,46665,12.6684,30349.60693,54.3223
125,TEXAS INSTRUMENTS,US,US,Technology Hardware & Equipment,1246.8429,-0.9067,11784.70273,0.5423,10.5802,528.88957,-23.3766,4.4879,4823.57067,3.6966,40.9308,30000,0.7794,106105.029,12.6939
126,LAM RESEARCH,US,US,Technology Hardware & Equipment,1217.022981,19.2425,11919.28842,45.6101,10.2105,284.488803,71.7662,2.3868,3652.535003,67.6273,30.6439,14100,24.7788,39914.93536,60.9813
127,TESLA,US,US,Automobiles & Parts,1215.06063,11.0201,25699.63248,28.3099,4.7279,2633.85376,125.6983,10.2486,1624.97042,2392.5,6.3229,70757,47.3613,376392.2504,1042.8793
128,HP,US,US,Technology Hardware & Equipment,1204.46654,-1.4009,46156.82027,-3.603,2.6095,472.6594,-13.5618,1.024,3210.8242,-5.8992,6.9563,53000,-5.3571,21882.38637,-0.931
129,INTUIT,US,US,Software & Computer Services,1197.9471,12.0427,6257.84747,13.1928,19.1431,48.08087,-22.3684,0.7683,1773.28768,17.3679,28.337,10600,12.766,73690.52934,20.5758
