World rank,Company,Country,Region,Industry,R&D 2019 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%),,,,,,,
188,SEAGATE TECHNOLOGY,Ireland,EU,Technology Hardware & Equipment,866.1,-1.816347124,9354.6,1.14533205, 9.3 ,520.7,59.83606557, 5.6 ,1230.2,-2.1,13.2,42000.0,3.7,12024.6,-12.4,,,,,,,
189,TELEFONICA,Spain,EU,Fixed Line Telecommunications,866.0,-8.553326294,48422.0,-0.556548169, 1.8 ,5683.0,3.723307173, 11.7 ,5663.0,-22.5,11.7,113819.0,-5.3,32715.6,-9.8,,,,,,,
190,STRYKER,US,US,Health Care Equipment & Services,864.3,12.6450116,13249.1,9.433129917, 6.5 ,577.7,13.46153846, 4.4 ,3010.5,9.5,22.7,40000.0,11.1,73482.0,30.3,,,,,,,
191,TOTAL,France,EU,Oil & Gas Producers,861.7,-1.825557809,156888.9,-4.267650158, 0.5 ,10512.7,-11.43607049, 6.7 ,14238.9,-0.3,9.1,107776.0,3.2,121052.4,-15.7,,,,,,,
192,BRIDGESTONE,Japan,Japan,Automobiles & Parts,858.9,1.672605829,28760.4,-3.411156539, 3.0 ,2206.9,5.040613832, 7.7 ,2548.7,-22.4,8.9,143589.0,0.1,25178.4,-1.0,,,,,,,
193,ROYAL DUTCH SHELL,UK,Row,Oil & Gas Producers,856.3,-2.434077079,306994.0,-11.20091457, 0.3 ,20447.8,-0.173829907, 6.7 ,23793.0,-24.5,7.8,83000.0,2.5,98832.4,-11.1,,,,,,,
194,LG CHEM,South Korea,RoW,General Industrials,855.5,8.6711932,22007.9,1.568423502, 3.9 ,4990.1,49.90846806, 22.7 ,688.6,-60.1,3.1,20162.0,9.4,17937.5,-9.7,,,,,,,
195,HAIER SMART HOME,China,China,Household Goods & Home Construction,855.0,24.31865461,25310.7,8.908429561, 3.4 ,789.1,-8.37061909, 3.1 ,1275.1,-9.7,5.0,99757.0,14.1,12359.3,6.9,,,,,,,
196,JUNIPER NETWORKS,US,US,Technology Hardware & Equipment,850.7,-4.734848541,3957.1,-4.348574491, 21.5 ,97.6,-25.64450475, 2.5 ,425.0,-17.6,10.7,9419.0,1.5,7129.3,-18.3,,,,,,,
197,NORTHROP GRUMMAN,US,US,Electronic & Electrical Equipment,848.3,24.7382199,30123.7,12.44725037, 2.8 ,1125.2,1.200960769, 3.7 ,3533.0,5.0,11.7,90000.0,5.9,55405.9,19.8,,,,,,,
198,UNILEVER,UK,Row,Food Producers,840.0,-6.666666667,51980.0,1.957553646, 1.6 ,1316.0,-0.978179082, 2.5 ,8740.0,-30.8,16.8,150000.0,-3.2,70901.5,16.1,,,,,,,
199,MURATA MANUFACTURING,Japan,Japan,Electronic & Electrical Equipment,836.0,0.882969711,12514.1,-2.601925299, 6.7 ,2332.5,-1.936340161, 18.6 ,2065.9,-5.1,16.5,74109.0,-4.5,24581.6,-30.3,,,,,,,
200,CADENCE DESIGN SYSTEMS,US,US,Software & Computer Services,835.3,5.619214437,2079.7,9.274787631, 40.2 ,66.4,21.30302659, 3.2 ,445.4,22.9,21.4,8100.0,8.0,17077.5,44.2,,,,,,,
201,YAMAHA MOTOR,Japan,Japan,Automobiles & Parts,832.3,-0.724933806,13580.4,-0.500437207, 6.1 ,478.8,8.72279323, 3.5 ,939.1,-18.1,6.9,55255.0,2.4,4962.4,-38.3,,,,,,,
202,SCHAEFFLER,Germany,EU,Automobiles & Parts,821.0,4.585987261,14427.0,1.306088056, 5.7 ,1023.0,-16.00985222, 7.1 ,890.0,-34.6,6.2,87748.0,-5.1,1026.5,-47.1,,,,,,,
203,SHARP,Japan,Japan,Electronic & Electrical Equipment,820.6,-7.327836397,18527.9,-5.367505642, 4.4 ,596.1,-42.12135379, 3.2 ,427.4,-32.7,2.3,52876.0,-2.4,4760.2,-58.4,,,,,,,
204,SERVIER,France,EU,Pharmaceuticals & Biotechnology,810.0,8.288770053,4614.5,10.51366684, 17.6 ,225.3,53.95977008, 4.9 ,202.4,-34.1,4.4,22134.0,0.5,,,,,,,,,
205,ISUZU MOTORS,Japan,Japan,Industrial Engineering,800.1,-0.903230965,16967.2,-3.221339605, 4.7 ,844.0,9.179258821, 5.0 ,1145.2,-20.0,6.7,36856.0,-1.1,7910.8,-28.9,,,,,,,
206,ALEXION PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,788.7,21.32000557,4442.9,20.81477535, 17.8 ,137.7,-27.37089228, 3.1 ,1898.2,622.6,42.7,3082.0,16.0,20111.4,-17.1,,,,,,,
207,SHANGHAI CONSTRUCTION,China,China,Construction & Materials,788.6,20.71456531,25782.5,20.87904175, 3.1 ,289.4,11.73020703, 1.1 ,878.5,20.6,3.4,42762.0,13.1,3892.5,18.4,,,,,,,
208,MICROCHIP TECHNOLOGY,US,US,Technology Hardware & Equipment,781.4,6.232603243,4694.9,-1.407608177, 16.6 ,60.2,-70.46745296, 1.3 ,617.6,-7.2,13.2,18000.0,-1.6,18293.0,1.4,,,,,,,
209,BEIGENE,China,China,Pharmaceuticals & Biotechnology,776.0,42.51508172,381.2,116.0286547, 203.6 ,79.8,27.5016722, 20.9 ,-854.5,36.0,-224.2,3500.0,59.1,6075.8,-28.5,,,,,,,
210,KLA,US,US,Technology Hardware & Equipment,769.0,22.37247307,5168.6,27.08570807, 14.9 ,135.9,16.99412983, 2.6 ,1337.2,8.2,25.9,10600.0,5.8,20966.7,29.8,,,,,,,
211,GREE ELECTRICAL APPLIANCES,China,China,Construction & Materials,761.0,-17.51598802,19791.3,-7.99811502, 3.8 ,600.5,22.817663, 3.0 ,3488.6,-9.0,17.6,88846.0,0.1,42212.0,42.5,,,,,,,
212,XILINX,US,US,Technology Hardware & Equipment,759.8,14.87994378,2815.3,3.387533343, 27.0 ,115.1,45.19512684, 4.1 ,730.1,-14.6,25.9,4891.0,10.3,23398.7,33.5,,,,,,,
213,INTESA SANPAOLO,Italy,EU,Banks,759.0,23.81729201,17996.0,1.050030883, 4.2 ,497.0,343.75, 2.8 ,5672.0,3.9,31.5,84774.0,-4.6,34900.4,-6.3,,,,,,,
