EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
175,INTUIT,US,Software & Computer Services,657.3,-5.0,5.3,"3,452.8",-1.2,3.7,19.0,215.0,29.9,0.8,6.2,607.9,-43.2,3.6,17.6,"7,700",-3.8,-2.0
176,MICHELIN,France,Automobiles & Parts,656.0,2.0,2.8,"19,553.0",-3.4,-0.8,3.4,"1,752.0",-4.9,4.7,9.0,"1,991.0",0.9,0.7,10.2,"111,671",0.4,-0.8
177,BRIDGESTONE,Japan,Automobiles & Parts,642.8,5.7,2.0,"25,083.5",3.0,5.7,2.6,"1,968.9",8.0,12.4,7.8,"3,263.8",12.0,33.8,13.0,"144,632",-0.3,0.4
178,INFINEON TECHNOLOGIES,Germany,Technology Hardware & Equipment,642.0,11.5,4.0,"4,320.0",12.4,-1.3,14.9,567.0,80.0,-28.0,13.1,523.0,61.4,-23.9,12.1,"29,807",11.5,1.3
179,NXP SEMICONDUCTORS,The Netherlands,Technology Hardware & Equipment,627.7,19.3,1.8,"4,651.2",17.3,3.6,13.5,271.0,53.0,-0.9,5.8,864.0,116.3,9.0,18.6,"27,884",8.5,2.8
180,RENESAS,Japan,Electronic & Electrical Equipment,621.9,-21.0,-14.2,"5,401.0",-5.0,-1.9,11.5,268.1,4.7,-23.2,5.0,705.0,57.9,,13.1,"21,083",-22.5,-14.0
181,CUMMINS,US,Industrial Engineering,607.0,5.3,4.1,"15,831.5",11.1,-1.4,3.8,657.3,7.8,2.8,4.2,"1,645.7",14.7,-7.9,10.4,"54,600",14.0,2.9
182,TWITTER,US,Software & Computer Services,605.8,19.0,97.5,"1,155.6",111.0,84.2,52.4,166.1,166.2,87.2,14.4,-443.8,-15.3,70.9,-38.4,"3,638",34.1,
183,VALE,Brazil,Mining,604.6,-8.4,-21.8,"30,919.2",-19.7,-7.4,2.0,"9,729.8",-9.9,-6.6,31.5,"5,987.1",-51.7,-19.3,19.4,"76,531",-8.1,1.5
184,HSBC,UK,Banks,602.9,0.1,-13.5,"52,189.3",-3.1,-3.0,1.2,,,,0.0,"15,385.9",-17.2,1.0,29.5,"266,000",1.1,-4.1
