EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
659,NICE-SYSTEMS,Israel,Software & Computer Services,123.9,8.5,7.6,833.2,6.6,6.1,14.9,13.8,-17.4,5.4,1.7,92.1,40.2,4.6,11.1,"3,513",-1.8,4.6
660,NTN,Japan,Industrial Engineering,123.5,1.5,1.3,"4,792.1",9.8,5.5,2.6,212.5,-6.7,-12.1,4.4,299.4,41.0,14.5,6.2,"23,360",5.4,2.1
661,HALLA VISTEON CLIMATE CONTROL,South Korea,Automobiles & Parts,123.0,26.6,62.9,"4,087.1",5.1,16.1,3.0,205.3,40.3,10.1,5.0,277.5,1.9,10.3,6.8,,,
662,TEMENOS,Switzerland,Software & Computer Services,123.0,7.7,-4.2,386.0,0.2,-0.4,31.8,4.8,75.9,-15.1,1.3,97.4,26.4,,25.2,"4,000",14.3,-3.9
663,KRAFT FOODS,US,Food Producers,122.7,26.3,-15.8,"14,994.6",-0.1,-0.6,0.8,,,,0.0,"1,647.3",-58.1,19.1,11.0,"22,100",-1.8,
664,WABCO,US,Automobiles & Parts,122.4,18.5,6.3,"2,348.2",4.8,-0.9,5.2,111.9,11.9,4.9,4.8,294.9,3.8,-2.4,12.6,"11,409",5.1,-0.1
665,POLARIS INDUSTRIES,US,Industrial Engineering,122.3,6.7,9.6,"3,689.7",18.6,12.4,3.3,168.9,-18.4,43.8,4.6,537.9,22.7,17.8,14.6,"7,000",29.6,11.5
666,JACK HENRY & ASSOCIATES,US,Software & Computer Services,122.2,15.1,9.3,"1,034.7",7.1,4.9,11.8,119.7,30.1,12.1,11.6,261.8,10.3,7.6,25.3,"5,822",5.9,4.1
667,SERVICENOW,US,Software & Computer Services,122.1,88.4,91.1,562.2,60.7,79.5,21.7,44.8,-1.7,90.8,8.0,-124.1,127.3,151.6,-22.1,"2,826",54.4,96.3
668,LINDE,Germany,Chemicals,122.0,18.4,-1.6,"17,047.0",2.4,6.5,0.7,"1,957.0",-9.5,17.1,11.5,"1,790.0",-16.0,5.1,10.5,"65,591",3.3,8.0
669,SUN PHARMACEUTICAL INDUSTRIES,India,Pharmaceuticals & Biotechnology,121.9,50.0,29.8,"2,081.4",42.4,25.2,5.9,117.8,7.2,26.1,5.7,881.5,52.0,40.6,42.4,"16,023",14.5,7.7
670,SMA SOLAR TECHNOLOGY,Germany,Alternative Energy,121.8,26.6,0.5,805.4,-13.6,-17.8,15.1,29.5,17.1,-42.7,3.7,-171.4,92.3,,-21.3,"5,527",-4.8,-3.6
671,ROPER INDUSTRIES,US,Electronic & Electrical Equipment,121.8,1.5,6.2,"2,923.6",9.6,5.0,4.2,31.0,-11.5,1.5,1.1,823.2,18.7,8.4,28.2,"10,137",2.3,5.0
672,ARISTA NETWORKS,US,Software & Computer Services,121.0,49.0,55.1,481.1,61.7,37.2,25.2,10.8,-35.4,94.3,2.2,103.4,89.7,14.2,21.5,"1,000",33.3,
673,OC OERLIKON,Switzerland,General Industrials,120.7,10.7,-17.7,"2,677.2",11.5,-11.7,4.5,119.1,-14.9,6.0,4.4,299.8,-1.6,-3.8,11.2,"15,656",21.7,-9.3
674,HEIDELBERGER DRUCKMASCHINEN,Germany,Industrial Engineering,120.7,3.2,-3.2,"2,333.7",-4.1,-2.1,5.2,58.5,13.9,-8.0,2.5,119.5,17.1,,5.1,"12,378",-5.1,-5.4
675,SMC,Japan,Industrial Engineering,120.2,13.3,4.9,"3,127.5",15.9,5.0,3.8,172.2,-2.7,24.3,5.5,869.9,21.3,6.1,27.8,"17,389",8.6,1.3
676,KION,Germany,Industrial Engineering,119.7,4.8,1.2,"4,677.9",4.1,1.0,2.6,316.5,151.6,-1.8,6.8,350.8,-3.9,21.5,7.5,"22,669",1.8,0.6
677,SANTEN PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,119.3,-8.2,3.4,"1,104.9",8.9,9.1,10.8,20.3,-37.9,13.4,1.8,264.9,42.0,0.8,24.0,,-100.0,16.8
678,ACI WORLDWIDE,US,Software & Computer Services,118.8,1.2,17.1,837.0,17.5,23.0,14.2,28.7,7.1,19.8,3.4,121.0,9.9,26.4,14.5,"4,472",3.3,26.6
679,FIRST SOLAR,US,Alternative Energy,118.6,7.2,-1.5,"2,793.7",2.5,6.2,4.2,212.1,-8.9,-27.2,7.6,349.4,-6.9,,12.5,"4,870",0.4,-11.5
680,INFINITY PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,118.2,43.4,85.0,135.9,,-100.0,87.0,1.1,-22.3,4.4,0.8,-6.5,-93.8,49.1,-4.8,195,29.1,-7.4
681,FLIR SYSTEMS,US,Electronic & Electrical Equipment,117.6,-3.3,0.1,"1,260.7",2.3,-1.0,9.3,50.5,17.7,7.5,4.0,240.5,-0.1,-2.3,19.1,"2,741",-3.5,-2.7
682,QLOGIC,US,Technology Hardware & Equipment,117.5,-1.4,1.4,428.5,12.9,-6.2,27.4,21.5,-5.2,-5.6,5.0,50.6,11.0,-24.7,11.8,927,-11.2,-2.3
683,OSHKOSH,US,Industrial Engineering,117.0,25.8,-7.4,"5,607.6",-11.2,0.6,2.1,102.9,108.5,-11.4,1.8,414.5,-1.0,-1.5,7.4,"12,000",0.8,-3.2
684,RUAG,Switzerland,Aerospace & Defence,116.6,6.1,-1.9,"1,483.1",1.7,-0.5,7.9,,,,0.0,94.9,-0.9,1.2,6.4,"8,182",-1.8,2.5
685,SICK,Germany,Electronic & Electrical Equipment,116.1,8.8,9.6,"1,099.8",8.9,3.8,10.6,,,,0.0,103.7,17.1,2.1,9.4,"6,565",5.1,4.6
686,GAMELOFT,France,Software & Computer Services,116.0,11.0,6.4,227.3,-2.6,12.4,51.0,15.0,-4.6,44.8,6.6,3.9,-84.2,7.2,1.7,"6,717",5.1,5.4
687,AIR PRODUCTS AND CHEMICALS,US,Chemicals,115.6,10.6,5.1,"8,598.1",2.5,1.7,1.3,"1,387.2",10.5,5.2,16.1,"1,112.3",-14.3,0.3,12.9,"21,200",-1.9,4.6
688,HOYA,Japan,Leisure Goods,115.5,-3.3,6.2,"3,345.1",14.6,5.8,3.5,125.5,11.1,-19.0,3.8,"1,406.6",38.7,5.0,42.0,"34,635",-5.4,4.2
689,MITSUBISHI GAS CHEMICAL,Japan,Chemicals,115.2,4.7,-2.6,"3,615.6",-1.0,5.7,3.2,167.2,-16.7,-5.3,4.6,94.7,"-6,079.7",,2.6,"8,254",51.6,1.4
690,ALNYLAM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,115.1,112.3,58.4,41.6,7.2,-17.1,276.3,28.0,747.8,45.9,67.2,-333.6,335.7,19.2,-801.0,256,55.2,12.5
691,SHENZHEN O FILM TECH,China,Electronic & Electrical Equipment,114.9,76.8,95.7,"2,586.1",113.4,93.6,4.4,142.9,-42.0,62.4,5.5,138.3,22.7,146.3,5.3,"18,799",-0.6,35.9
692,ARRIUM,Australia,Industrial Metals & Mining,114.9,36.0,-6.6,"4,733.4",2.4,-1.4,2.4,171.1,-34.1,17.0,3.6,237.4,-147.5,,5.0,"9,269",-8.0,-4.6
693,MOOG,US,Aerospace & Defence,114.9,3.6,8.2,"2,181.4",1.5,3.8,5.3,64.9,-15.5,3.6,3.0,201.3,18.6,-2.2,9.2,"11,031",-1.1,2.6
694,FONTERRA CO-OPERATIVE,New Zealand,Food Producers,114.8,-22.9,2.3,"14,363.8",19.5,-2.1,0.8,510.1,12.8,12.8,3.6,299.9,-51.0,-5.3,2.1,"18,200",4.0,1.4
695,NEWMARKET,US,Chemicals,114.6,1.9,9.0,"1,923.6",2.4,2.2,6.0,49.2,2.1,3.0,2.6,298.8,3.1,6.1,15.5,"1,866",4.3,3.3
696,CALIFORNIA RESOURCES CORPORATION,US,Oil & Gas Producers,114.5,19.8,,"3,437.1",-2.6,2.9,3.3,"1,663.8",21.0,-8.3,48.4,"-1,764.3",-235.0,-1.1,-51.3,,-100.0,
697,METRO,Germany,General Retailers,114.0,15.2,-11.3,"63,035.0",36.1,-11.1,0.2,862.0,57.0,-26.1,1.4,"1,161.0",112.6,-33.8,1.8,"255,033",-5.4,-1.4
698,ALTANA,Germany,Chemicals,113.9,4.2,7.6,"1,952.3",10.6,3.0,5.8,,,,0.0,263.8,12.9,2.8,13.5,"6,064",5.6,2.6
699,HARLEY-DAVIDSON,US,Automobiles & Parts,113.9,-9.1,1.5,"5,130.1",5.6,3.6,2.2,191.4,11.5,3.3,3.7,"1,055.1",11.2,8.6,20.6,"5,900",1.7,-1.1
700,SANKEN ELECTRIC,Japan,Technology Hardware & Equipment,113.8,14.2,8.2,"1,097.3",11.3,3.1,10.4,101.1,47.2,6.3,9.2,76.5,44.0,25.3,7.0,"10,454",0.7,2.0
701,TOKYO ELECTRIC POWER,Japan,Electricity,113.7,27.5,-19.2,"46,443.0",2.6,7.4,0.2,"3,874.3",-5.5,-6.3,8.3,"2,161.1",65.4,,4.7,"43,330",-5.3,-4.2
702,WOODWARD GOVERNOR,US,Industrial Engineering,113.7,6.0,4.0,"1,648.3",3.4,4.2,6.9,170.6,46.3,43.2,10.3,205.2,10.8,1.6,12.4,"6,700",-0.7,2.9
703,CLOVIS ONCOLOGY,US,Pharmaceuticals & Biotechnology,113.4,106.9,17.8,11.2,,,"1,010.7",1.9,"1,789.3",-35.3,16.8,-129.9,89.2,15.2,"-1,157.8",136,83.8,9.1
704,FURUKAWA ELECTRIC,Japan,General Industrials,113.3,-4.9,-2.7,"5,924.9",-6.9,0.5,1.9,189.0,-29.7,8.7,3.2,112.8,-12.3,10.3,1.9,"46,134",-1.9,1.2
705,LAFARGE,France,Construction & Materials,113.0,-0.9,-4.0,"12,843.0",-1.9,-7.5,0.9,861.0,-9.4,-3.9,6.7,"1,168.0",-28.9,-1.4,9.1,"44,271",-30.5,1.5
706,SCA,Sweden,Forestry & Paper,112.4,4.6,6.2,"11,077.8",16.9,3.1,1.0,610.3,3.3,-2.1,5.5,"1,261.5",49.5,89.5,11.4,"43,772",28.7,-8.0
707,BOLLORE,France,Industrial Transportation,112.4,38.9,18.8,"10,616.3",-2.3,8.6,1.1,475.4,24.6,10.6,4.5,670.7,6.3,22.7,6.3,"54,312",1.3,12.3
708,JA BOMBARDIER JAB,Canada,Automobiles & Parts,112.3,9.2,,"2,502.9",10.4,,4.5,112.7,18.1,,4.5,231.4,7.9,,9.2,,,
709,EAST JAPAN RAILWAY,Japan,Travel & Leisure,112.1,-3.6,3.0,"18,817.4",2.0,2.2,0.6,"3,439.3",-2.1,8.1,18.3,"2,918.9",6.8,4.5,15.5,"73,329",-0.3,0.8
710,CLOROX,US,Household Goods & Home Construction,112.0,8.8,1.1,"4,657.8",2.6,0.3,2.4,103.0,-9.4,-10.4,2.2,835.2,4.3,2.4,17.9,"7,700",-6.1,-0.8
711,SCHINDLER,Switzerland,Industrial Engineering,111.6,5.5,4.0,"7,699.4",4.9,3.9,1.4,152.4,-27.4,26.7,2.0,936.0,33.3,-1.2,12.2,,,-100.0
712,LEONI,Germany,Electronic & Electrical Equipment,111.5,5.8,8.2,"4,103.4",4.7,1.9,2.7,219.7,43.0,6.4,5.4,188.5,14.5,-11.5,4.6,"67,988",10.4,0.5
713,SINO BIOPHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,111.3,21.5,35.0,"1,314.6",25.0,19.6,8.5,47.5,-10.7,20.5,3.6,253.3,34.3,23.1,19.3,"13,880",53.0,1.6
714,SPECTRIS,UK,Electronic & Electrical Equipment,111.2,-2.3,5.3,"1,508.9",-2.4,2.8,7.4,35.2,-13.6,2.8,2.3,216.4,-10.2,2.2,14.3,"7,676",4.5,4.4
715,SEALED AIR,US,General Industrials,111.2,1.5,8.2,"6,383.7",0.8,12.0,1.7,126.8,32.7,-1.6,2.0,591.1,5.9,8.0,9.3,"24,000",-4.0,-1.7
716,BANK OF IRELAND,Ireland,Banks,111.0,42.3,5.7,"3,064.0",20.3,5.6,3.6,,,,0.0,920.0,-276.9,32.4,30.0,"11,086",-1.5,-6.3
717,ELECTRONICS FOR IMAGING,US,Technology Hardware & Equipment,111.0,5.2,3.4,651.0,8.6,7.1,17.0,13.1,-68.1,71.8,2.0,49.4,-66.6,80.4,7.6,"2,672",5.9,5.6
718,VALSPAR,US,Construction & Materials,110.5,10.3,1.7,"3,724.9",10.2,1.3,3.0,99.9,3.9,20.7,2.7,495.1,13.2,,13.3,"10,830",-2.4,3.5
719,SASOL,South Africa,Oil & Gas Producers,110.2,7.5,10.0,"13,176.4",-8.6,8.4,0.8,"3,202.4",,,24.3,"3,360.1",-10.3,11.7,25.5,"30,919",-7.4,0.0
720,CHUNGHWA PICTURE TUBES,Taiwan,Electronic & Electrical Equipment,110.1,9.8,-5.3,"1,465.9",-3.9,-1.5,7.5,98.6,11.6,5.3,6.7,-17.3,-143.8,,-1.2,,,-100.0
721,INFINERA,US,Technology Hardware & Equipment,109.9,7.0,-0.6,550.3,22.8,10.4,20.0,19.0,9.8,-18.8,3.5,22.5,-213.0,-33.1,4.1,"1,495",13.4,3.7
722,CHECK POINT SOFTWARE TECHNOLOGIES,Israel,Software & Computer Services,109.8,9.5,3.4,"1,232.0",7.3,3.8,8.9,10.5,33.2,9.9,0.9,659.8,5.3,5.8,53.6,"3,158",5.6,8.0
723,DATANG TELECOM TECHNOLOGY,China,Technology Hardware & Equipment,109.3,9.7,49.6,"1,068.9",0.8,14.1,10.2,60.4,-47.6,20.2,5.6,65.7,24.4,16.7,6.1,"5,289",4.5,18.3
724,JAPAN DISPLAY,Japan,Electronic & Electrical Equipment,109.2,1.5,,"5,252.3",25.2,,2.1,740.3,-10.7,,14.1,35.1,-81.4,,0.7,"16,984",5.8,
725,SOFTWARE,Germany,Software & Computer Services,109.1,1.1,7.0,857.8,-11.8,-4.0,12.7,10.9,-21.4,-1.4,1.3,167.6,-17.7,-9.0,19.5,"4,421",-15.6,-1.8
726,WEBASTO,Germany,Automobiles & Parts,108.9,-9.6,8.2,"2,469.4",8.4,-0.4,4.4,,,,0.0,130.3,10.8,-7.8,5.3,"10,098",-4.0,4.5
727,LESHI INTERNET INFORMATION & TECHNOLOGY CORPORATION,China,Software & Computer Services,108.4,115.4,55.6,910.2,189.6,60.1,11.9,171.5,40.5,3.8,18.8,36.2,-29.6,31.9,4.0,"3,501",81.3,24.4
728,KRKA,Slovenia,Pharmaceuticals & Biotechnology,108.4,11.5,1.5,"1,191.6",-0.8,3.7,9.1,174.0,14.7,14.9,14.6,277.0,22.0,2.1,23.2,"10,499",4.5,3.9
729,OMNIVISION TECHNOLOGIES,US,Technology Hardware & Equipment,108.1,14.9,6.6,"1,135.6",-5.2,17.4,9.5,9.3,-58.3,-4.0,0.8,62.7,3.0,4.8,5.5,"2,176",8.4,3.8
730,ADTRAN,US,Technology Hardware & Equipment,108.0,0.9,9.2,518.4,-1.8,-3.7,20.8,9.3,37.7,-11.8,1.8,39.9,-2.4,-36.4,7.7,"2,080",3.5,5.0
731,LOGITECH INTERNATIONAL,Switzerland,Technology Hardware & Equipment,107.9,-6.0,-5.0,"1,741.2",-0.7,-2.8,6.2,37.3,-3.0,-0.8,2.1,113.7,81.7,1.8,6.5,,,
732,CHINA NATIONAL MATERIALS,China,Construction & Materials,107.9,5.0,16.6,"7,441.7",6.2,0.9,1.4,191.2,-49.9,-26.6,2.6,636.4,-6.7,-6.0,8.6,"57,187",-1.3,3.2
733,FIBROGEN,US,Pharmaceuticals & Biotechnology,107.4,66.1,,113.3,34.7,,94.8,6.7,19.3,,5.9,-41.3,530.3,,-36.4,,,
734,NHK SPRING,Japan,Automobiles & Parts,107.2,13.8,11.1,"4,106.2",5.6,8.9,2.6,129.5,-1.7,0.2,3.2,219.2,-14.2,19.1,5.3,"16,708",2.9,4.8
735,RED BULL TECHNOLOGY,UK,Automobiles & Parts,106.9,9.9,8.6,332.0,11.3,9.2,32.2,,,,0.0,12.6,112.4,7.2,3.8,675,2.6,3.4
736,FORD OTOMOTIV,Turkey,Automobiles & Parts,106.7,-7.0,45.7,"4,231.9",4.6,3.0,2.5,416.8,37.3,68.1,9.9,201.9,-6.4,-5.9,4.8,"9,762",3.4,3.9
737,FISERV,US,Support Services,106.3,7.5,8.9,"4,172.6",5.2,3.9,2.5,240.5,23.7,7.5,5.8,996.6,14.0,2.3,23.9,"21,000",0.0,1.6
738,IBIDEN,Japan,Electronic & Electrical Equipment,105.9,3.2,-2.3,"2,171.6",2.5,1.0,4.9,374.2,52.1,-14.5,17.2,172.1,16.6,13.6,7.9,"14,306",1.3,7.5
739,FMC,US,Chemicals,105.7,9.0,2.9,"3,325.7",4.2,8.5,3.2,185.1,1.3,5.4,5.6,577.8,-0.4,5.9,17.4,"6,000",7.1,3.8
740,NEWELL RUBBERMAID,US,Household Goods & Home Construction,105.7,-10.4,-10.6,"4,717.1",2.1,0.6,2.2,133.3,17.1,-14.7,2.8,595.4,-0.3,26.2,12.6,"17,400",-4.9,-2.8
741,CAMERON INTERNATIONAL,US,"Oil Equipment, Services & Distribution",105.4,54.0,11.1,"8,550.4",13.6,9.5,1.2,317.1,-26.0,10.2,3.7,987.6,15.6,7.7,11.5,"28,000",-3.4,8.8
742,FINCANTIERI,Italy,Industrial Engineering,105.3,1.4,23.5,"4,315.0",15.5,,2.4,122.2,-43.9,,2.8,197.2,7.6,,4.6,"21,689",6.4,
743,CHINA GEZHOUBA,China,Construction & Materials,105.2,146.7,179.7,"9,272.3",19.4,8.8,1.1,376.7,-7.0,12.9,4.1,613.8,27.2,4.6,6.6,"39,698",4.4,3.5
744,INTEGRATED DEVICE TECHNOLOGY,US,Technology Hardware & Equipment,105.2,-7.7,-4.5,471.9,18.2,-2.7,22.3,14.6,1.8,-14.0,3.1,91.5,259.1,18.3,19.4,"1,447",-2.5,-6.2
745,ZHEJIANG DAHUA TECHNOLOGY,China,Leisure Goods,105.1,56.1,49.4,916.5,30.2,36.0,11.5,17.1,-23.1,15.4,1.9,131.5,-2.7,41.9,14.3,"6,175",34.0,28.6
746,LYONDELLBASELL INDUSTRIES,The Netherlands,Chemicals,104.6,-15.3,-5.0,"37,565.3",3.5,-4.8,0.3,"1,234.7",-4.0,14.1,3.3,"4,516.9",12.1,4.0,12.0,"13,100",-1.5,-1.0
747,YASKAWA ELECTRIC,Japan,Electronic & Electrical Equipment,104.6,9.1,10.5,"2,732.0",10.1,5.8,3.8,126.4,16.4,17.2,4.6,214.5,24.0,19.6,7.9,"11,356",-0.9,11.6
748,BOREALIS,Austria,Chemicals,104.5,3.2,2.5,,-100.0,4.7,,,,,,,-100.0,-11.8,,,,
749,HANKOOK TIRE,South Korea,Automobiles & Parts,104.3,26.5,2.5,"5,005.7",-5.5,2.9,2.1,712.7,139.8,-15.1,14.2,773.0,0.1,21.2,15.4,,,
750,GOERTEK,China,Electronic & Electrical Equipment,104.1,69.2,31.3,"1,669.9",27.8,34.7,6.2,181.1,37.6,-12.6,10.8,278.7,18.6,33.4,16.7,"27,308",20.9,29.0
751,STORA ENSO,Finland,Forestry & Paper,104.0,26.8,-0.3,"10,213.0",-3.1,-1.3,1.0,68.0,-84.0,1.2,0.7,507.0,789.5,-57.1,5.0,"27,200",-3.7,0.3
752,FUJIKURA,Japan,Electronic & Electrical Equipment,104.0,3.9,0.2,"4,516.4",11.9,5.1,2.3,165.6,-27.7,10.5,3.7,165.5,35.0,18.0,3.7,"52,452",-1.8,1.9
753,MICRO FOCUS INTERNATIONAL,UK,Software & Computer Services,103.9,162.3,-1.0,687.4,92.7,-0.1,15.1,4.1,71.0,-45.8,0.6,114.3,-13.7,1.6,16.6,"2,515",106.3,0.8
754,ADIDAS,Germany,Personal Goods,103.8,-16.3,2.5,"14,534.0",0.3,2.8,0.7,499.0,16.9,10.3,3.4,882.0,-26.6,8.0,6.1,"53,731",5.9,2.7
755,SK INNOVATION,South Korea,Oil & Gas Producers,103.7,-8.6,-0.6,"49,349.8",-0.3,-1.2,0.2,"1,726.1",-21.2,26.5,3.5,-173.3,-116.4,-22.0,-0.4,,,
756,INTERSIL,US,Technology Hardware & Equipment,103.7,-3.6,-11.0,463.4,-2.2,-8.9,22.4,8.1,-47.0,20.8,1.8,64.9,63.5,-17.3,14.0,"1,031",1.4,-14.8
757,VEOLIA ENVIRONNEMENT,France,"Gas, Water & Multi-utilities",103.6,6.0,-11.4,"23,996.3",3.9,-2.5,0.4,"1,380.4",12.5,-7.8,5.8,"1,467.6",68.9,-34.4,6.1,"179,508",-11.5,-4.3
758,COMMSCOPE,US,Mobile telecommunications,103.2,-0.9,2.3,"3,154.3",10.0,2.0,3.3,30.4,0.4,-2.4,1.0,491.5,69.6,,15.6,"13,000",0.0,
759,HEIDELBERGCEMENT,Germany,Construction & Materials,103.2,-0.7,8.8,"12,614.3",4.0,-2.0,0.8,923.5,9.7,-0.4,7.3,"1,472.1",24.7,-3.5,11.7,"44,909",-0.6,-4.9
760,KONE,Finland,Industrial Engineering,103.1,6.8,5.4,"7,334.5",5.8,9.9,1.4,98.0,26.6,-5.6,1.3,995.8,7.7,7.5,13.6,"47,064",8.7,4.9
761,UNIFY HOLDINGS,The Netherlands,Technology Hardware & Equipment,103.0,-17.5,-8.9,"1,376.8",-17.5,-7.9,7.5,,,,0.0,-174.1,-11.8,31.4,-12.6,"7,747",,-100.0
762,CHINA CSSC,China,Industrial Engineering,102.8,94.1,8.2,"3,703.2",28.0,-8.5,2.8,85.3,-19.4,-14.7,2.3,59.3,-33.4,-45.2,1.6,"12,565",8.7,-1.6
763,SHANGHAI ZHENHUA,China,General Industrials,102.3,9.1,-0.3,"3,332.0",8.4,6.6,3.1,88.1,89.2,-21.0,2.6,187.2,"1,827.0",,5.6,"6,827",9.1,7.7
764,HOLKHAM GROUP,UK,Household Goods & Home Construction,102.2,13.1,,"1,661.6",,,6.2,,,,0.0,370.8,,,22.3,"4,442",,
765,NISSAN CHEMICAL INDUSTRIES,Japan,Chemicals,102.2,5.1,1.4,"1,168.9",4.6,3.3,8.7,58.5,-4.8,1.3,5.0,173.1,13.9,12.9,14.8,"2,325",1.9,0.0
766,FMC TECHNOLOGIES,US,Industrial Engineering,101.9,10.1,7.5,"6,542.0",11.5,11.8,1.6,333.1,28.7,4.7,5.1,914.3,52.7,8.9,14.0,"20,300",5.2,10.8
767,PORTOLA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,101.8,56.1,19.8,7.9,-8.6,-48.7,"1,284.6",1.3,74.6,-14.2,16.9,-113.3,63.6,,"-1,429.3",99,41.4,
768,ORION OYJ,Finland,Pharmaceuticals & Biotechnology,101.8,4.2,6.0,"1,015.3",0.8,3.1,10.0,51.5,-21.9,37.2,5.1,272.0,2.8,-2.1,26.8,"3,450",-2.5,2.1
769,METTLER-TOLEDO INTERNATIONAL,US,Electronic & Electrical Equipment,101.6,6.0,0.1,"2,047.6",4.5,1.0,5.0,73.6,8.5,-5.8,3.6,391.6,6.8,5.6,19.1,"13,100",4.8,1.4
770,ASTON MARTIN UK,UK,Automobiles & Parts,101.5,30.9,14.8,667.9,12.6,-0.9,15.2,,,,0.0,1.9,-117.4,,0.3,"1,239",5.6,-0.4
771,SAMSUNG C&T,South Korea,Electronic & Electrical Equipment,101.4,5.8,8.5,"21,312.9",0.0,9.7,0.5,,,,0.0,"1,153.3",8.8,-0.4,5.4,"8,663",,
772,HANMI PHARM,South Korea,Pharmaceuticals & Biotechnology,101.3,42.3,10.4,570.4,4.3,6.4,17.8,60.2,130.2,5.1,10.6,25.8,-44.3,42.9,4.5,,,
773,ATHENAHEALTH,US,Software & Computer Services,101.3,41.7,40.7,619.9,26.5,22.5,16.3,106.7,92.3,40.2,17.2,0.8,-83.7,-44.1,0.1,"3,676",23.9,18.2
774,FORTINET,US,Software & Computer Services,101.2,19.7,17.3,634.5,25.2,12.4,16.0,26.5,132.0,56.4,4.2,48.9,-17.7,-6.1,7.7,"2,854",23.7,13.4
775,HEARTWARE INTERNATIONAL,US,Health Care Equipment & Services,100.8,19.5,26.9,229.3,33.9,35.9,44.0,6.8,136.1,-35.8,3.0,-19.3,-50.8,3.7,-8.4,585,2.8,19.9
776,ALMIRALL,Spain,Pharmaceuticals & Biotechnology,100.6,-20.6,-4.3,786.4,13.5,-3.4,12.8,40.1,,,5.1,495.6,-836.5,,63.0,"2,644",-10.9,2.1
777,SYSMEX,Japan,Health Care Equipment & Services,100.3,10.8,3.7,"1,511.4",20.0,11.1,6.6,89.0,-1.9,25.4,5.9,302.5,35.7,19.3,20.0,"5,903",9.3,5.5
778,CHINA INTERNATIONAL MARINE CONTAINERS,China,General Industrials,100.0,48.0,11.8,"9,203.0",21.7,-3.5,1.1,"1,732.8",85.8,32.2,18.8,494.6,14.6,-18.0,5.4,"61,390",6.4,-3.7
779,SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY,China,Industrial Engineering,99.9,6.2,14.8,"2,739.1",4.7,11.1,3.6,64.4,41.6,22.0,2.4,204.8,15.8,14.4,7.5,"3,404",-13.1,-5.0
780,PERKINELMER,US,Electronic & Electrical Equipment,99.8,-8.9,4.9,"1,842.7",3.7,4.0,5.4,23.9,-25.4,8.4,1.3,184.6,-14.4,31.2,10.0,"7,700",1.3,1.8
781,ABENGOA,Spain,General Industrials,99.7,-7.2,10.4,"7,150.6",-2.8,1.2,1.4,,,,0.0,"1,047.7",32.0,79.5,14.7,"24,322",-1.7,3.6
782,VAILLANT,Germany,Industrial Engineering,99.5,9.8,6.2,"2,381.1",2.1,0.2,4.2,,,,0.0,222.0,19.3,1.6,9.3,"12,137",4.5,-1.8
783,BENTELER INTERNATIONAL,Austria,Automobiles & Parts,99.4,-8.4,-7.2,,-100.0,,,,,,,,-100.0,,,,,
784,KONGSBERG GRUPPEN,Norway,Aerospace & Defence,99.2,10.8,3.9,"1,841.6",1.8,2.6,5.4,37.6,-4.8,-6.7,2.0,139.5,-24.2,-6.6,7.6,"7,726",6.2,6.2
785,NORDDEUTSCHE LANDESBANK GIROZENTRALE,Germany,Banks,99.0,-8.3,-12.3,"2,400.0",-4.2,0.1,4.1,,,,0.0,276.0,97.1,-42.3,11.5,"6,226",-2.6,-2.8
786,KISSEI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,98.9,28.2,4.0,478.7,-0.4,2.9,20.7,13.5,3.4,2.6,2.8,56.9,-31.8,18.7,11.9,"1,883",0.0,-0.2
787,BRUNSWICK,US,Leisure Goods,98.5,0.1,6.9,"3,161.8",6.6,-0.6,3.1,102.8,-1.3,13.2,3.3,257.4,4.8,8.3,8.1,"12,165",-22.5,0.7
788,WINCOR NIXDORF,Germany,Software & Computer Services,98.3,-0.4,-0.5,"2,469.4",0.2,1.9,4.0,47.7,21.7,-3.2,1.9,155.0,17.8,-6.8,6.3,"9,198",4.2,-1.6
789,SEMTECH,US,Technology Hardware & Equipment,98.3,-9.7,24.3,459.5,-6.2,7.4,21.4,27.1,-19.3,18.3,5.9,35.9,-147.1,,7.8,"1,456",0.1,16.1
790,AMETEK,US,Electronic & Electrical Equipment,98.3,27.1,6.4,"3,312.7",11.9,6.3,3.0,58.7,12.7,7.6,1.8,740.1,10.2,8.6,22.3,"15,400",6.2,5.9
