EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
208,BECTON DICKINSON,US,Health Care Equipment & Services,614.5,9.5,7.5,"9,444.3",21.7,10.1,6.5,581.4,-3.1,4.6,6.2,"1,377.8",-6.6,-1.3,14.6,49517,61.7,18.7
209,THOMSON REUTERS,Canada,Support Services,614.5,7.4,4.1,"11,214.3",-3.2,-2.4,5.5,921.3,3.6,1.3,8.2,"1,632.2",-31.6,-11.9,14.6,0,,
210,CITRIX SYSTEMS,US,Software & Computer Services,604.3,3.9,9.4,"3,008.7",4.2,8.2,20.1,158.2,-3.8,4.5,5.3,413.8,39.6,4.9,13.8,9500,-5.8,
211,FERRARI,Italy,Automobiles & Parts,601.1,7.3,11.7,"2,854.4",3.3,8.7,21.1,184.9,9.2,4.6,6.5,444.3,14.1,9.8,15.6,0,,
212,NETFLIX,US,General Retailers,597.8,37.8,25.5,"6,227.2",23.2,23.4,9.6,155.4,17.1,24.1,2.5,280.9,-24.0,82.9,4.5,3700,51.0,15.1
213,MURATA MANUFACTURING,Japan,Electronic & Electrical equipment,594.4,20.0,16.9,"9,229.8",16.0,21.1,6.4,"1,315.2",70.5,30.5,14.2,"2,099.3",28.4,67.5,22.7,0,,
214,ACTIVISION BLIZZARD,US,Software & Computer Services,593.4,13.1,2.3,"4,284.0",5.8,-1.3,13.9,102.0,3.7,15.0,2.4,"1,211.5",11.5,-3.1,28.3,7300,7.4,2.9
215,AMAZON.COM,US,General Retailers,589.7,0.2,12.2,"98,287.9",20.2,20.5,0.6,"4,215.1",-6.2,6.6,4.3,"2,051.1","1,154.5",48.9,2.1,230800,49.8,37.7
216,CORNING,US,Technology Hardware & Equipment,586.0,-9.0,0.2,"8,368.7",-6.2,4.4,7.0,"1,148.2",16.2,-11.5,13.7,"1,200.5",-33.7,1.6,14.3,35700,3.2,7.5
217,ANALOG DEVICES,US,Technology Hardware & Equipment,585.5,13.9,7.6,"3,155.2",19.9,8.3,18.6,141.4,-13.5,5.2,4.5,763.1,5.2,-0.1,24.2,9700,1.0,1.8
218,CADENCE DESIGN SYSTEMS,US,Software & Computer Services,585.3,6.1,11.7,"1,563.4",7.7,8.7,37.4,41.2,12.6,7.6,2.6,266.3,34.9,11.2,17.0,6700,9.8,8.8
