EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
427,AU OPTRONICS,Taiwan,Electronic & Electrical equipment,248.1,-2.8,-4.3,"10,042.7",-11.7,-1.6,2.5,932.0,97.0,-8.3,9.3,566.4,-18.1,,5.6,0,,
428,REALTEK SEMICONDUCTOR,Taiwan,Technology Hardware & Equipment,248.1,13.3,20.9,884.7,1.5,8.9,28.0,15.4,-33.2,23.0,1.7,55.0,-33.9,-5.7,6.2,0,,
429,CLOVIS ONCOLOGY,US,Pharmaceuticals & Biotechnology,247.3,95.5,66.0,0.0,,,,2.8,32.8,42.1,,-368.6,154.4,75.9,,309,127.2,71.7
430,CIRRUS LOGIC,US,Technology Hardware & Equipment,247.3,36.1,33.1,"1,074.0",27.6,13.0,23.0,42.3,25.6,-6.2,3.9,154.8,31.3,-6.2,14.4,1291,16.9,25.6
431,DR REDDY'S LABORATORIES,India,Pharmaceuticals & Biotechnology,247.0,2.2,32.5,0.0,,,,0.0,,,,0.0,,,,0,,
432,ZIMMER BIOMET,US,Health Care Equipment & Services,246.9,42.8,6.0,"5,509.1",28.3,10.3,4.5,398.7,26.8,18.0,7.2,"1,191.1",-4.3,3.0,21.6,17500,75.0,23.5
433,INVENTEC,Taiwan,Technology Hardware & Equipment,245.7,3.6,7.3,"11,021.6",-9.2,-1.3,2.2,104.9,-21.3,-2.1,1.0,179.1,-25.3,11.2,1.6,0,,
434,BAE SYSTEMS,UK,Aerospace & Defense,245.0,12.5,4.4,"22,849.9",8.8,0.2,1.1,488.7,36.5,0.0,2.1,"2,082.6",19.5,-1.5,9.1,75000,-1.3,-2.5
435,DAI NIPPON PRINTING,Japan,Media,242.6,0.2,1.1,"11,097.9",-0.4,0.2,2.2,491.0,22.4,-0.9,4.4,345.8,-5.8,11.2,3.1,39198,-0.6,-0.2
436,SEKISUI CHEMICAL,Japan,Construction & Materials,241.6,7.6,7.0,"8,356.8",-1.5,2.0,2.9,300.7,14.0,10.5,3.6,667.5,11.3,17.2,8.0,23901,0.1,2.5
437,MITSUI CHEMICALS,Japan,Chemicals,240.1,-3.0,-0.5,"10,244.0",-13.3,-1.5,2.3,305.3,14.1,-7.2,3.0,357.2,27.5,,3.5,13447,-6.4,1.5
438,LUPIN,India,Pharmaceuticals & Biotechnology,239.8,69.6,36.4,0.0,,,,0.0,,,,0.0,,,,0,,
439,RHEINMETALL,Germany,Automobiles & Parts,239.0,11.7,1.4,"5,183.0",10.6,3.3,4.6,310.0,9.2,9.8,6.0,270.0,121.3,-0.2,5.2,20676,2.5,-1.7
440,ADVANTEST,Japan,Technology Hardware & Equipment,238.6,4.8,-1.8,0.0,,,,0.0,,,,0.0,,,,0,,
441,ECLIPSE,US,Oil & Gas Producers,238.5,-63.7,151.4,234.5,85.3,783.7,101.7,438.5,-35.0,38.6,187.0,-896.7,"1,040.5",380.6,-382.3,210,-7.5,
442,NOVOZYMES,Denmark,Pharmaceuticals & Biotechnology,238.2,12.4,7.0,"1,883.0",12.4,7.6,12.6,130.2,37.7,-5.0,6.9,522.3,14.8,12.5,27.7,6485,0.5,2.9
443,CONSTELLATION SOFTWARE,Canada,Software & Computer Services,237.4,5.1,27.9,"1,688.5",10.1,27.3,14.1,11.8,-7.0,28.3,0.7,243.5,51.6,41.7,14.4,0,,
444,NITTO DENKO,Japan,Chemicals,237.2,10.2,4.1,0.0,,,,0.0,,,,0.0,,,,0,,
445,SKY,UK,Media,236.6,1.6,19.8,0.0,,,,0.0,,,,0.0,,,,0,,
446,GEMALTO,The Netherlands,Electronic & Electrical equipment,236.2,34.8,10.7,"3,121.6",26.6,11.6,7.6,98.5,20.3,12.0,3.2,92.0,-66.1,-27.2,2.9,15,,7.7
447,CHIESI FARMACEUTICI,Italy,Pharmaceuticals & Biotechnology,236.0,40.5,11.7,0.0,,,,0.0,,,,0.0,,,,0,,
448,BURELLE,France,General Industrials,235.4,11.2,6.9,"5,011.9",12.9,1.4,4.7,273.3,7.0,8.3,5.5,412.5,14.9,11.1,8.2,16637,3.3,-7.5
449,TSINGHUA TONGFANG,China,Technology Hardware & Equipment,234.5,32.3,23.4,"3,971.2",9.4,7.9,5.9,164.4,21.9,-12.5,4.1,129.4,-40.1,-3.9,3.3,19241,-2.2,9.4
450,NATIONAL INSTRUMENTS,US,Electronic & Electrical equipment,234.2,1.3,2.8,"1,125.6",-1.5,2.3,20.8,62.6,-7.3,-12.8,5.6,126.7,-5.5,3.3,11.3,7441,5.0,2.7
451,KERRY,Ireland,Food Producers,234.2,19.0,8.0,"6,104.9",6.1,1.4,3.8,252.2,-8.0,21.4,4.1,703.1,14.2,9.0,11.5,23223,-2.3,-1.3
452,AMDOCS,UK,Software & Computer Services,234.2,-1.1,1.7,"3,346.7",2.2,3.9,7.0,110.7,8.0,-0.4,3.3,473.9,4.1,5.3,14.2,24950,10.7,7.5
453,GRUNENTHAL,Germany,Pharmaceuticals & Biotechnology,233.0,0.3,-2.4,0.0,,,,0.0,,,,0.0,,,,0,,
454,CHINA NATIONAL CHEMICAL ENGINEERING,China,Construction & Materials,231.7,12.8,20.4,"8,799.6",-8.5,5.7,2.6,208.9,-41.1,-5.7,2.4,499.4,-12.9,0.6,5.7,45549,-2.4,0.5
455,MELLANOX TECHNOLOGIES,Israel,Technology Hardware & Equipment,231.6,20.7,22.0,604.5,41.9,9.5,38.3,44.6,62.4,16.7,7.4,69.0,"-1,144.4",-14.1,11.4,2119,26.2,18.8
456,AKAMAI TECHNOLOGIES,US,Software & Computer Services,231.4,16.4,22.1,"2,018.4",11.9,16.9,11.5,408.7,39.7,26.3,20.2,430.5,-5.2,13.5,21.3,6084,19.2,25.6
457,TCL COMMUNICATION TECHNOLOGY,China,Technology Hardware & Equipment,231.4,11.8,25.7,"3,384.4",-7.0,33.4,6.8,69.2,-14.6,33.3,2.0,123.5,-16.4,,3.6,12900,-7.9,5.5
458,EASTMAN CHEMICAL,US,Chemicals,230.6,10.6,8.2,"8,861.9",1.3,6.0,2.6,598.9,9.4,11.5,6.8,"1,271.2",19.1,20.0,14.3,15000,0.0,3.6
459,CNOOC,China,Oil & Gas Producers,230.5,-10.5,4.7,"24,257.8",-37.6,-11.5,1.0,"9,575.7",-29.3,2.5,39.5,"2,960.1",-75.4,-37.9,12.2,20585,-20.0,26.9
460,DRAGERWERK,Germany,Health Care Equipment & Services,227.8,9.1,5.4,"2,608.9",7.2,3.2,8.7,110.1,,,4.2,73.5,-57.1,-31.8,2.8,13936,1.4,3.6
461,FREUDENBERG,Germany,General Industrials,227.5,7.6,6.4,0.0,,,,0.0,,,,0.0,,,,0,,
462,KOBE STEEL,Japan,Industrial Metals & Mining,227.5,-0.3,-1.0,"13,894.6",-3.4,2.6,1.6,755.9,4.0,-3.3,5.4,521.7,-54.2,97.5,3.8,36338,-0.2,0.3
463,INTERNATIONAL FLAVORS & FRAGRANCES,US,Chemicals,226.1,-3.0,1.7,"2,776.9",-2.1,2.3,8.1,92.8,-29.4,-7.1,3.3,547.4,0.4,6.9,19.7,6700,8.1,5.5
464,KUBOTA,Japan,General Industrials,225.9,-25.0,-1.7,"9,488.5",-21.6,2.2,2.4,299.3,-15.9,-5.6,3.2,"1,272.0",-18.3,13.8,13.4,36233,2.1,4.8
465,VARIAN MEDICAL SYSTEMS,US,Health Care Equipment & Services,225.2,4.4,9.7,"2,846.6",1.6,3.4,7.9,83.9,1.9,14.4,2.9,478.9,-10.5,-4.5,16.8,7300,7.4,6.2
466,UNITED THERAPEUTICS,US,Pharmaceuticals & Biotechnology,225.1,1.1,12.2,"1,346.3",13.8,17.0,16.7,45.7,5.0,-23.7,3.4,642.1,29.7,18.4,47.7,750,1.4,6.4
467,ELBIT SYSTEMS,Israel,Aerospace & Defense,223.6,6.8,1.4,"2,854.4",5.0,2.5,7.8,91.1,39.3,6.7,3.2,246.7,8.8,9.8,8.6,12134,2.4,0.0
468,HASBRO,US,Leisure Goods,223.2,9.2,8.5,"4,085.2",4.0,2.8,5.5,130.5,25.3,8.2,3.2,635.6,8.9,5.7,15.6,5000,-3.8,-3.1
469,CALSONIC KANSEI,Japan,Automobiles & Parts,222.9,5.5,7.1,"8,029.1",9.1,11.5,2.8,162.2,11.8,-3.7,2.0,291.5,21.7,56.5,3.6,21987,5.2,5.3
470,HILTI,Liechtenstein,Construction & Materials,222.4,8.1,1.3,"4,058.4",-2.5,1.4,5.5,0.0,,,0.0,506.8,3.2,22.0,12.5,23385,5.1,3.4
471,GOPRO,US,Leisure Goods,222.0,59.2,88.4,"1,488.0",16.2,45.5,14.9,47.1,88.3,42.3,3.2,50.3,-70.7,0.7,3.4,1539,58.7,64.3
472,PACCAR,US,Industrial Engineering,220.3,11.2,-5.0,"17,557.7",0.6,3.9,1.3,"1,584.6",12.2,-1.5,9.0,"2,128.2",15.6,13.2,12.1,23000,-1.3,1.8
473,SHANGHAI CONSTRUCTION,China,Construction & Materials,220.2,49.8,193.1,"17,283.2",8.8,10.3,1.3,435.8,102.6,34.2,2.5,458.6,23.4,30.9,2.7,31079,8.0,6.4
474,DIALOG SEMICONDUCTOR,UK,Technology Hardware & Equipment,219.1,20.2,21.6,"1,244.9",17.2,20.6,17.6,30.3,38.2,-2.0,2.4,238.6,39.7,41.8,19.2,1546,12.6,24.2
475,ALCOA,US,Industrial Metals & Mining,218.6,9.2,6.5,"20,698.1",-5.7,-1.7,1.1,"1,083.9",-3.2,-2.2,5.2,"1,784.7",-11.1,44.4,8.6,60000,1.7,-0.5
476,SEMICONDUCTOR MANUFACTURING,China,Technology Hardware & Equipment,217.8,25.0,7.0,"2,054.2",13.5,9.5,10.6,"1,130.5",88.4,45.4,55.0,177.3,41.8,97.4,8.6,13473,18.3,10.5
477,LEGRAND,France,Electronic & Electrical equipment,217.2,10.6,2.4,"4,809.9",6.9,2.5,4.5,106.0,10.1,4.6,2.2,886.7,4.6,1.5,18.4,32667,-2.6,-0.4
478,TOYODA GOSEI,Japan,Automobiles & Parts,216.6,-4.0,1.4,"5,960.0",7.4,9.3,3.6,429.2,-6.1,13.6,7.2,299.3,-0.6,2.7,5.0,35903,3.3,5.9
479,ALNYLAM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,216.2,68.5,140.0,37.7,-18.7,-14.9,572.8,11.9,-61.9,15.8,31.5,-271.9,-26.9,69.5,-720.3,369,44.1,42.0
480,DANFOSS,Denmark,Industrial Engineering,216.1,20.7,6.7,"5,114.6",10.6,3.8,4.2,0.0,,,0.0,551.0,-0.4,3.0,10.8,23594,4.9,0.6
481,GRIFOLS,Spain,Pharmaceuticals & Biotechnology,215.6,25.4,20.1,"3,934.6",17.3,14.5,5.5,522.6,121.5,,13.3,970.4,13.1,,24.7,14749,5.5,9.4
482,TOMTOM,The Netherlands,Electronic & Electrical equipment,215.1,8.9,8.2,"1,006.6",5.9,-1.6,21.4,21.6,30.3,32.3,2.1,77.3,308.7,3.2,7.7,4666,11.8,10.3
483,ALLSCRIPTS HEALTHCARE SOLUTIONS,US,Software & Computer Services,215.0,0.2,4.5,"1,273.4",0.6,-1.4,16.9,62.1,0.7,-18.1,4.9,29.3,-181.4,33.9,2.3,6900,-4.2,-0.9
484,GEELY AUTOMOBILE,China,Automobiles & Parts,214.7,130.8,114.9,"4,264.5",38.6,7.0,5.0,222.2,86.7,13.4,5.2,385.9,6.4,0.1,9.0,18700,1.2,0.3
485,PIRELLI,Italy,Automobiles & Parts,214.4,4.3,6.2,"6,309.6",4.8,1.3,3.4,0.0,,,0.0,850.3,1.5,2.9,13.5,36753,-2.2,-0.5
486,ESSILOR INTERNATIONAL,France,Health Care Equipment & Services,214.0,30.2,12.8,"6,716.0",18.4,10.4,3.2,327.0,40.9,10.7,4.9,"1,184.0",-11.6,9.9,17.6,60883,4.9,6.3
487,MAHINDRA & MAHINDRA,India,Automobiles & Parts,212.4,127.2,44.2,0.0,,,,0.0,,,,0.0,,,,0,,
488,WEATHERFORD INTERNATIONAL,Ireland,"Oil Equipment, Services & Distribution",212.2,-20.3,-3.5,"8,664.5",-36.7,-14.7,2.4,626.4,-53.0,-32.1,7.2,-805.5,-234.7,,-9.3,39500,-29.5,-17.4
489,TECHTRONIC INDUSTRIES,China,Electronic & Electrical equipment,211.8,10.6,15.6,"4,627.5",6.0,9.4,4.6,146.8,10.9,16.0,3.2,367.2,14.1,15.5,7.9,20517,2.2,4.3
490,NCR,US,Technology Hardware & Equipment,211.3,-12.5,14.1,"5,853.8",-3.3,3.6,3.6,210.3,-11.2,12.7,3.6,228.7,-45.2,-30.7,3.9,32600,7.9,8.3
491,ASSA ABLOY,Sweden,Construction & Materials,210.2,25.0,12.9,"7,410.5",19.8,13.5,2.8,169.1,15.9,12.7,2.3,"1,208.6",20.2,13.9,16.3,45994,3.9,2.5
492,NAVISTAR INTERNATIONAL,US,Industrial Engineering,209.4,-31.1,-24.9,"9,313.9",-6.2,-7.2,2.2,185.5,-27.1,-19.3,2.0,278.3,-231.7,,3.0,13200,-7.0,-7.9
493,DEUTSCHE TELEKOM,Germany,Fixed Line Telecommunications,209.4,10.9,13.3,"69,228.0",10.5,6.0,0.3,"8,167.0",13.7,9.0,11.8,"7,079.0",3.8,,10.2,225243,-1.1,-0.6
494,DEUTSCHE BORSE,Germany,Financial Services,209.3,-5.6,7.5,"2,722.8",16.0,8.3,7.7,0.0,,,0.0,993.5,11.3,2.5,36.5,5283,16.4,12.6
495,ARKEMA,France,Chemicals,209.0,32.3,11.7,"7,683.0",29.1,3.4,2.7,493.0,4.9,1.0,6.4,496.0,28.5,1.0,6.5,18806,33.0,11.0
496,PTC,US,Software & Computer Services,209.0,0.4,1.9,"1,153.0",-7.5,0.0,18.1,28.1,21.2,-0.8,2.4,147.2,-32.6,0.7,12.8,5982,-7.2,0.5
497,ARCELORMITTAL,Luxembourg,Industrial Metals & Mining,208.5,-12.4,-7.3,"58,398.1",-19.8,-8.9,0.4,"2,486.5",-26.1,-16.9,4.3,"-3,822.0",-237.1,19.1,-6.5,209000,-5.9,-3.4
498,MEIJI,Japan,Food Producers,208.2,4.6,1.4,"9,328.2",5.4,2.8,2.2,305.5,-35.5,4.3,3.3,578.7,58.4,43.3,6.2,16456,-0.6,3.6
499,FIBERHOME TELEKOMMUNICATIONS TECHNOLOGIES,China,Fixed Line Telecommunications,207.8,24.8,22.6,"1,865.7",26.4,18.7,11.1,89.4,64.8,35.6,4.8,103.5,54.1,17.2,5.5,10751,15.0,8.3
500,KANEKA,Japan,Chemicals,204.0,14.8,7.8,"4,232.3",0.6,5.2,4.8,293.9,-7.6,6.6,6.9,279.6,48.9,32.4,6.6,9376,9.9,2.9
501,GENERAL MILLS,US,Food Producers,204.0,-3.2,-2.3,"15,213.7",-6.1,-2.3,1.3,669.9,2.4,5.9,4.4,"2,514.0",-3.3,-1.4,16.5,39000,-7.1,-1.7
502,SMITH & NEPHEW,UK,Health Care Equipment & Services,203.9,-5.5,9.1,"4,256.5",0.4,3.9,4.8,328.8,-4.5,10.5,7.7,590.6,-16.9,-9.2,13.9,14686,3.1,11.9
503,CONOCOPHILLIPS,US,Oil & Gas Producers,203.9,-15.6,0.2,"27,056.1",-43.7,-21.2,0.8,"9,231.2",-41.2,-10.8,34.1,"-7,046.9",-205.4,,-26.0,15900,-16.8,-2.0
504,CLAAS,Germany,Industrial Engineering,203.0,-4.3,3.9,"3,838.5",0.4,3.8,5.3,0.0,,,0.0,162.8,-10.1,-19.9,4.2,11535,1.1,8.3
505,ILLINOIS TOOL WORKS,US,Industrial Engineering,200.2,-4.0,-6.4,"12,312.9",-7.4,-3.2,1.6,260.9,-21.3,-9.4,2.1,"2,633.4",-0.7,5.0,21.4,48000,-2.0,-7.2
506,IBERDROLA,Spain,Electricity,200.2,17.5,11.3,"31,418.7",4.6,-2.8,0.6,"3,829.0",13.8,,12.2,"3,933.0",-1.1,-4.0,12.5,27169,-3.0,-4.6
507,MATTEL,US,Leisure Goods,200.1,4.0,3.7,"5,238.0",-5.3,-3.9,3.8,233.5,-2.4,5.0,4.5,496.9,-17.3,-22.4,9.5,31000,0.0,3.5
508,SERVICENOW,US,Software & Computer Services,199.7,46.6,70.5,923.6,47.3,60.4,21.6,82.0,64.1,28.5,8.9,-151.7,9.6,63.8,-16.4,3686,30.4,50.7
509,JOHN LEWIS,UK,General Retailers,199.3,1.2,15.1,"13,269.7",0.5,4.8,1.5,0.0,,,0.0,377.5,-35.5,-15.5,2.8,91500,-2.5,2.6
510,SWATCH,Switzerland,Personal Goods,199.1,6.4,3.3,"7,824.3",-3.0,2.7,2.5,557.4,-42.1,11.2,7.1,"1,343.4",-17.2,-9.9,17.2,36313,1.9,6.8
511,SPLUNK,US,Software & Computer Services,197.8,42.8,68.9,614.0,48.3,49.8,32.2,47.1,268.0,78.2,7.7,-264.5,33.4,135.5,-43.1,2100,50.0,41.8
512,HOLOGIC,US,Health Care Equipment & Services,197.4,5.8,17.9,"2,484.6",6.9,10.5,7.9,82.1,11.5,4.3,3.3,444.2,45.9,41.8,17.9,5290,-1.1,-4.9
513,COHERUS BIOSCIENCES,US,Pharmaceuticals & Biotechnology,195.7,172.4,82.8,27.6,-3.4,151.0,709.2,5.7,116.4,51.2,20.5,-201.2,238.7,78.5,-729.2,109,65.2,
514,TYCO INTERNATIONAL,Ireland,General Industrials,194.7,9.8,13.5,"9,109.0",-7.6,-17.3,2.1,0.0,,,0.0,800.0,15.5,-18.6,8.8,0,,
515,SCIENTIFIC GAMES,US,Travel & Leisure,194.6,28.5,61.2,"2,534.0",54.4,43.8,7.7,297.2,35.8,42.7,11.7,-900.2,"2,313.8",,-35.5,8500,-5.6,33.2
516,LIXIL GROUP,Japan,Construction & Materials,194.6,40.3,22.1,0.0,,,,0.0,,,,0.0,,,,0,,
517,NEXTEER,US,Automobiles & Parts,193.4,11.6,3.8,"3,086.7",12.8,15.7,6.3,152.1,-4.0,-1.3,4.9,296.0,35.5,50.9,9.6,12000,22.7,73.9
518,YOKOGAWA ELECTRIC,Japan,Electronic & Electrical equipment,192.7,-1.9,-0.3,"3,153.7",2.0,5.9,6.1,54.6,-11.5,-0.9,1.7,302.2,32.9,32.5,9.6,18646,-4.9,-1.8
519,SINA,China,Technology Hardware & Equipment,192.7,9.1,24.7,0.0,,,,0.0,,,,0.0,,,,0,,
520,IPSEN,France,Pharmaceuticals & Biotechnology,192.6,3.7,-11.2,"1,443.9",13.3,5.0,13.3,50.0,5.5,0.7,3.5,308.6,39.4,43.9,21.4,4635,2.3,-1.4
521,ARISTA NETWORKS,US,Software & Computer Services,192.4,42.6,56.0,769.3,43.4,63.0,25.0,18.4,52.2,82.1,2.4,137.1,19.0,55.3,17.8,1200,20.0,
522,TPV TECHNOLOGY,China,Technology Hardware & Equipment,192.2,-20.3,-9.0,"10,160.3",-7.1,-2.6,1.9,137.6,-22.9,0.4,1.4,120.6,-10.0,-10.4,1.2,30490,-3.5,-3.3
523,SAGE,UK,Software & Computer Services,192.2,7.6,-4.3,"1,954.0",6.1,2.3,9.8,22.3,-16.8,-5.3,1.1,404.9,-1.0,-4.7,20.7,13271,6.3,0.2
524,SAAB,Sweden,Aerospace & Defense,192.2,32.0,13.5,"2,958.4",15.6,4.2,6.5,86.9,9.2,34.6,2.9,209.8,31.1,2.6,7.1,14685,-0.2,1.7
525,NETSCOUT SYSTEMS,US,Software & Computer Services,191.6,177.3,50.2,877.6,110.6,39.7,21.8,27.9,133.9,36.5,3.2,-23.1,-126.1,,-2.6,3144,194.1,47.3
526,TOKAI RIKA,Japan,Automobiles & Parts,190.6,11.0,11.7,"3,629.9",5.3,8.6,5.3,211.6,-12.4,11.6,5.8,252.6,6.4,12.9,7.0,17720,2.1,3.1
527,RECKITT BENCKISER,UK,Household Goods & Home Construction,190.6,-4.1,-6.4,"12,079.0",-6.7,-2.5,1.6,209.6,-1.9,-2.5,1.7,"3,050.4",-20.0,-2.2,25.3,34700,-6.7,-1.1
528,ANHEUSER-BUSCH INBEV,Belgium,Beverages,190.1,-4.6,4.4,0.0,,,,0.0,,,,0.0,,,,0,,
529,ENGIE,France,"Gas, Water & Multi-utilities",190.0,0.5,-7.0,"69,883.0",-6.4,-10.4,0.3,0.0,,,0.0,"-3,450.0",-151.3,,-4.9,0,,
530,TEMENOS,Switzerland,Software & Computer Services,189.7,38.3,13.8,498.3,15.7,6.4,38.1,5.7,5.5,3.7,1.1,88.9,-18.1,26.2,17.8,4400,10.0,5.9
531,KINGSOFT,China,Software & Computer Services,189.6,41.1,51.3,803.2,69.4,59.0,23.6,89.0,165.2,119.8,11.1,74.9,0.3,4.6,9.3,6616,24.9,31.4
532,INGERSOLL-RAND,Ireland,Industrial Engineering,189.1,-3.0,-9.0,"12,217.1",3.2,-1.8,1.5,229.3,6.9,-1.7,1.9,"1,339.2",3.8,-1.3,11.0,45000,4.7,-2.8
533,PIONEER,Japan,Electronic & Electrical equipment,189.1,-12.0,-9.7,"3,427.4",-10.4,-0.2,5.5,232.0,21.5,-4.5,6.8,54.7,11.3,6.5,1.6,17046,-12.2,-10.7
534,YAMAHA,Japan,Leisure Goods,189.0,-2.5,3.8,"3,319.5",0.8,5.9,5.7,87.1,-8.8,-4.5,2.6,303.2,35.9,64.6,9.1,20348,1.9,1.1
535,CLARIANT,Switzerland,Chemicals,188.9,-4.2,5.2,"5,376.4",-5.1,-1.3,3.5,346.3,20.6,6.3,6.4,459.2,-18.6,6.5,8.5,17213,1.2,-6.7
536,TAKATA,Japan,Automobiles & Parts,188.6,1.5,8.2,"5,473.1",11.7,20.0,3.4,214.8,-17.4,19.9,3.9,321.2,27.8,42.7,5.9,50530,3.6,11.8
537,HANWHA,South Korea,General Industrials,188.1,90.3,27.7,"32,413.8",10.5,5.1,0.6,"1,214.6",76.9,10.1,3.7,594.2,47.0,-14.8,1.8,0,,
538,COBHAM,UK,Aerospace & Defense,187.8,42.4,21.6,"2,820.3",11.9,5.8,6.7,133.1,53.5,26.6,4.7,14.4,-81.5,-64.6,0.5,12527,14.5,7.8
539,TABLEAU SOFTWARE,US,Software & Computer Services,187.5,84.0,83.4,600.3,58.4,72.3,31.2,41.5,22.8,85.8,6.9,-47.8,-922.7,,-8.0,3008,54.5,59.0
540,CAVIUM NETWORKS,US,Technology Hardware & Equipment,187.2,20.7,24.6,379.1,10.7,20.6,49.4,32.9,99.1,39.6,8.7,-12.6,83.6,-43.6,-3.3,1005,7.4,6.5
541,FINISAR,US,Technology Hardware & Equipment,186.8,0.6,8.6,"1,160.3",1.0,10.6,16.1,109.1,-20.4,9.4,9.4,37.7,53.1,,3.2,13400,0.0,11.3
542,DOLBY LABORATORIES,US,Media,184.9,9.9,12.8,891.6,1.1,1.3,20.7,179.1,67.1,5.2,20.1,195.8,-22.8,-16.3,22.0,1867,12.0,8.1
543,INTUITIVE SURGICAL,US,Health Care Equipment & Services,184.2,12.4,7.7,"2,190.1",11.9,3.1,8.4,74.4,-23.3,-17.0,3.4,679.7,35.8,-5.5,31.0,3211,7.8,10.8
544,PORTOLA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,184.1,62.1,59.1,11.1,25.4,-44.9,"1,660.1",4.4,191.3,135.8,39.3,-208.7,65.1,,"-1,882.1",137,38.4,34.0
545,MICROSEMI,US,Technology Hardware & Equipment,184.0,4.3,5.9,"1,144.1",9.4,7.2,16.1,40.5,11.8,-3.5,3.5,132.5,62.7,24.7,11.6,3700,8.8,5.0
546,BEIERSDORF,Germany,Household Goods & Home Construction,183.0,8.9,4.8,"6,686.0",6.4,3.4,2.7,249.0,-17.3,8.9,3.7,884.0,24.9,10.1,13.2,17659,1.5,2.1
547,TOFAS,Turkey,Automobiles & Parts,182.5,38.8,77.4,"3,131.2",33.3,13.9,5.8,215.9,31.1,67.6,6.9,278.7,36.9,10.7,8.9,7072,8.1,-1.1
548,HYUNDAI HEAVY INDUSTRIES,South Korea,Industrial Engineering,182.3,-20.0,-0.1,"36,217.6",-12.1,-5.6,0.5,"1,044.8",-14.1,4.2,2.9,"-1,206.5",-52.6,,-3.3,0,,
549,VERIFONE SYSTEMS,US,Technology Hardware & Equipment,182.0,0.0,7.5,"1,837.5",7.0,2.3,9.9,97.8,25.3,19.0,5.3,107.1,829.9,-12.4,5.8,5400,3.8,2.8
550,AVICHINA INDUSTRY & TECHNOLOGY,China,Industrial Transportation,181.8,30.2,19.2,"3,736.7",2.7,12.9,4.9,221.1,-10.7,13.6,5.9,340.2,22.8,16.4,9.1,47974,6.8,9.2
551,POLYCOM,US,Technology Hardware & Equipment,181.0,-2.3,-1.9,"1,164.0",-5.8,-3.1,15.6,48.4,-4.1,-7.8,4.2,91.3,10.4,35.9,7.8,3451,-2.1,-2.7
552,ASTON MARTIN UK,UK,Automobiles & Parts,180.5,24.9,30.1,694.4,8.9,3.4,26.0,0.0,,,0.0,-79.3,217.4,89.7,-11.4,1476,7.1,8.0
553,ACCIONA,Spain,Construction & Materials,180.4,3.1,2.8,"6,543.5",0.7,-2.3,2.8,206.1,-50.9,,3.1,680.1,15.3,-0.6,10.4,32147,-4.2,-0.8
554,MICRO FOCUS INTERNATIONAL,UK,Software & Computer Services,180.1,55.4,62.5,"1,143.6",49.2,44.6,15.7,9.4,106.8,45.9,0.8,270.6,112.3,23.1,23.7,4258,0.4,51.4
555,SWISSCOM,Switzerland,Fixed Line Telecommunications,179.6,11.5,18.7,"10,812.0",-0.2,0.9,1.7,"2,247.0",-1.3,-1.8,20.8,"1,847.1",-12.2,-7.5,17.1,21637,2.4,3.5
556,INFORMATICA,US,Software & Computer Services,179.2,17.6,13.4,0.0,,,,0.0,,,,0.0,,,,0,,
557,OPEN TEXT,Canada,Software & Computer Services,178.2,-1.2,5.8,"1,675.6",-1.5,10.2,10.6,64.3,-9.1,44.7,3.8,338.5,5.7,23.0,20.2,0,,
558,SUMITOMO RUBBER INDUSTRIES,Japan,Automobiles & Parts,178.2,-0.7,6.2,"6,469.0",1.3,6.1,2.8,438.1,-7.1,1.2,6.8,584.6,-11.0,4.1,9.0,33185,9.8,12.2
559,KELLOGG,US,Food Producers,177.3,-3.0,-2.1,"12,423.1",-7.2,-1.6,1.4,507.9,-5.0,1.2,4.1,"1,828.8",74.0,6.5,14.7,33577,12.7,2.7
560,BIO-RAD LABORATORIES,US,Health Care Equipment & Services,177.3,-12.4,-3.4,"1,854.9",-7.2,-0.8,9.6,104.1,-16.9,-9.7,5.6,152.6,11.0,-14.2,8.2,7770,2.2,1.7
561,JAPAN DISPLAY,Japan,Electronic & Electrical equipment,177.2,45.4,98.8,"7,537.1",28.5,81.6,2.4,"1,420.0",71.8,201.7,18.8,118.9,203.2,27.3,1.6,15722,-7.4,2.0
562,ATHENAHEALTH,US,Software & Computer Services,176.4,56.2,57.2,849.4,22.9,29.9,20.8,169.9,42.8,67.2,20.0,-3.7,-524.7,,-0.4,4668,27.0,25.9
563,KT,South Korea,Fixed Line Telecommunications,176.2,-53.0,-22.1,"17,454.9",-0.1,-2.3,1.0,"2,753.7",2.4,-6.4,15.8,"1,012.9",-418.0,2.3,5.8,0,,
